# 泰深输入法专业词库 — agriculture
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
豆类	doulei
亞馬遜黑土	yamaxunheitu
麦香	maixiang
明蝦	mingxia
農業危機	nongyeweiji
凝石	ningshi
牧場綠油油	muchanglvyouyou
耐寒区	naihanqu
奶牛陰謀	nainiuyinmou
叶绿基甲萘醌	yelvjijianaikun
鄉鎮	xiangzhen
草人	caoren
哥倫布大交換	gelunbudajiaohuan
氯胺酮	lvantong
農林	nonglin
北苏门答腊省	beisumendalasheng
移栽机	yizaiji
僵蚕	jiangcan
果菜園	guocaiyuan
全国农民党	quanguonongmindang
穀物種植業	guwuzhongzhiye
地理标志保护	dilibiaozhibaohu
自然村落	zirancunluo
古羅馬農業	guluomanongye
博罗霍	boluohuo
混合机	hunheji
今村奈良臣	jincunnailiangchen
农业区位因素	nongyequweiyinsu
拖拉机	tuolaji
不可耕地	bukegengdi
机弦	jixian
農業部	nongyebu
農業水資源	nongyeshuiziyuan
疏林	shulin
雜交水稻	zajiaoshuidao
镰刀	liandao
蜜蜂螫傷	mifengshishang
禾场	hechang
波蘭農業	bolannongye
畜栏	chulan
台灣農民黨	taiwannongmindang
村舍	cunshe
策划	cehua
土生工程学	tushenggongchengxue
同期分娩	tongqifenmian
农业物理学	nongyewulixue
動物護士	dongwuhushi
多年生小麦	duonianshengxiaomai
骡	luo
扦插	qiancha
家鸭	jiaya
家牛	jianiu
咖啡渣	kafeizha
殺蟲劑	shachongji
新竹綠園道	xinzhulvyuandao
苦乐村官	kulecunguan
雪莉種植園	xuelizhongzhiyuan
苯草灭	bencaomie
麥奎格先生	maikuigexiansheng
菾屬	tianshu
更年性水果	gengnianxingshuiguo
泰國農業	taiguonongye
犬	quan
種子預措	zhongziyucuo
葡萄园	putaoyuan
犏牛	pianniu
滩羊	tanyang
拮抗微生物	jiekangweishengwu
建御名方神	jianyumingfangshen
自給自足運動	zigeizizuyundong
豬奶	zhunai
深沟凤螺	shengoufengluo
园地栽培	yuandizaipei
綠化屋頂	lvhuawuding
尼泊爾農業	nipoernongye
农业保险	nongyebaoxian
灭菌丹	miejundan
水产业	shuichanye
大麗花	dalihua
御白樣	yubaiyang
耐特菲姆公司	naitefeimugongsi
土地改革	tudigaige
沥青瓦	liqingwa
猴戲	houxi
双硫磷	shuangliulin
春化现象	chunhuaxianxiang
庭園樹木	tingyuanshumu
川主	chuanzhu
树高	shugao
近海漁業	jinhaiyuye
驮畜	tuochu
炉渣混凝土	luzhahunningtu
爹妈满院	diemamanyuan
无地工人运动	wudigongrenyundong
種菜女神	zhongcainvshen
刀耕炭种	daogengtanzhong
救荒本草	jiuhuangbencao
工程石	gongchengshi
梦窗疏石	mengchuangshushi
茶草场农法	chacaochangnongfa
薄片	baopian
牧人	muren
农业史	nongyeshi
啥是佩奇	shashipeiqi
年神	nianshen
农业工程	nongyegongcheng
圈地运动	quandiyundong
有机肥料	youjifeiliao
松脂製品	songzhizhipin
植樹	zhishu
兰考泡桐	lankaopaotong
采棉机	caimianji
木兰陂	mulanbei
驴骡	lvluo
水碓	shuidui
豬圈	zhuquan
土壤	turang
侵蚀作用	qinshizuoyong
索玛花开	suomahuakai
農業補貼	nongyebutie
平飼	pingsi
緞子鼠	duanzishu
新收获	xinshouhuo
曲辕犁	quyuanli
脱粒机	tuoliji
植物神	zhiwushen
土工布	tugongbu
蒸压灰砂砖	zhengyahuishazhuan
