# 泰深输入法专业词库 — art
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
天鵝之死	tianezhisi
空气吉他	kongqijita
桂剧	guiju
作家有栖系列	zuojiayouqixilie
占有者	zhanyouzhe
數位內容產業	shuweineirongchanye
賭徒銀行	dutuyinxing
有兽焉	youshouyan
個人	geren
莫列波紋	moliebowen
音乐家郑律成	yinlejiazhenglvcheng
強擄薩賓婦女	qianglusabinfunv
告別語言	gaobieyuyan
西遊	xiyou
鵺之陰陽師	yezhiyinyangshi
媒體藝術史	meitiyishushi
洪拳大师	hongquandashi
影宅	yingzhai
黑天鹅	heitiane
戲仿	xifang
改革文学	gaigewenxue
网络艺术	wangluoyishu
倒口	daokou
巴洛克艺术	baluokeyishu
中华瓦片画	zhonghuawapianhua
廣告標語	guanggaobiaoyu
摺紙	zhezhi
美学散步	meixuesanbu
第五號屠宰場	diwuhaotuzaichang
新美学	xinmeixue
瘋狂怪醫芙蘭	fengkuangguaiyifulan
藍色麂皮鞋	lansejipixie
菲律賓藝術	feilvbinyishu
含水量	hanshuiliang
潮州大锣鼓	chaozhoudaluogu
骨螺紫	guluozi
载花船	zaihuachuan
暗芝居	anzhiju
巴塞爾藝術展	basaieryishuzhan
風都偵探	fengdouzhentan
沒骨	meigu
学园偶像大师	xueyuanouxiangdashi
媒體監管總局	meitijianguanzongju
最猛老师	zuimenglaoshi
五星物語	wuxingwuyu
围柱式建筑	weizhushijianzhu
迷牆	miqiang
黄县染窗花	huangxianranchuanghua
愛情幻影	aiqinghuanying
一种新科学	yizhongxinkexue
雙向圖	shuangxiangtu
電影中的舞蹈	dianyingzhongdewudao
加沃特	jiawote
彩虹斑馬線	caihongbanmaxian
鐵窗沉冤	tiechuangchenyuan
高技建筑	gaojijianzhu
連拍	lianpai
奧蘭多	aolanduo
海報兒童	haibaoertong
抒情文	shuqingwen
正港分局	zhenggangfenju
台夫特畫派	taifutehuapai
摹仿	mofang
盜版音樂	daobanyinle
凯利帮真史	kailibangzhenshi
裝飾藝術	zhuangshiyishu
陰性書寫	yinxingshuxie
吃人井	chirenjing
小王子	xiaowangzi
普羅文學	puluowenxue
大七和弦	daqihexian
反艺术	fanyishu
獨角戲	dujiaoxi
书信体小说	shuxintixiaoshuo
谿山琴況	xishanqinkuang
汉剧	hanju
三教同聲	sanjiaotongsheng
罗杰疑案	luojieyian
秋澀系	qiusexi
针绣挖花花边	zhenxiuwahuahuabian
漩渦主義	xuanwozhuyi
技術劇場	jishujuchang
仿生獸	fangshengshou
荷蘭甕	helanweng
青春向前行	qingchunxiangqianxing
变脸	bianlian
輕鬆百合	qingsongbaihe
戏剧独白诗	xijudubaishi
動態藝術	dongtaiyishu
貞觀盛事	zhenguanshengshi
幸福观鸟	xingfuguanniao
凯尔特艺术	kaierteyishu
蒲剧	puju
原子習慣	yuanzixiguan
日本藝術	ribenyishu
蚀刻版画	shikebanhua
加速世界	jiasushijie
巴恩格拉	baengela
侏儒的话	zhurudehua
黑執事	heizhishi
開運鑑定團	kaiyunjiandingtuan
棟篤笑	dongduxiao
古典主义音乐	gudianzhuyiyinle
四分一音	sifenyiyin
異世界武士	yishijiewushi
焦距转换率	jiaojuzhuanhuanlv
乐句	leju
戰隊大失格	zhanduidashige
