# 泰深输入法专业词库 — astronomy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
車府增三	chefuzengsan
斗增九	douzengjiu
海石三	haishisan
上台增五	shangtaizengwu
秦二	qiner
柱四	zhusi
木卫二十一	muweiershiyi
太空作戰	taikongzuozhan
可觀測宇宙	keguanceyuzhou
斯希拉山脊	sixilashanji
星座家族	xingzuojiazu
天潢一	tianhuangyi
天廄二	tianjiuer
八穀增卅四	baguzengsasi
天津增廿	tianjinzengnian
黑眼星系	heiyanxingxi
木卫三十四	muweisanshisi
空间天文学	kongjiantianwenxue
車肆一	chesiyi
礼炮七号	lipaoqihao
珍珠星流	zhenzhuxingliu
雅庇吉亚区	yabijiyaqu
天阴四	tianyinsi
巴納德環	banadehuan
天苑五	tianyuanwu
臼增四	jiuzengsi
爟增三	guanzengsan
天體製圖學	tiantizhituxue
氖燃燒過程	nairanshaoguocheng
大陵五	dalingwu
冬季大三角	dongjidasanjiao
汤博陨击坑	tangboyunjikeng
五车增十三	wuchezengshisan
普朗克月谷	pulangkeyuegu
天卫九	tianweijiu
左旗增十九	zuoqizengshijiu
天体物理学	tiantiwulixue
后髮座星系團	houfazuoxingxituan
鬱金香星雲	yujinxiangxingyun
制导律	zhidaolv
扶筐增一	fukuangzengyi
冬眠模式	dongmianmoshi
小王子	xiaowangzi
天门增二	tianmenzenger
星周包層	xingzhoubaoceng
青丘六	qingqiuliu
蓋亞撞擊坑	gaiyazhuangjikeng
雷电增二	leidianzenger
天囷增十四	tianqunzengshisi
阿佛纳斯丘群	afunasiqiuqun
空间物理学	kongjianwulixue
國家航天中心	guojiahangtianzhongxin
多信使天文学	duoxinshitianwenxue
罗斯比陨击坑	luosibiyunjikeng
交食周期	jiaoshizhouqi
無限的未知	wuxiandeweizhi
晦日	huiri
参宿增卅五	cansuzengsawu
土公吏一	tugongliyi
弧矢增二十二	hushizengershier
周天	zhoutian
赫德谢尔谷	hedexieergu
祝融星	zhurongxing
达丽深谷	dalishengu
白道面	baidaomian
王良四	wangliangsi
紅蜘蛛星雲	hongzhizhuxingyun
蓋屋一	gaiwuyi
弧矢增八	hushizengba
星織夢未來	xingzhimengweilai
墾丁天文台	kendingtianwentai
阿尔戈陨击坑	aergeyunjikeng
短论	duanlun
秦增二	qinzenger
座旗二	zuoqier
天大将军增九	tiandajiangjunzengjiu
瓠瓜增五	huguazengwu
老婦人隕石	laofurenyunshi
氐宿一	disuyi
斯里弗星	silifuxing
天阴增一	tianyinzengyi
天文聯盟	tianwenlianmeng
阙丘增三	queqiuzengsan
吕多陨击坑	lvduoyunjikeng
天文單位系統	tianwendanweixitong
娄宿增二	lousuzenger
天阴增二	tianyinzenger
蓬斯克陨击坑	pengsikeyunjikeng
立秋	liqiu
科普利撞擊坑	kepulizhuangjikeng
水母星雲	shuimuxingyun
星周塵	xingzhouchen
奥佩尔山脊	aopeiershanji
行星地質學	xingxingdizhixue
时间足够你爱	shijianzugouniai
哭增一	kuzengyi
滕比堑沟群	tengbiqiangouqun
參旗增二	canqizenger
座旗增十	zuoqizengshi
右旗五	youqiwu
参宿增二	cansuzenger
乔拉山	qiaolashan
太陽現象	taiyangxianxiang
壁宿增十五	bisuzengshiwu
恆星位置	hengxingweizhi
三星	sanxing
乙亚胺	yiyaan
轩辕一	xuanyuanyi
航天	hangtian
尾宿增二	weisuzenger
五帝內座增三	wudineizuozengsan
環狀星雲	huanzhuangxingyun
天文單位	tianwendanwei
次巨星	cijuxing
奥林帕斯峭壁	aolinpasiqiaobi
敗瓜增三	baiguazengsan
九河增一	jiuhezengyi
天桴增一	tianfuzengyi
三角座星系	sanjiaozuoxingxi
壁宿增八	bisuzengba
布朗山	bulangshan
霍頓撞擊坑	huodunzhuangjikeng
垧	shang
柏拉图号	bailatuhao
蝌蚪星系	kedouxingxi
蘇聯太空犬	suliantaikongquan
螣蛇增七	teshezengqi
恆星穿越	hengxingchuanyue
巨蛇座	jushezuo
勾陳二	gouchener
萨顿胡	sadunhu
弧矢增廿八	hushizengnianba
木卫十七	muweishiqi
阿萨拉山脊	asalashanji
参宿增十四	cansuzengshisi
婆羅浮屠	poluofutu
子午圈	ziwuquan
蛇尾三	sheweisan
授时历	shoushili
赤道	chidao
等效寬度	dengxiaokuandu
莫罗山	moluoshan
海洋	haiyang
室宿增三	shisuzengsan
天仓增十一	tiancangzengshiyi
五帝內座二	wudineizuoer
天廚四	tianchusi
氐宿三	disusan
弧矢增九	hushizengjiu
九斿增六	jiuyouzengliu
珠宝盒星团	zhubaohexingtuan
時間表	shijianbiao
杵三	chusan
異雀八	yiqueba
壘壁陣二	leibizhener
木卫十九	muweishijiu
核合成	hehecheng
致密星	zhimixing
爟二	guaner
克罗尼乌斯山	keluoniwusishan
木卫三十九	muweisanshijiu
華蓋二	huagaier
閃爍	shanshuo
星等	xingdeng
暗流體	anliuti
天牢五	tianlaowu
天囷增五	tianqunzengwu
流星	liuxing
化石星系群	huashixingxiqun
米约绍陨击坑	miyueshaoyunjikeng
土公增六	tugongzengliu
北天	beitian
常陳一	changchenyi
屏二	pinger
天囷增十七	tianqunzengshiqi
育神星	yushenxing
楊彗星	yanghuixing
左摄提增一	zuoshetizengyi
多布森单位	duobusendanwei
氧燃燒過程	yangranshaoguocheng
巨弧	juhu
天津增廿三	tianjinzengniansan
車府七	chefuqi
火星探测	huoxingtance
衡四	hengsi
虎賁	hubi
拉德克利夫波	ladekelifubo
閣道增四	gedaozengsi
日食列表	rishiliebiao
林軌跡	linguiji
土卫二十四	tuweiershisi
司非增二	sifeizenger
庫樓十	kuloushi
帕弗尼斯山	pafunisishan
尼爾格谷	niergegu
天大将军增一	tiandajiangjunzengyi
海石二	haishier
天弁二	tianbianer
井宿增三	jingsuzengsan
司怪增五	siguaizengwu
参宿增卅一	cansuzengsayi
郎位十四	langweishisi
從太陽出擊	congtaiyangchuji
灵宪	lingxian
凱撒天文學	kaisatianwenxue
太陽星辰	taiyangxingchen
王良增十一	wangliangzengshiyi
参宿增卅二	cansuzengsaer
天體工廠星	tiantigongchangxing
銀河探險隊	yinhetanxiandui
科勒槽溝	keleicaogou
敗臼三	baijiusan
天底	tiandi
天潢增二	tianhuangzenger
五諸侯增四	wuzhuhouzengsi
后髮座矮星系	houfazuoaixingxi
六分仪座	liufenyizuo
月角距	yuejiaoju
天床	tianchuang
天津增六	tianjinzengliu
薄樹人	baoshuren
乌莫夫效应	wumofuxiaoying
星座列表	xingzuoliebiao
面亮度	mianliangdu
宗正一	zongzhengyi
王斌	wangbin
类星	leixing
帝席增一	dixizengyi
胃宿增五	weisuzengwu
恆星黑洞	hengxingheidong
左旗增廿	zuoqizengnian
轉軸傾角	zhuanzhouqingjiao
貫索增四	guansuozengsi
蛇首二	sheshouer
天阴二	tianyiner
車肆增一	chesizengyi
壘壁陣八	leibizhenba
胃宿增四	weisuzengsi
营救协定	yingjiuxieding
垒壁阵十一	leibizhenshiyi
克珊忒高地	keshantegaodi
天船增三	tianchuanzengsan
鐵星	tiexing
天紀增十四	tianjizengshisi
阿基米德山脉	ajimideshanmai
八穀增十四	baguzengshisi
天鉤一	tiangouyi
毕宿增一	bisuzengyi
鉞增一	yuezengyi
生命起源	shengmingqiyuan
奚仲四	xizhongsi
云雨二	yunyuer
聖誕樹星團	shengdanshuxingtuan
瑞典曆	ruidianli
紅天機	hongtianji
历法	lifa
防熱盾	fangredun
內階增一	neijiezengyi
日下點	rixiadian
天江增六	tianjiangzengliu
郎位十三	langweishisan
潘撞擊坑	panzhuangjikeng
等离子体	dengliziti
咸池三	xianchisan
東次相	dongcixiang
天棓增十	tianbangzengshi
锡特卡陨击坑	xitekayunjikeng
鸟喙	niaohui
海山六	haishanliu
獵戶臂	liehubi
天樽增七	tianzunzengqi
马大星	madaxing
敗瓜三	baiguasan
印度天文學	yindutianwenxue
生命印迹	shengmingyinji
最小角距	zuixiaojiaoju
吕大陨击坑	lvdayunjikeng
败瓜一	baiguayi
狮子座流星雨	shizizuoliuxingyu
近太空	jintaikong
六甲五	liujiawu
太空纜索	taikonglansuo
主要星系目录	zhuyaoxingximulu
奚仲增二	xizhongzenger
水府增四	shuifuzengsi
车府增十五	chefuzengshiwu
廁增五	cezengwu
月食	yueshi
我要上太空	woyaoshangtaikong
八穀增十一	baguzengshiyi
赫露斯星	helusixing
波斯二	bosier
八穀增廿八	baguzengnianba
水府二	shuifuer
螣蛇增三	teshezengsan
金魚二	jinyuer
土公增七	tugongzengqi
天体运行论	tiantiyunxinglun
五諸侯增六	wuzhuhouzengliu
鄭	zheng
蒭藁六	chugaoliu
哥倫比婭	gelunbiya
貫索一	guansuoyi
梅佐拉米亚	meizuolamiya
座旗增一	zuoqizengyi
天园十一	tianyuanshiyi
七公六	qigongliu
世代飞船	shidaifeichuan
大陵四	dalingsi
大陵七	dalingqi
天關增二	tianguanzenger
輦道一	niandaoyi
赫歇爾獎章	hexieerjiangzhang
壘壁陣五	leibizhenwu
飛魚一	feiyuyi
凌	ling
猴子捞月	houzilaoyue
哈伯遺贈場	haboyizengchang
室宿增四	shisuzengsi
少尉	shaowei
司怪四	siguaisi
譜斑	puban
劍橋干涉儀	jianqiaogansheyi
奎宿增二	kuisuzenger
后发座	houfazuo
華蓋三	huagaisan
司怪增三	siguaizengsan
座旗增三	zuoqizengsan
五諸侯五	wuzhuhouwu
圭表	guibiao
离宫增五	ligongzengwu
天棓增二	tianbangzenger
天门增八	tianmenzengba
壁宿增二	bisuzenger
內階增三	neijiezengsan
喬托撞擊坑	qiaotuozhuangjikeng
天囷增十三	tianqunzengshisan
挑戰	tiaozhan
寒露	hanlu
木卫五十七	muweiwushiqi
塔德谷	tadegu
氣輝	qihui
莫霍克陨击坑	mohuokeyunjikeng
恒星	hengxing
哈勃超深空	habochaoshenkong
开尔文岬	kaierwenjia
蒭藁增一	chugaozengyi
壁宿增十二	bisuzengshier
奎宿九	kuisujiu
麦哲伦陨击坑	maizhelunyunjikeng
會合日	huiheri
热时标	reshibiao
計時器	jishiqi
天船增一	tianchuanzengyi
小行星中心	xiaoxingxingzhongxin
起源石	qiyuanshi
臼三	jiusan
班尼特彗星	bannitehuixing
天文馆	tianwenguan
轩辕增卅	xuanyuanzengsa
軫宿二	zhensuer
科尔比陨击坑	keerbiyunjikeng
上卫增三	shangweizengsan
天苑增一	tianyuanzengyi
船底座星雲	chuandizuoxingyun
阿派朗	apailang
銀河系天文學	yinhexitianwenxue
建五	jianwu
天廪一	tianlinyi
星曆表	xinglibiao
疏散时间	shusanshijian
五车增九	wuchezengjiu
拉蒙山	lamengshan
宇宙的年龄	yuzhoudenianling
內階增十	neijiezengshi
電子簡併壓力	dianzijianbingyali
奔向地球	benxiangdiqiu
天樽二	tianzuner
引力奇点	yinliqidian
月食列表	yueshiliebiao
鹰星云	yingxingyun
天市右垣六	tianshiyouyuanliu
初期恆星體	chuqihengxingti
凋沼	diaozhao
天苑增十四	tianyuanzengshisi
伯牙环形山	boyahuanxingshan
参宿五	cansuwu
贯索五	guansuowu
天壘城十三	tianleichengshisan
天船增四	tianchuanzengsi
人择原理	renzeyuanli
日期	riqi
大众天文学	dazhongtianwenxue
娄宿一	lousuyi
木卫三十五	muweisanshiwu
天苑增九	tianyuanzengjiu
宇宙學常數	yuzhouxuechangshu
福卡陨击坑	fukayunjikeng
四渎增二	siduzenger
鲁伊尔陨击坑	luyieryunjikeng
堪德峽谷	kandexiagu
月球車	yueqiuche
章動	zhangdong
阿尔卑斯谷	aerbeisigu
千帆星座	qianfanxingzuo
托林	tuolin
斗宿一	dousuyi
昴宿增十二	maosuzengshier
天紀增十一	tianjizengshiyi
玫瑰星雲	meiguixingyun
天江一	tianjiangyi
阙丘增七	queqiuzengqi
奎宿四	kuisusi
地球同步卫星	diqiutongbuweixing
螣蛇增五	teshezengwu
佛曆	fuli
帛度增三	boduzengsan
視位置	shiweizhi
