# 泰深输入法专业词库 — biology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：搜狗细胞词库（官方推荐分类），scel2txt 转换

一个基因一个酶	yigejiyinyigemei
一个酶单位	yigemeidanwei
一串红花葵苷	yichuanhonghuakuigan
一价物	yijiawu
一倍体	yibeiti
一分为四	yifenweisi
一叶荻碱	yiyedijian
一基因一多肽假说	yijiyinyiduotaijiashuo
一基因一酶假说	yijiyinyimeijiashuo
一年生植物	yinianshengzhiwu
一度烧伤	yidushaoshang
一放体	yifangti
一期修复	yiqixiufu
一期小肠移植	yiqixiaochangyizhi
一期延迟缝合	yiqiyanchifenghe
一期愈合	yiqiyuhe
一期梅毒	yiqimeidu
一期缝合	yiqifenghe
一次单株选择	yicidanzhuxuanze
一次结实植物	yicijieshizhiwu
一步纯化	yibuchunhua
一氧化物酶	yiyanghuawumei
一氧化碳细菌	yiyanghuatanxijun
一氧化碳营养菌	yiyanghuatanyingyangjun
一氧化碳血红蛋白血	yiyanghuatanxuehongdanbaixue
一氨基二羧酸	yianjiersuosuan
一生两次性成熟	yishengliangcixingchengshu
一硝酸盐	yixiaosuanyan
一硬二棕榈酸甘油酯	yiyingerzonglvsuanganyouzhi
一硬二油酸甘油酯	yiyingeryousuanganyouzhi
一磷	yilin
一磷酸	yilinsuan
一磷酸多萜醇	yilinsuanduotiechun
一种免疫抑制剂	yizhongmianyiyizhiji
一种六碳糖	yizhongliutantang
一种分子能量图	yizhongfenzinengliangtu
一种小辟虎	yizhongxiaopihu
一种己醛糖	yizhongjiquantang
一种抗凝血剂商品名	yizhongkangningxuejishangpinming
一种抗叶酸物	yizhongkangyesuanwu
一种抗癌药	yizhongkangaiyao
一种抗血凝剂	yizhongkangxueningji
一种毒蛛	yizhongduzhu
一种比重计	yizhongbizhongji
一种氮丙啶诱变剂	yizhongdanbingdingyoubianji
一种炸药	yizhongzhayao
一种神经细胞	yizhongshenjingxibao
一种突变型	yizhongtubianxing
一种终止突变	yizhongzhongzhitubian
一种终止突变型	yizhongzhongzhitubianxing
一种肌纤维结构	yizhongjixianweijiegou
一种胰岛素拮抗物	yizhongyidaosujiekangwu
一种荧光染料	yizhongyingguangranliao
一种野兔	yizhongyetu
一种霉菌色素	yizhongmeijunsesu
一种非离子型去污剂	yizhongfeilizixingquwuji
一簇叶子	yicuyezi
一级亲属	yijiqinshu
一级反应	yijifanying
一级堂表亲	yijitangbiaoqin
一级结构	yijijiegou
一羟基棕榈酸	yiqiangjizonglvsuan
一致序列	yizhixulie
一般性重组	yibanxingchongzu
一般指狂犬病毒	yibanzhikuangquanbingdu
一轮孢子	yilunbaozi
一雄多雌	yixiongduoci
一雄多雌配合	yixiongduocipeihe
一雌多雄	yiciduoxiong
丁二胺	dingeran
丁二酰	dingerxian
丁二酰胆碱	dingerxiandanjian
丁二酸	dingersuan
丁内酰胺	dingneixianan
丁哌卡因	dingpaikayin
丁子香烯	dingzixiangxi
丁子香素	dingzixiangsu
丁子香色酮	dingzixiangsetong
丁子香酮	dingzixiangtong
丁氧羰保护基因	dingyangtangbaohujiyin
丁氨醛酸	dinganquansuan
丁烯均聚物	dingxijunjuwu
丁烯羟酸内酯	dingxiqiangsuanneizhi
丁烯酰辅酶	dingxixianfumei
丁烯除虫菊酯	dingxichuchongjuzhi
丁烷二胍	dingwanergua
丁糖	dingtang
丁脂酶	dingzhimei
丁苷菌素	dingganjunsu
丁酮二酸	dingtongersuan
丁酮酸	dingtongsuan
丁酯酶	dingzhimei
丁酰	dingxian
丁酰基	dingxianji
丁酰胆碱酯酶	dingxiandanjianzhimei
丁酰脂酰载体蛋白	dingxianzhixianzaitidanbai
丁酰苷菌素	dingxianganjunsu
丁酰辅酶	dingxianfumei
丁酸	dingsuan
丁酸丁酸盐酯根	dingsuandingsuanyanzhigen
丁酸甘油酯	dingsuanganyouzhi
丁酸甘油酯酶	dingsuanganyouzhimei
丁酸盐	dingsuanyan
丁醇	dingchun
