# 泰深输入法专业词库 — chemistry
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
取代反应	qudaifanying
硝基香草乙酮	xiaojixiangcaoyitong
原子物理学	yuanziwulixue
纖維蛋白原	xianweidanbaiyuan
端基异构效应	duanjiyigouxiaoying
十四烷基苯	shisiwanjiben
孕三烯	yunsanxi
浸渗	jinshen
鿫	ao
二碲化镁	erdihuamei
二硫化铅	erliuhuaqian
瓦克尔法	wakeerfa
离子	lizi
帕瑟里尼反应	paselinifanying
辛内酯	xinneizhi
俞建勇	yujianyong
薩巴捷反應	sabajiefanying
常温	changwen
碳	tan
前手性	qianshouxing
外消旋化	waixiaoxuanhua
分子对接	fenziduijie
二苯胍	erbengua
含水量	hanshuiliang
老头掌碱	laotouzhangjian
钐	shan
速率方程	sulvfangcheng
溶移质	rongyizhi
活性度	huoxingdu
空气隔绝技术	kongqigejuejishu
黄油	huangyou
碱基对	jianjidui
鈾	you
定量分析	dingliangfenxi
风信子醚	fengxinzimi
二甲基	erjiaji
鈣鎂指示劑	gaimeizhishiji
藥效學	yaoxiaoxue
异丙基甲苯	yibingjijiaben
晶体场理论	jingtichanglilun
赵进才	zhaojincai
硒氰酸钠	xiqingsuanna
水配合物	shuipeihewu
氢键催化	qingjiancuihua
沃氏氧化反应	woshiyanghuafanying
氯酸钙	lvsuangai
氣液平衡	qiyepingheng
配位体锥角	peiweitizhuijiao
氧化还原反应	yanghuahaiyuanfanying
六硫化二硒	liuliuhuaerxi
石蒜碱	shisuanjian
佟振合	tongzhenhe
閃電俠	shandianxia
氨基苯酚	anjibenfen
化学反应列表	huaxuefanyingliebiao
一硅化三铬	yiguihuasange
同尾酶	tongweimei
氢化亚汞	qinghuayagong
羟腈	qiangjing
科技關鍵元素	kejiguanjianyuansu
李遠哲	liyuanzhe
硫酸亚铬	liusuanyage
氯酸镁	lvsuanmei
日本莽草素	ribenmangcaosu
晶粒边界	jinglibianjie
金属性	jinshuxing
甲基腺嘌呤	jiajixianpiaoling
自然氧化	ziranyanghua
四氢噻喃	siqingsainan
凱諾斯	kainuosi
化學	huaxue
鼠李糖	shulitang
糖化	tanghua
延胡索酸亚铁	yanhusuosuanyatie
大曲菌素	daqujunsu
苦氨酸	kuansuan
鲍迪施反应	baodishifanying
氢化铯	qinghuase
反键轨道	fanjianguidao
胞吐作用	baotuzuoyong
完整晶体	wanzhengjingti
异氢氰酸	yiqingqingsuan
本生反應	benshengfanying
锑化铝	tihualv
刘忠范	liuzhongfan
一氮化磷	yidanhualin
艾杜醇	aiduchun
三氟氧钒	sanfuyangfan
鄰甲酚酞	linjiafentai
固体酸	gutisuan
柱諧函數	zhuxiehanshu
中和反应	zhonghefanying
己醇	jichun
色素	sesu
鈣熱還原	gairehaiyuan
蒽磺酸	enhuangsuan
石高全	shigaoquan
氟化钨	fuhuawu
水解	shuijie
檸檬酸二氫鈉	ningmengsuanerqingna
高锰酸钡	gaomengsuanbei
硼酸钠	pengsuanna
钇化合物列表	yihuahewuliebiao
异抗坏血酸钠	yikanghuaixuesuanna
四重键	sizhongjian
氨基乙醇	anjiyichun
甲氧基苯甲醇	jiayangjibenjiachun
乙醛酸还原酶	yiquansuanhaiyuanmei
麻生明	mashengming
硫酸锰	liusuanmeng
乙亚胺	yiyaan
门克硝化反应	menkexiaohuafanying
全氟三戊胺	quanfusanwuan
菌落計數器	junluojishuqi
桉油烯醇	anyouxichun
无色花青素	wusehuaqingsu
異乳糖	yirutang
苯并呋喃	benbingfunan
乳酸亚铁	rusuanyatie
谭蔚泓	tanweihong
定性分析	dingxingfenxi
燃素说	ransushuo
万惠霖	wanhuilin
高崇熙	gaochongxi
乙醇酸甲酯	yichunsuanjiazhi
超分子化學	chaofenzihuaxue
九氢合铼	jiuqinghelai
有机化合物	youjihuahewu
二羟基色胺	erqiangjisean
黄本立	huangbenli
辛二酸	xinersuan
四醣	sitang
鉑族金屬	bozujinshu
元素周期	yuansuzhouqi
二十三烷	ershisanwan
四乙烯基甲烷	siyixijijiawan
氮化锗	danhuazhe
环醇假说	huanchunjiashuo
三甲基硅烷	sanjiajiguiwan
巨大戟醇	judajichun
八氟立方烷	bafulifangwan
大道工業	dadaogongye
分解反应	fenjiefanying
反应级数	fanyingjishu
等效寬度	dengxiaokuandu
催化循环	cuihuaxunhuan
普拉托反应	pulatuofanying
烯虫乙酯	xichongyizhi
