# 泰深输入法专业词库 — computer
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
火蜂	huofeng
信道容量	xindaorongliang
自然语言处理	ziranyuyanchuli
無平方多項式	wupingfangduoxiangshi
校验码系统	xiaoyanmaxitong
三進位電腦	sanjinweidiannao
收斂速度	shouliansudu
分子对接	fenziduijie
原始方程组	yuanshifangchengzu
实化	shihua
加速比	jiasubi
白名單	baimingdan
霍恩子句	huoenziju
自旋锁	zixuansuo
可视化分析论	keshihuafenxilun
抹除碼	mochuma
模糊规则	mohuguize
归纳编程	guinabiancheng
商业软件	shangyeruanjian
怎样解题	zenyangjieti
并行编程模型	bingxingbianchengmoxing
计算机文化	jisuanjiwenhua
两军问题	liangjunwenti
高德纳	gaodena
蓝桥杯	lanqiaobei
分布式计算	fenbushijisuan
九天无人机	jiutianwurenji
计算群论	jisuanqunlun
玩具問題	wanjuwenti
自主武器	zizhuwuqi
代数数据类型	daishushujuleixing
平衡树	pinghengshu
特征整合论	tezhengzhenghelun
超计算	chaojisuan
计算机	jisuanji
耦合性	ouhexing
图像压缩	tuxiangyasuo
電腦蜂鳴器	diannaofengmingqi
大力神图形卡	dalishentuxingka
递归集合	diguijihe
唐芯	tangxin
加速世界	jiasushijie
处理器	chuliqi
共時性	gongshixing
伸展树	shenzhanshu
图灵测试	tulingceshi
涌现计算	yongxianjisuan
計算理論期刊	jisuanlilunqikan
次頻帶編碼	cipindaibianma
低级语言	dijiyuyan
人體圖像合成	rentituxianghecheng
自举	ziju
被测系统	beicexitong
機器人	jiqiren
平行演算法	pingxingyansuanfa
軟體智能	ruantizhineng
夢見	mengjian
可视化	keshihua
存取控制串列	cunqukongzhichuanlie
達爾文機	daerwenji
中国操作系统	zhongguocaozuoxitong
生成树协议	shengchengshuxieyi
競爭危害	jingzhengweihai
迭代学习控制	diedaixuexikongzhi
自我复制机	ziwofuzhiji
嘴型同步	zuixingtongbu
通用人工智慧	tongyongrengongzhihui
蘭道爾原理	landaoeryuanli
方法级联调用	fangfajiliandiaoyong
进化计算	jinhuajisuan
语法盐	yufayan
城市信息学	chengshixinxixue
自旋電子學	zixuandianzixue
通信顺序进程	tongxinshunxujincheng
计算机语言	jisuanjiyuyan
約束	yueshu
控制反转	kongzhifanzhuan
骨骼动画	gugedonghua
随机基准测试	suijijizhunceshi
算法效率	suanfaxiaolv
网络成瘾症	wangluochengyinzheng
黑盒测试	heiheceshi
相依性地狱	xiangyixingdiyu
认知的封闭	renzhidefengbi
第五代電腦	diwudaidiannao
語法摺疊	yufazhedie
地理标记语言	dilibiaojiyuyan
多核心處理器	duohexinchuliqi
富尔克森奖	fuerkesenjiang
信息鉴定	xinxijianding
模型驱动应用	moxingqudongyingyong
高德納獎	gaodenajiang
近似	jinsi
最小权限原则	zuixiaoquanxianyuanze
航空电信网	hangkongdianxinwang
工业人工智能	gongyerengongzhineng
有效加速主義	youxiaojiasuzhuyi
上线时间	shangxianshijian
迭代器	diedaiqi
莫拉維克悖論	molaweikebeilun
大型语言模型	daxingyuyanmoxing
最优化	zuiyouhua
缓冲膨胀	huanchongpengzhang
十进制计算机	shijinzhijisuanji
内置函数	neizhihanshu
太空歌劇院	taikonggejuyuan
编码率	bianmalv
