# 泰深输入法专业词库 — economics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
日本酱油	ribenjiangyou
策略貿易理論	celvemaoyililun
上會	shanghui
數位內容產業	shuweineirongchanye
权益乘数	quanyichengshu
國際勞動基準	guojilaodongjizhun
農業危機	nongyeweiji
動能	dongneng
预期效用假说	yuqixiaoyongjiashuo
进化稳定对策	jinhuawendingduice
超短期融资券	chaoduanqirongziquan
核	he
遠東酒店	yuandongjiudian
剩余产品	shengyuchanpin
麥迪森酒業	maidisenjiuye
最低所得保障	zuidisuodebaozhang
自协方差	zixiefangcha
量尺分數	liangchifenshu
夹层资本	jiacengziben
獨立品	dulipin
经济自由化	jingjiziyouhua
賣權	maiquan
理性主体	lixingzhuti
产业	chanye
速率分布函数	sulvfenbuhanshu
南北行	nanbeixing
货币市场	huobishichang
農業水資源	nongyeshuiziyuan
保险密度	baoxianmidu
凯德集团	kaidejituan
都市車	doushiche
先買後付	xianmaihoufu
資源基礎觀點	ziyuanjichuguandian
资本形成机制	zibenxingchengjizhi
淨現值法	jingxianzhifa
單向度的人	danxiangduderen
第三方存管	disanfangcunguan
债券基金	zhaiquanjijin
競合理論	jinghelilun
快速消费品	kuaisuxiaofeipin
聖艾智德團體	shengaizhidetuanti
營業利潤	yingyelirun
远期市场	yuanqishichang
卓佳集團	zhuojiajituan
普羅文學	puluowenxue
績效	jixiao
金唱片	jinchangpian
基数效用	jishuxiaoyong
最小均方误差	zuixiaojunfangwucha
死貓反彈	simaofandan
第三产业	disanchanye
建筑经济	jianzhujingji
圣保罗中央区	shengbaoluozhongyangqu
主持人	zhuchiren
勞動經濟學	laodongjingjixue
经济学刊	jingjixuekan
貿易平衡	maoyipingheng
金融分析	jinrongfenxi
七十七国集团	qishiqiguojituan
主流經濟學	zhuliujingjixue
戴尔指数	daierzhishu
世界贸易组织	shijiemaoyizuzhi
購債	gouzhai
经济计算问题	jingjijisuanwenti
自我審查	ziwoshencha
經濟問題	jingjiwenti
资源枯竭城市	ziyuankujiechengshi
年資給付率	nianzigeifulv
演化经济学	yanhuajingjixue
龍口食品企業	longkoushipinqiye
傑姆蘇丹	jiemusudan
公共經濟學	gonggongjingjixue
华帝股份	huadigufen
宣傳模式	xuanchuanmoshi
履約保證	lvyuebaozheng
電子墨水公司	dianzimoshuigongsi
資本充足率	zibenchongzulv
凱薩造船廠	kaisazaochuanchang
人體圖像合成	rentituxianghecheng
高富集團	gaofujituan
近海漁業	jinhaiyuye
試吃	shichi
利益輸送	liyishusong
大自然	daziran
青云	qingyun
实验心理学	shiyanxinlixue
可持續性	kechixuxing
趨同	qutong
國有制	guoyouzhi
技术分析	jishufenxi
注意力經濟	zhuyilijingji
總需求	zongxuqiu
互助論	huzhulun
體力勞動	tililaodong
低碳電力	ditandianli
世代交叠模型	shidaijiaodiemoxing
交易日	jiaoyiri
玻璃天花板	bolitianhuaban
工具变量	gongjubianliang
财政政策	caizhengzhengce
寡頭鐵律	guatoutielv
德国经济危机	deguojingjiweiji
李华瑞	lihuarui
工作貧窮	gongzuopinqiong
自发秩序	zifazhixu
汽車維修設備	qicheweixiushebei
贸易条件指数	maoyitiaojianzhishu
靈貓六國	lingmaoliuguo
財產	caichan
区域经济学	quyujingjixue
十国集团	shiguojituan
可卖回债券	kemaihuizhaiquan
储值卡	chuzhika
盛世	shengshi
数字资产管理	shuzizichanguanli
非主流經濟學	feizhuliujingjixue
韜睿惠悅	taoruihuiyue
最后贷款人	zuihoudaikuanren
四大米市	sidamishi
地號	dihao
小費	xiaofei
陈雪梅	chenxuemei
雙贏	shuangying
中录德加拉	zhongludejiala
