# taishenIME domain — food
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
包饼	baobing
伊比利亚火腿	yibiliyahuotui
奶油芝士	naiyouzhishi
排除飲食	paichuyinshi
酸模濃湯	suanmonongtang
蕩平菜	dangpingcai
菰属	gushu
孔雀	kongque
甘草酸三钾	gancaosuansanjia
菜肉包	cairoubao
塔馬利	tamali
自發粉	zifafen
脆皮奶酥蛋糕	cuipinaisudangao
二八酱	erbajiang
咸菜	xiancai
柱侯雞	zhuhouji
伯尔尼拼盘	boernipinpan
马铃薯	malingshu
印度飛餅	yindufeibing
加冕鹹派	jiamianxianpai
普逵酒	pukuijiu
汤瓶牌	tangpingpai
蒙布朗	mengbulang
薄荷糖	baohetang
海鮮	haixian
玉米粉	yumifen
血腸	xuechang
網油釀蠔豉	wangyounianghaoshi
酱菜	jiangcai
玉子豆腐	yuzidoufu
新郎麵	xinlangmian
富爾梅達梅斯	fuermeidameisi
西洋菜薹	xiyangcaitai
李国纬	liguowei
瘦肉精	shouroujing
進食	jinshi
粟米油	sumiyou
螞蟻上樹	mayishangshu
黑豆飯	heidoufan
香油	xiangyou
什锦饭	shenjinfan
量米杯	liangmibei
蛋皮	danpi
麻辣鴨血	malayaxue
沙嗲醬	shadiejiang
五花燻肉	wuhuaxunrou
赤苍藤	chicangteng
食材	shicai
炸土魠魚	zhatutuoyu
蚵仔煎	hezaijian
凝脂奶油	ningzhinaiyou
飯局	fanju
蜂花粉	fenghuafen
韓式炸雞	hanshizhaji
燕麥片	yanmaipian
马卡普诺	makapunuo
青椒肉絲	qingjiaorousi
青稞酒	qingkejiu
西瓜	xigua
薩茨維	saciwei
糖替代品	tangtidaipin
锦州海蜇	jinzhouhaizhe
黑貓包	heimaobao
鮮味劑	xianweiji
江南百花雞	jiangnanbaihuaji
周村烧饼	zhoucunshaobing
滷肉	lurou
米莫莱特芝士	mimolaitezhishi
鑊	huo
日式烤雞串	rishikaojichuan
吳寶春	wubaochun
卡布里沙拉	kabulishala
溫泉蛋	wenquandan
糖苹果	tangpingguo
陳皮	chenpi
油蔥粿	youcongguo
吊肉	diaorou
曾秀保	cengxiubao
八角	bajiao
蛋糕	dangao
大蒜冰淇淋	dasuanbingqilin
鐵火丼	tiehuojing
奶油包	naiyoubao
罌粟奶	yingsunai
阿拉斯加雪糕	alasijiaxuegao
英式燒牛肉	yingshishaoniurou
黑莓派	heimeipai
木瓜蛋白酶	muguadanbaimei
潮阳姜薯	chaoyangjiangshu
福鼎肉片	fudingroupian
髒剋	zangke
冰冰好料理	bingbinghaoliaoli
意大利燴牛膝	yidalihuiniuxi
食用色素	shiyongsesu
嗆蟹	qiangxie
素食漢堡	sushihanbao
易腐货物	yifuhuowu
火燒兒	huoshaoer
炆	wen
黃陂三鮮	huangbeisanxian
雞胸肉布丁	jixiongroubuding
炒米粉	chaomifen
小扁豆汤	xiaobiandoutang
蒸锅	zhengguo
抓饭	zhuafan
水煮蛋	shuizhudan
希臘香煎起司	xilaxiangjianqisi
草加煎餅	caojiajianbing
黄喉	huanghou
酸梅汤	suanmeitang
燕麥屬	yanmaishu
毛木耳	maomuer
泰國捲	taiguojuan
奶茶	naicha
