# 泰深输入法专业词库 — forum_slang
# 格式：词 拼音（每行一个，制表符分隔）
# 来源：公开网络语料（OOV 挖掘 + 语义筛选）
搭子	dazi
传武	chuanwu
傻逼	shabi
塌房	tafang
网暴	wangbao
哔哩	bili
青训	qingxun
连麦	lianmai
牛逼	niubi
问责	wenze
抖音	douyin
恩基爱	enjiai
龟男	guinan
龟龟	guigui
雷点	leidian
老登	laodeng
跑路	paolu
混动	hundong
自研	ziyan
魔怔	mozheng
碰瓷	pengci
颜值	yanzhi
微博	weibo
哔哩哔哩	bilibili
吊州	diaozhou
前档	qiandang
雨刷	yushua
网红	wanghong
吐槽	tucao
生娃	shengwa
舔狗	tiangou
博主	bozhu
插混	chahun
把控	bakong
前五	qianwu
一坨	yituo
女拳	nvquan
登味	dengwei
日系	rixi
四驱	siqu
点赞	dianzan
小红书	xiaohongshu
双标	shuangbiao
饭圈	fanquan
摇人	yaoren
失联	shilian
断联	duanlian
高管	gaoguan
话术	huashu
卖爆	maibao
洗白	xibai
人设	renshe
安卓	anzhuo
麻了	male
水友	shuiyou
闪退	shantui
拉黑	lahei
时薪	shixin
闺蜜	guimi
俄乌	ewu
开年	kainian
出装	chuzhuang
祛魅	qumei
逆天	nitian
口嗨	kouhai
闪充	shanchong
提车	tiche
快跑	kuaipao
一波	yibo
大把	daba
闹麻	naoma
闹麻了	naomale
暴论	baolun
难绷	nanbeng
开盒	kaihe
规训	guixun
靠谱	kaopu
剐蹭	guaceng
超巨	chaoju
老毕登	laobideng
黄桃	huangtao
无欲无求	wuyuwuqiu
打脸	dalian
破事	poshi
逆天了	nitianle
有娃	youwa
兔兔	tutu
试驾	shijia
纯电	chundian
狼大	langda
驻车	zhuche
蓝白	lanbai
智驾	zhijia
雨刮	yugua
后驱	houqu
素颜	suyan
国女	guonv
体脂	tizhi
侧窗	cechuang
顶配	dingpei
云辇	yunnian
极氪	jike
维信诺	weixinnuo
谷电	gudian
刹停	shating
星瑞	xingrui
豹五	baowu
背刺	beici
炸街	zhajie
甩锅	shuaiguo
充桩	chongzhuang
领克	lingke
白嫖	baipiao
前备箱	qianbeixiang
南网	nanwang
实锤	shichui
贴吧	tieba
玉玉	yuyu
茧房	jianfang
母胎	mutai
白男	bainan
国男	guonan
零百	lingbai
交强险	jiaoqiangxian
家充桩	jiachongzhuang
体脂秤	tizhicheng
紫薯	zishu
零跑	lingpao
对标	duibiao
探店	tandian
快充	kuaichong
网约车	wangyueche
推特	tuite
文旅	wenlv
整活	zhenghuo
丐版	gaiban
胎压	taiya
束脚裤	shujiaoku
虎扑	hupu
增程	zengcheng
锁电	suodian
变道	biandao
异响	yixiang
知乎	zhihu
美团	meituan
雅迪	yadi
玩梗	wangeng
奔现	benxian
顶流	dingliu
巨佬	julao
懂王	dongwang
吃瓜	chigua
子波	zibo
炮友	paoyou
微信	weixin
插眼	chayan
刚需	gangxu
被网暴	beiwangbao
月供	yuegong
啃老	kenlao
主包	zhubao
黑丝	heisi
穿搭	chuanda
有房有车	youfangyouche
考编	kaobian
入职	ruzhi
单着	danzhe
考公	kaogong
小登	xiaodeng
钉钉	dingding
面基	mianji
颜控	yankong
约炮	yuepao
中登	zhongdeng
快更	kuaigeng
催更	cuigeng
老铁	laotie
早谢	zaoxie
带娃	daiwa
白丝	baisi
读博	dubo
脑补	naobu
未育	weiyu
饭搭子	fandazi
婚房	hunfang
发小	faxiao
华子	huazi
托举	tuoju
