# 泰深输入法专业词库 — geography
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
鎳黃鐵礦	niehuangtiekuang
坡地	podi
新埔溫泉	xinpuwenquan
塞雷娜深淵	saileinashenyuan
阿拉伯板块	alabobankuai
组团式城市群	zutuanshichengshiqun
褶曲山脈	zhequshanmai
奴克拉通	nukelatong
哥白尼紀	gebainiji
濁流沉積	zhuoliuchenji
农业区位因素	nongyequweiyinsu
溶移质	rongyizhi
顶峰带	dingfengdai
纳斯卡板块	nasikabankuai
火山場	huoshanchang
發展地理學	fazhandilixue
深泓线	shenhongxian
地球生物学	diqiushengwuxue
天狗礫	tiangouli
石英二长岩	shiyingerzhangyan
所羅門海板塊	suoluomenhaibankuai
顆粒流	keliliu
石磨	shimo
牛伏礦體	niufukuangti
內澇	neilao
经济地质学	jingjidizhixue
双峰山	shuangfengshan
砷华	shenhua
高沟组	gaogouzu
震源深度	zhenyuanshendu
海因里希事件	haiyinlixishijian
穀神星地質	gushenxingdizhi
猴石沟组	houshigouzu
地幔	diman
臺灣地震列表	taiwandizhenliebiao
应用地貌学	yingyongdimaoxue
活断层	huoduanceng
稀土火成岩	xituhuochengyan
夷平面	yipingmian
班達海板塊	bandahaibankuai
绿松石	lvsongshi
虎头寺组	hutousizu
蓟县构造期	jixiangouzaoqi
假蓝宝石	jialanbaoshi
四國喀斯特	siguokasite
地震	dizhen
煎锅湖	jianguohu
海床	haichuang
地理信息系统	dilixinxixitong
城乡结合部	chengxiangjiehebu
推覆體	tuifuti
行星地質學	xingxingdizhixue
国际竹藤组织	guojizhutengzuzhi
草嶺潭	caolingtan
十二边石	shierbianshi
巴松措	basongcuo
大理岩	daliyan
淮南生物群	huainanshengwuqun
濕婆隕石坑	shipoyunshikeng
地质构造	dizhigouzao
野柳女王頭	yeliunvwangtou
爆炸地震效应	baozhadizhenxiaoying
理查特結構	lichatejiegou
鉑族金屬	bozujinshu
鹽丘	yanqiu
技術地理學	jishudilixue
大鳥池	daniaochi
天然堤	tianrandi
泰國火山列表	taiguohuoshanliebiao
地震列表	dizhenliebiao
加拿大地盾	jianadadidun
江博明	jiangboming
侵蚀轮回说	qinshilunhuishuo
文諾納群	wennuonaqun
鎂膨潤石	meipengrunshi
构造物理学	gouzaowulixue
铅丹	qiandan
坨里组	tuolizu
地球大气层	diqiudaqiceng
躍移	yueyi
爺亨溫泉	yehengwenquan
解理面	jielimian
科尼亞克期	keniyakeqi
无烟煤	wuyanmei
火石岭组	huoshilingzu
切爾斯基山脈	qieersijishanmai
陡坡寺组	douposizu
都乐岩	douleyan
羟砷锌石	qiangshenxinshi
鎳華	niehua
岩漿置入	yanjiangzhiru
泥盆纪	nipenji
岩化	yanhua
浊积岩	zhuojiyan
富铝质火成岩	fulvzhihuochengyan
混杂沉积岩	hunzachenjiyan
陨星深井洞	yunxingshenjingdong
工程地质学	gongchengdizhixue
核幔邊界	hemanbianjie
地殼均衡	dikejunheng
