# 泰深输入法专业词库 — history
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
耶稣的历史性	yesudelishixing
文史工作	wenshigongzuo
製圖六體	zhituliuti
媒體藝術史	meitiyishushi
戰國	zhanguo
非洲遗传史	feizhouyichuanshi
重祥	zhongxiang
阿奎拉旗手	akuilaqishou
奴克拉通	nukelatong
年代记	niandaiji
五角大楼文件	wujiaodalouwenjian
歷史漫畫	lishimanhua
应许之地	yingxuzhidi
日羅夏治	riluoxiazhi
池座	chizuo
魚鳧	yufu
鐵面人	tiemianren
三月行动	sanyuexingdong
漢都亞傳	handouyachuan
塔与栅栏	tayuzhalan
沃尔芬登报告	woerfendengbaogao
盜版音樂	daobanyinle
黑幫紀實	heibangjishi
薩馬提亞人	samatiyaren
獨樹山之役	dushushanzhiyi
沙海之门	shahaizhimen
王牌	wangpai
海因里希事件	haiyinlixishijian
烽火芳菲	fenghuofangfei
奥斯塔公国	aositagongguo
新港少女李乐	xingangshaonvlile
安茹王朝	anruwangchao
荷蘭甕	helanweng
孟养	mengyang
佳特洛夫事件	jiateluofushijian
傳染病歷史	chuanranbinglishi
西方的没落	xifangdemeiluo
漢藏民族	hancangminzu
雕版印刷	diaobanyinshua
陳韶	chenshao
古典主义音乐	gudianzhuyiyinle
王恭廠大爆炸	wanggongchangdabaozha
格物致知	gewuzhizhi
刘大白	liudabai
辞书	cishu
高速帆船航路	gaosufanchuanhanglu
郑和下西洋考	zhenghexiaxiyangkao
建初	jianchu
甲府事件	jiafushijian
玛雅人	mayaren
红色两年	hongseliangnian
米爾格倫實驗	miergelunshiyan
加斯科涅公國	jiasikeniegongguo
南北朝	nanbeichao
大黄册	dahuangce
海洋感覺	haiyangganjue
文化史	wenhuashi
柳花夫人	liuhuafuren
箕子朝鲜	jizichaoxian
英俄條約	yingetiaoyue
最高执政团	zuigaozhizhengtuan
月光太子	yueguangtaizi
卢卡	luka
断代史	duandaishi
圣武记	shengwuji
國防軍無罪論	guofangjunwuzuilun
尼科米底亞	nikemidiya
汉学	hanxue
山铜	shantong
巴达里文化	badaliwenhua
历史人	lishiren
史学元虚构	shixueyuanxugou
文字史	wenzishi
林佐瀚	linzuohan
八会寺刻经	bahuisikejing
会试	huishi
爱西尼	aixini
夨國	zeguo
海上教堂	haishangjiaotang
地球科学	diqiukexue
心理学史	xinlixueshi
革命	geming
光荣革命	guangronggeming
荊蛮	jingman
盜墓	daomu
均變論	junbianlun
失敗國家	shibaiguojia
日本畫	ribenhua
人民史观	renminshiguan
德妃	defei
非整合	feizhenghe
浪人劍客	langrenjianke
朝代	chaodai
贝鲁尔	beiluer
凿沉	zaochen
恐怖主义史	kongbuzhuyishi
工薪族楚漢志	gongxinzuchuhanzhi
米兰敕令	milanchiling
城鎮特權	chengzhentequan
历法	lifa
农村包围城市	nongcunbaoweichengshi
楊南郡	yangnanjun
地球的未來	diqiudeweilai
撒馬利亞起義	samaliyaqiyi
地理志	dilizhi
赤腳阿元	chijiaoayuan
距今	jujin
建筑史	jianzhushi
青铜器	qingtongqi
平江图	pingjiangtu
电影史	dianyingshi
新科学	xinkexue
火焰法庭	huoyanfating
昆虫学	kunchongxue
國民樂派	guominlepai
宗教寬容令	zongjiaokuanrongling
穹廬下的魔女	qiongluxiademonv
卡姆登戰役	kamudengzhanyi
巴黎学派	balixuepai
虛構時間假說	xugoushijianjiashuo
文化层	wenhuaceng
實在論	shizailun
古罗马	guluoma
羅馬史	luomashi
齐默尔曼电报	qimoermandianbao
美国殖民协会	meiguozhiminxiehui
天人感应	tianrenganying
考古学文化	kaoguxuewenhua
普通法系	putongfaxi
美國歷史評論	meiguolishipinglun
谁是新中国	shuishixinzhongguo
口頭法律	koutoufalv
挑戰者號遠征	tiaozhanzhehaoyuanzheng
雨傘革命	yusangeming
王家的紋章	wangjiadewenzhang
全球化史	quanqiuhuashi
漢字注音史	hanzizhuyinshi
畜牧學	chumuxue
宗教史	zongjiaoshi
切斯特	qiesite
西方偽史論	xifangweishilun
公元	gongyuan
法律人类学	falvrenleixue
斯多葛主義	siduogezhuyi
十誡	shijie
辛布里人	xinbuliren
法律史	falvshi
西方美术史	xifangmeishushi
美国宪法	meiguoxianfa
單周堯	danzhouyao
金念珠	jinnianzhu
環境史	huanjingshi
遺物	yiwu
胶印	jiaoyin
禎州節度使	zhenzhoujiedushi
巴黎條約	balitiaoyue
耶书	yeshu
阿萨拉格齐史	asalageqishi
宫廷犹太人	gongtingyoutairen
忖度服从	cundufucong
台灣史學史	taiwanshixueshi
玉奧之戰	yuaozhizhan
古史新證	gushixinzheng
龍巖浦事件	longyanpushijian
軍事全球化	junshiquanqiuhua
奏鸣曲式	zoumingqushi
深時	shenshi
赫耳墨斯文集	heermosiwenji
均田制	juntianzhi
法西斯主义	faxisizhuyi
口述歷史	koushulishi
联邦党人文集	lianbangdangrenwenji
主知主義	zhuzhizhuyi
天狼周	tianlangzhou
皇权转移	huangquanzhuanyi
伊什塔尔之星	yishentaerzhixing
地球地质历史	diqiudizhilishi
西方正典	xifangzhengdian
服装史	fuzhuangshi
南上北下地圖	nanshangbeixiaditu
小艾伯特实验	xiaoaiboteshiyan
城池	chengchi
犹太史	youtaishi
王者之星	wangzhezhixing
日本摄影史	ribensheyingshi
玻利瓦爾主義	boliwaerzhuyi
新世界秩序	xinshijiezhixu
三國志集解	sanguozhijijie
環境設計	huanjingsheji
民族與文化	minzuyuwenhua
乡村史	xiangcunshi
茜茜公主	xixigongzhu
免役法	mianyifa
司牙孜会谳	siyazihuiyan
后三头同盟	housantoutongmeng
輪轉印刷機	lunzhuanyinshuaji
布鲁塞尔化	bulusaierhua
昆蟲採集	kunchongcaiji
议会迷	yihuimi
树轮年代学	shulunniandaixue
在臺猶太人	zaitaiyoutairen
內史叔服	neishishufu
信德学	xindexue
货币战争	huobizhanzheng
五天工作制	wutiangongzuozhi
郵政貓	youzhengmao
櫻姬華傳	yingjihuachuan
彼得堡学派	bidebaoxuepai
经济思想史	jingjisixiangshi
加汀納符號表	jiatingnafuhaobiao
留言板	liuyanban
文物普查	wenwupucha
界	jie
石棚	shipeng
让步政策	rangbuzhengce
農業革命	nongyegeming
航空史	hangkongshi
做旧	zuojiu
中國環境史	zhongguohuanjingshi
犹太文化	youtaiwenhua
耶路撒冷历史	yelusalenglishi
貝珠衣	beizhuyi
阿达罗尔德	adaluoerde
欽察蘇尤	qinchasuyou
管理思想史	guanlisixiangshi
命名遺址	mingmingyizhi
史学史	shixueshi
欧洲海事史	ouzhouhaishishi
鹿港街長宿舍	lugangjiezhangsushe
杜钢建	dugangjian
古埃及	guaiji
份田制	fentianzhi
下勃艮第王国	xiabogendiwangguo
人類的故事	renleidegushi
明朝伯爵列表	mingchaobojueliebiao
禹貢地域圖	yugongdiyutu
卡普阿公国	kapuagongguo
珍妮纺纱机	zhennifangshaji
環球飛行	huanqiufeixing
治外法权	zhiwaifaquan
最長壽生命	zuizhangshoushengming
坎多事件	kanduoshijian
飛虎奇兵	feihuqibing
穆勒報告	muleibaogao
分工	fengong
日本三国	ribensanguo
鳥首狀器	niaoshouzhuangqi
东方哲学史	dongfangzhexueshi
薩莫拉條約	samolatiaoyue
名劍	mingjian
比武大會	biwudahui
操作系统历史	caozuoxitonglishi
尼姆鲁德透镜	nimuludetoujing
支城	zhicheng
愛情與小腳趾	aiqingyuxiaojiaozhi
恒河之流	henghezhiliu
栅栏区	zhalanqu
市易法	shiyifa
今镜	jinjing
罗马式美术	luomashimeishu
公共知识分子	gonggongzhishifenzi
歷史奇幻	lishiqihuan
南迁录	nanqianlu
辉格史	huigeshi
平壤钟	pingrangzhong
阿尔蒂	aerdi
羅桑倫巴	luosanglunba
生成	shengcheng
自虐史觀	zinveshiguan
古典音乐	gudianyinyue
我有一个梦想	woyouyigemengxiang
原始全球化	yuanshiquanqiuhua
藤村新一	tengcunxinyi
中葡聯合聲明	zhongpulianheshengming
索國	suoguo
新無神論	xinwushenlun
艺术意志	yishuyizhi
当孝敬父母	dangxiaojingfumu
奧拉寧鮑姆宮	aolaningbaomugong
北角之役	beijiaozhiyi
史料	shiliao
以色列王國	yiseliewangguo
古典制約	gudianzhiyue
蘇非王朝	sufeiwangchao
浪漫主義音樂	langmanzhuyiyinle
脆弱的变化	cuiruodebianhua
宗教思想	zongjiaosixiang
格林貝格之戰	gelinbeigezhizhan
地理总论	dilizonglun
历史地理学	lishidilixue
俠義少年王	xiayishaonianwang
希特勒遺囑	xiteleiyizhu
西潮	xichao
陳勝長	chenshengzhang
霸道	badao
古代北歐亞人	gudaibeiouyaren
小北文明	xiaobeiwenming
新儒家	xinrujia
百乘王朝	baichengwangchao
羅馬十二面體	luomashiermianti
環境決定論	huanjingjuedinglun
東周英雄傳	dongzhouyingxiongchuan
海上民族	haishangminzu
达文波特碑	dawenbotebei
太陽語言理論	taiyangyuyanlilun
蘇黎世條約	sulishitiaoyue
奴隸貿易	nulimaoyi
拉贝日记	labeiriji
晝盲神探	zhoumangshentan
病毒社会史	bingdushehuishi
亞伯拉罕諸教	yabolahanzhujiao
长时段	zhangshiduan
大歷史	dalishi
北方文藝復興	beifangwenyifuxing
射鵰英雄傳	shediaoyingxiongchuan
革命形势	gemingxingshi
闇河魅影	anhemeiying
文明	wenming
法蒂玛王朝	fadimawangchao
黄水梨故居	huangshuiliguju
西库尔人	xikuerren
广告史	guanggaoshi
愚者信長	yuzhexinzhang
西藏攝影史	xicangsheyingshi
地理大发现	dilidafaxian
八关都尉	baguandouwei
出土文獻	chutuwenxian
忠臣藏	zhongchencang
卜塔大祭司	botadajisi
半坡陶符	banpotaofu
练习律	lianxilv
刘再复	liuzaifu
蜀學	shuxue
伯爾尼條約	boernitiaoyue
张阿辉故居	zhangahuiguju
常識	changshi
心理学	xinlixue
九個平圖比人	jiugepingtubiren
嚈噠	yeda
苏联外交	sulianwaijiao
權力鬥爭	quanlidouzheng
波茨坦公告	bocitangonggao
刀客	daoke
符定一	fudingyi
医学	yixue
飛安里	feianli
世	shi
加班	jiaban
波罗地海海盗	boluodihaihaidao
馬加比家族	majiabijiazu
國家馬克	guojiamake
伊克塔	yiketa
白公山鐵管	baigongshantieguan
三圃制	sanpuzhi
歷史學	lishixue
林貢斯人	lingongsiren
北京专约	beijingzhuanyue
殉道者紀年	xundaozhejinian
訪客留言簿	fangkeliuyanbu
散国	sanguo
京都學派	jingdouxuepai
历史悬疑小说	lishixuanyixiaoshuo
傅璇琮	fuxuancong
扶餘泰	fuyutai
阿基坦人	ajitanren
陳煒舜	chenweishun
墨攻	mogong
易满徐战斗	yimanxuzhandou
盘庚迁殷	pangengqianyin
赫梯学	hetixue
海地革命	haidigeming
西北土地法令	xibeitudifaling
垃圾學	lajixue
軍事歷史學	junshilishixue
图坦	tutan
群青戰記	qunqingzhanji
东方学	dongfangxue
整體藝術	zhengtiyishu
驛傳制	yichuanzhi
物價革命	wujiageming
太陽神與酒神	taiyangshenyujiushen
徽学	huixue
蔣公堤功德碑	jianggongdigongdebei
愛因斯坦的夢	aiyinsitandemeng
考古年代测定	kaoguniandaiceding
層序地層學	cengxudicengxue
宣光之圍	xuanguangzhiwei
心理史學	xinlishixue
方志学	fangzhixue
人民海军师	renminhaijunshi
楚国文字	chuguowenzi
萨伏依王朝	safuyiwangchao
解放者	jiefangzhe
樂譜	lepu
心理學年表	xinlixuenianbiao
革命共和国	geminggongheguo
国民党反动派	guomindangfandongpai
波伊廷格地图	boyitinggeditu
美国谍梦	meiguodiemeng
昏	hun
無產階級革命	wuchanjiejigeming
科爾孫戰役	keersunzhanyi
军团士兵	juntuanshibing
阿尔塔米拉洞	aertamiladong
历史学家	lishixuejia
亚洲历史	yazhoulishi
国家历史地标	guojialishidibiao
毕昇	bisheng
末日审判书	morishenpanshu
科伊科伊人	keyikeyiren
源氏物語	yuanshiwuyu
考古学史	kaoguxueshi
日	ri
匈人的起源	xiongrendeqiyuan
軍事史	junshishi
宇文所安	yuwensuoan
撒馬利亞	samaliya
人類學史	renleixueshi
贝克奖	beikejiang
未来简史	weilaijianshi
蒙古黄金史纲	mengguhuangjinshigang
雅各布	yagebu
守護代	shouhudai
封建社会	fengjianshehui
一騎當千	yiqidangqian
天文計年	tianwenjinian
语料库语言学	yuliaokuyuyanxue
歷史主義	lishizhuyi
風之塔	fengzhita
魏氏春秋	weishichunqiu
千纪	qianji
醜的歷史	choudelishi
納巴泰人	nabatairen
安祚	anzuo
娥	e
時代	shidai
強盗騎士	qiangdaoqishi
政道與治道	zhengdaoyuzhidao
鍾無艷	zhongwuyan
达尔里阿达	daerliada
人性論	renxinglun
嘉德阿威亞	jiadeaweiya
我的名字叫紅	wodemingzijiaohong
意志	yizhi
春秋大事表	chunqiudashibiao
觀念論	guannianlun
大北极探险	dabeijitanxian
南門公園碑林	nanmengongyuanbeilin
空投柏林	kongtoubailin
人事档案	renshidangan
历史社会学	lishishehuixue
百載鑪峰	baizailufeng
猶太區	youtaiqu
杜鲁门主义	dulumenzhuyi
以眼还眼	yiyanhuanyan
玫瑰之名	meiguizhiming
科学史	kexueshi
原始藝術	yuanshiyishu
乌干达计划	wugandajihua
巴納姆效應	banamuxiaoying
行銷科技	xingxiaokeji
近代史	jindaishi
龟兹回鹘	guizihuigu
女王制造者	nvwangzhizaozhe
骠国	biaoguo
歷史畫	lishihua
碟式底片	dieshidipian
黎初朝	lichuchao
海洋怪聲	haiyangguaisheng
文化圈	wenhuaquan
史籀	shizhou
丝绸历史	sichoulishi
浪漫主义	langmanzhuyi
宗教年表	zongjiaonianbiao
中國圖說	zhongguotushuo
萨朗波	salangbo
東鄰西廂	donglinxixiang
中国史学史	zhongguoshixueshi
王者天下	wangzhetianxia
旋回地層學	xuanhuidicengxue
象年	xiangnian
瓦莱共和国	walaigongheguo
後現代性	houxiandaixing
