# 泰深输入法专业词库 — idiom
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
大义灭亲	dayimieqin
關門捉賊	guanmenzhuozei
皆大歡喜	jiedahuanxi
酒池肉林	jiuchiroulin
精卫填海	jingweitianhai
五子登科	wuzidengke
四面楚歌	simianchuge
螳螂捕蝉	tanglangbuchan
懸梁刺股	xuanliangcigu
麒麟送子	qilinsongzi
成语	chengyu
危急存亡之秋	weijicunwangzhiqiu
唱籌量沙	changchouliangsha
梅開二度	meikaierdu
調虎離山	diaohulishan
四字成語	sizichengyu
遠交近攻	yuanjiaojingong
投筆從戎	toubicongrong
青出於藍	qingchuyulan
百鸟朝凤	bainiaochaofeng
天女散花	tiannvsanhua
漫画中国成语	manhuazhongguochengyu
成語動畫廊	chengyudonghualang
打草驚蛇	dacaojingshe
自毀長城	zihuizhangcheng
甘棠遗爱	gantangyiai
洛陽紙貴	luoyangzhigui
乘龙快婿	chenglongkuaixu
借刀杀人	jiedaosharen
連中三元	lianzhongsanyuan
趁火打劫	chenhuodajie
楚弓楚得	chugongchude
峰迴路轉	fenghuiluzhuan
前倨後恭	qianjuhougong
目不識丁	mubushiding
七月流火	qiyueliuhuo
定於一尊	dingyuyizun
請君入甕	qingjunruweng
夜以继日	yeyijiri
作姦犯科	zuojianfanke
有求必应	youqiubiying
江郎才尽	jianglangcaijin
唇亡齒寒	chunwangchihan
指桑罵槐	zhisangmahuai
鞠躬盡瘁	jugongjincui
終南捷徑	zhongnanjiejing
沆瀣一氣	hangxieyiqi
錦衣夜行	jinyiyexing
愚公移山	yugongyishan
十恶不赦	shiebushe
三十六计	sanshiliuji
順手牽羊	shunshouqianyang
三顧草廬	sangucaolu
屈指可數	quzhikeshu
房谋杜断	fangmoududuan
鑿壁偷光	zaobitouguang
李代桃僵	lidaitaojiang
獅子滾球	shizigunqiu
孟母三迁	mengmusanqian
病入膏肓	bingrugaohuang
血浓于水	xuenongyushui
实事求是	shishiqiushi
衣錦還鄉	yijinhaixiang
杞人忧天	qirenyoutian
鯉躍龍門	liyuelongmen
偷梁換柱	toulianghuanzhu
卿卿我我	qingqingwowo
反客為主	fankeweizhu
隔岸觀火	geanguanhuo
唾面自乾	tuomianziqian
招財進寶	zhaocaijinbao
假道伐虢	jiadaofaguo
韩国年度成语	hanguonianduchengyu
不學無術	buxuewushu
百花齐放	baihuaqifang
以逸待勞	yiyidailao
纸上谈兵	zhishangtanbing
借屍還魂	jieshihaihun
美人計	meirenji
杯弓蛇影	beigongsheying
破舊立新	pojiulixin
韋編三絕	weibiansanjue
卧薪尝胆	woxinchangdan
管鮑之交	guanbaozhijiao
负薪挂角	fuxinguajiao
如魚得水	ruyudeshui
欲擒故縱	yuqinguzong
沐猴而冠	muhouerguan
上屋抽梯	shangwuchouti
汗牛充棟	hanniuchongdong
樹上開花	shushangkaihua
白马非马	baimafeima
樑上君子	liangshangjunzi
周遊列國	zhouyoulieguo
兵荒馬亂	binghuangmaluan
有恃無恐	youshiwukong
遠走高飛	yuanzougaofei
代天巡狩	daitianxunshou
負荊請罪	fujingqingzui
三姑六婆	sanguliupo
飞檐走壁	feiyanzoubi
毋忘在莒	wuwangzaiju
後來居上	houlaijushang
刎頸之交	wenjingzhijiao
百步穿楊	baibuchuanyang
猥自枉屈	weiziwangqu
聲東擊西	shengdongjixi
金蟬脫殼	jinchantuoke
作法自斃	zuofazibi
釜底抽薪	fudichouxin
引喻失義	yinyushiyi
假癡不癲	jiachibudian
刮目相看	guamuxiangkan
二龍戲珠	erlongxizhu
妄自菲薄	wangzifeibo
七年之痒	qinianzhiyang
罄竹難書	qingzhunanshu
吳下阿蒙	wuxiaameng
信口雌黃	xinkoucihuang
燭影斧聲	zhuyingfusheng
門庭若市	mentingruoshi
瞞天過海	mantianguohai
背水一战	beishuiyizhan
虎溪三笑	huxisanxiao
初出茅廬	chuchumaolu
柳暗花明	liuanhuaming
拖泥带水	tuonidaishui
覆水難收	fushuinanshou
蕭規曹隨	xiaoguicaosui
掩耳盜鈴	yanerdaoling
不食周粟	bushizhousu
弘益人间	hongyirenjian
过五关斩六将	guowuguanzhanliujiang
不寒而慄	buhanerli
一期一會	yiqiyihui
鐵杵磨針	tiechumozhen
子虛烏有	zixuwuyou
南橘北枳	nanjubeizhi
走火入魔	zouhuorumo
苦肉計	kurouji
盲人摸象	mangrenmoxiang
連環計	lianhuanji
圍魏救趙	weiweijiuzhao
替天行道	titianxingdao
笑裏藏刀	xiaolicangdao
澠池之會	mianchizhihui
二桃殺三士	ertaoshasanshi
全民皆兵	quanminjiebing
食辨勞薪	shibianlaoxin
三人成虎	sanrenchenghu
渾水摸魚	hunshuimoyu
井底之蛙	jingdizhiwa
判官贔屓	panguanbixie
擒賊擒王	qinzeiqinwang
助紂為虐	zhuzhouweinve
七十二变	qishierbian
焚书坑儒	fenshukengru
见义勇为	jianyiyongwei
刻舟求劍	kezhouqiujian
约法三章	yuefasanzhang
以牙還牙	yiyahaiya
無法無天	wufawutian
鹬蚌相争	yubangxiangzheng
債台高築	zhaitaigaozhu
空城計	kongchengji
奇貨可居	qihuokeju
不知所云	buzhisuoyun
庖丁解牛	paodingjieniu
庄周梦蝶	zhuangzhoumengdie
八仙过海	baxianguohai
欲盖弥彰	yugaimizhang
抛砖引玉	paozhuanyinyu
鳥盡弓藏	niaojingongcang
红颜祸水	hongyanhuoshui
完璧歸趙	wanbiguizhao
反間計	fanjianji
狐假虎威	hujiahuwei
強項令	qiangxiangling
東山再起	dongshanzaiqi
無中生有	wuzhongshengyou
暗渡陈仓	anduchencang
一苇渡江	yiweidujiang
走為上計	zouweishangji
拨乱反正	boluanfanzheng
吹簫引鳳	chuixiaoyinfeng
百家争鸣	baijiazhengming
中流砥柱	zhongliudizhu
死而後已	sierhouyi
亡命之徒	wangmingzhitu
赴湯蹈火	futangdaohuo
互相推诿	huxiangtuiwei
河東獅吼	hedongshihou
