# 泰深输入法专业词库 — law
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
自然人	ziranren
巴黎承诺	balichengnuo
國際勞動基準	guojilaodongjizhun
清水組	qingshuizu
參議院議事錄	canyiyuanyishilu
法律关系	falvguanxi
吸收犯	xishoufan
敌国条款	diguotiaokuan
瑞士联邦宪章	ruishilianbangxianzhang
職務著作	zhiwuzhuzuo
成吉思汗法典	chengjisihanfadian
自然景觀	ziranjingguan
遺贈	yizeng
義警	yijing
法律术语列表	falvshuyuliebiao
权威	quanwei
公认安全	gongrenanquan
非法	feifa
委託人	weituoren
授权书	shouquanshu
謀反	moufan
海盗党列表	haidaodangliebiao
托普西	tuopuxi
冠姓	guanxing
訴願法	suyuanfa
二千字宣言	erqianzixuanyan
法律工作者	falvgongzuozhe
胁迫行为	xiepoxingwei
供認	gongren
表見代理	biaojiandaili
布告	bugao
鍋爐室	guolushi
精神药物公约	jingshenyaowugongyue
國際衛生條例	guojiweishengtiaoli
嚴肅性	yansuxing
共時性	gongshixing
国际人权法	guojirenquanfa
密特拉	mitela
違法	weifa
規範再定禁止	guifanzaidingjinzhi
履約保證	lvyuebaozheng
法律能力	falvnengli
個人資訊	gerenzixun
孤星行动	guxingxingdong
行使假文件	xingshijiawenjian
減輕	jianqing
易服社會勞動	yifushehuilaodong
翻唱	fanchang
亞洲人權憲章	yazhourenquanxianzhang
萬國禁煙會	wanguojinyanhui
決議	jueyi
蒙蘇農多	mengsunongduo
引導性問題	yindaoxingwenti
砂拉越州宪法	shalayuezhouxianfa
程序法	chengxufa
婚生子女	hunshengzinv
囚犯	qiufan
財產	caichan
絕食	jueshi
漢律	hanlv
有條件投降	youtiaojiantoujiang
米兰达警告	milandajinggao
放送法	fangsongfa
环境法学	huanjingfaxue
財產法	caichanfa
民间图书馆	minjiantushuguan
反歧視法	fanqishifa
魯莽	lumang
法律援助	falvyuanzhu
地理封锁	dilifengsuo
施工许可	shigongxuke
福建幫	fujianbang
字幕組	zimuzu
国际输血协会	guojishuxuexiehui
法律现实主义	falvxianshizhuyi
公民拘捕權	gongminjubuquan
非政府组织	feizhengfuzuzhi
管制物质	guanzhiwuzhi
訟辯人	songbianren
祖国在危急中	zuguozaiweijizhong
食肉道德观	shiroudaodeguan
法学	faxue
行政行為	xingzhengxingwei
陀地	tuodi
双剑论	shuangjianlun
藐視法庭	miaoshifating
過失犯	guoshifan
可公訴罪行	kegongsuzuixing
同時性原則	tongshixingyuanze
普通法系罪行	putongfaxizuixing
海豹獵捕	haibaoliebu
感覺剝奪	ganjueboduo
中途宿舍	zhongtusushe
连续犯	lianxufan
营救协定	yingjiuxieding
安歆集团	anxinjituan
總統公告	zongtonggonggao
建築技術規則	jianzhujishuguize
暫准判令	zanzhunpanling
米兰敕令	milanchiling
把柄威胁	babingweixie
殉道者之声	xundaozhezhisheng
外地	waidi
城鎮特權	chengzhentequan
日常携带品	richangxiedaipin
因果關係	yinguoguanxi
母港	mugang
法律源于事实	falvyuanyushishi
电视认罪	dianshirenzui
费用清单	feiyongqingdan
戀愛結婚	lianaijiehun
我是一個人	woshiyigeren
黎凡特公司	lifantegongsi
離家出走	lijiachuzou
融通物	rongtongwu
公司稅	gongsishui
火焰法庭	huoyanfating
比較過失	bijiaoguoshi
盡職調查	jinzhidiaocha
新科学	xinkexue
常設機構	changshejigou
垃圾科学	lajikexue
作弊	zuobi
兇手	xiongshou
衡平仲裁	hengpingzhongcai
科料	keliao
法律行為	falvxingwei
特別檢察官	tebiejianchaguan
克諾珀斯法令	kenuoposifaling
人權宣言	renquanxuanyan
宗教寬容令	zongjiaokuanrongling
特許狀	texuzhuang
日惹原則	rireyuanze
芝加哥七人案	zhijiageqirenan
战争罪	zhanzhengzui
立人大学	lirendaxue
政府論	zhengfulun
雙重國家	shuangzhongguojia
未必故意	weibiguyi
經營判斷法則	jingyingpanduanfaze
明德慎罚	mingdeshenfa
脯刑	puxing
有組織犯罪	youzuzhifanzui
绿校	lvxiao
州民大會	zhoumindahui
有罪推定	youzuituiding
安妮法規	annifagui
普通法系	putongfaxi
蛇頭	shetou
農業合作社	nongyehezuoshe
口頭法律	koutoufalv
理性自然人	lixingziranren
國際失蹤者日	guojishizongzheri
卡塔尔基金会	kataerjijinhui
英廷按察使	yingtinganchashi
奧斯威辛審判	aosiweixinshenpan
郭鳳儀	guofengyi
犯罪组织列表	fanzuizuzhiliebiao
法律人类学	falvrenleixue
敵對的外國人	diduidewaiguoren
内罗毕条约	neiluobitiaoyue
好警察坏警察	haojingchahuaijingcha
十誡	shijie
法律意見書	falvyijianshu
欧洲海盗党	ouzhouhaidaodang
法定監護人	fadingjianhuren
法學持續教育	faxuechixujiaoyu
法律史	falvshi
隐匿叛国罪	yinnipanguozui
副署	fushu
議長	yizhang
资金	zijin
公共責任	gonggongzeren
動物保護法	dongwubaohufa
关注世界	guanzhushijie
役權	yiquan
犯罪嫌疑人	fanzuixianyiren
全沖繩	quanchongsheng
平邊契據	pingbianqiju
墨刑	moxing
物權請求權	wuquanqingqiuquan
地方制度法	difangzhidufa
罪行绘图	zuixinghuitu
授權資本	shouquanziben
性與法律	xingyufalv
斷髮令	duanfaling
资产阶级法权	zichanjiejifaquan
电信诈骗	dianxinzhapian
归化	guihua
輔警	fujing
马哈尔瓦里制	mahaerwalizhi
公眾利益	gongzhongliyi
基爾學派	jierxuepai
联邦党人文集	lianbangdangrenwenji
加重	jiazhong
署名權	shumingquan
联合国宪章	lianheguoxianzhang
公證人	gongzhengren
死刑存廢問題	sixingcunfeiwenti
太空法	taikongfa
辛迪加	xindijia
雙重多數制	shuangzhongduoshuzhi
强行法	qiangxingfa
法人格	farenge
范轶然遇害案	fanyiranyuhaian
貓捉老鼠法令	maozhuolaoshufaling
倒產法	daochanfa
喪失控制	sangshikongzhi
法律篇	falvpian
法国司法部	faguosifabu
法人團體	farentuanti
陪审制	peishenzhi
沉船	chenchuan
假想防卫	jiaxiangfangwei
同鄉會	tongxianghui
花子	huazi
月旦法學雜誌	yuedanfaxuezazhi
國家賠償法	guojiapeichangfa
司牙孜会谳	siyazihuiyan
黃宗仁	huangzongren
立陶宛司法部	litaowansifabu
政治社会学	zhengzhishehuixue
繼承人	jichengren
章程	zhangcheng
志愿警察	zhiyuanjingcha
刑法学	xingfaxue
担保	danbao
网络人权宣言	wangluorenquanxuanyan
詐騙即服務	zhapianjifuwu
死亡威胁	siwangweixie
獵巫	liewu
準備程序庭	zhunbeichengxuting
虛假陳述	xujiachenshu
反致	fanzhi
中旨	zhongzhi
犯罪对象	fanzuiduixiang
自動手諭	zidongshouyu
戰時猛獸處分	zhanshimengshouchufen
李師科	lishike
英国立法机关	yingguolifajiguan
檢控官	jiankongguan
法学研究	faxueyanjiu
鐵列平敕令	tieliepingchiling
緊急避難	jinjibinan
诉讼担当	susongdandang
德萊茲測試	delaiziceshi
開放政府	kaifangzhengfu
虿盆	chaipen
政治献金	zhengzhixianjin
土匪	tufei
教育法学	jiaoyufaxue
犯罪構成要素	fanzuigouchengyaosu
耶若婆佉法论	yeruopoqufalun
无条件投降	wutiaojiantoujiang
公布	gongbu
世界廁所組織	shijiecesuozuzhi
榮格訴戴利案	ronggesudailian
治外法权	zhiwaifaquan
网络隐私	wangluoyinsi
證據排除法則	zhengjupaichufaze
權利客體	quanliketi
黎剎	lisha
舆论安全	yulunanquan
刑事侵佔	xingshiqinzhan
贪污	tanwu
無罪	wuzui
蓮花號案	lianhuahaoan
退出欧洲联盟	tuichuouzhoulianmeng
意圖	yitu
田律	tianlv
單一物	danyiwu
马法	mafa
中國合眾國	zhongguohezhongguo
法学评论	faxuepinglun
訴訟標的	susongbiaode
批示	pishi
戒严	jieyan
新刑法評論	xinxingfapinglun
就地正法	jiudizhengfa
答辯	dabian
簡易程序罪行	jianyichengxuzuixing
陳世榮	chenshirong
归因	guiyin
国际私法	guojisifa
