# 泰深输入法专业词库 — literature
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
日本外史	ribenwaishi
韵脚	yunjiao
一小時的故事	yixiaoshidegushi
驚悚	jingsong
王伯当	wangbodang
雨果奖	yuguojiang
書評書目	shupingshumu
改革文学	gaigewenxue
輕小說社	qingxiaoshuoshe
猴子	houzi
戲仿	xifang
離合詩	liheshi
诉讼笔录	susongbilu
美学散步	meixuesanbu
第五號屠宰場	diwuhaotuzaichang
自主神	zizhushen
漓江文学奖	lijiangwenxuejiang
海上花列传	haishanghualiechuan
载花船	zaihuachuan
四部备要	sibubeiyao
軌跡獎	guijijiang
迷牆	miqiang
某某	moumou
低魔奇幻	dimoqihuan
柬埔寨文學	jianpuzhaiwenxue
奥尔良的姑娘	aoerliangdeguniang
科學奇幻	kexueqihuan
延安日记	yananriji
弁而釵	bianerchai
张牧野	zhangmuye
奧蘭多	aolanduo
抒情文	shuqingwen
眠狂四郎	miankuangsilang
中国新诗流派	zhongguoxinshiliupai
摹仿	mofang
荒原	huangyuan
二千字宣言	erqianzixuanyan
音译	yinyi
凯利帮真史	kailibangzhenshi
花斑帶探案	huabandaitanan
陰性書寫	yinxingshuxie
小王子	xiaowangzi
普羅文學	puluowenxue
踏访龙的国土	tafanglongdeguotu
獨角戲	dujiaoxi
书信体小说	shuxintixiaoshuo
战国策派	zhanguocepai
河岳英灵集	heyueyinglingji
協紀辨方書	xiejibianfangshu
维基语录	weijiyulu
偷書賊	toushuzei
戏剧独白诗	xijudubaishi
还价函	haijiahan
原子習慣	yuanzixiguan
狼王羅伯	langwangluobo
熱愛生命	reaishengming
第二紀元	dierjiyuan
李尔的孩子们	lierdehaizimen
夢占	mengzhan
劉永濟	liuyongji
施莱谢尔寓言	shilaixieeryuyan
呆子秀	daizixiu
科苏特奖	kesutejiang
尤弗伊斯	youfuyisi
希罗吉恩	xiluojien
郑和下西洋考	zhenghexiaxiyangkao
台灣的十字架	taiwandeshizijia
麻姑	magu
第三人称自称	disanrenchengzicheng
歌剧魅影	gejumeiying
诗艺	shiyi
科學戰爭	kexuezhanzheng
楚尔人	chuerren
牛棚杂忆	niupengzayi
告密的心	gaomidexin
散華	sanhua
巴布爾回憶錄	babuerhuiyilu
八段锦	baduanjin
痞子文学	piziwenxue
中国文摘	zhongguowenzhai
白鯨記	baijingji
桃花鱼	taohuayu
政書	zhengshu
採桃花	caitaohua
白桦派	baihuapai
五部曲	wubuqu
定型角色	dingxingjiaose
文学流派	wenxueliupai
傳說巨神	chuanshuojushen
陆登	ludeng
夜半歌聲	yebangesheng
上海生死劫	shanghaishengsijie
胡宗宪	huzongxian
风暴季节	fengbaojijie
挪威文學	nuoweiwenxue
泰勒瑪	taileima
三言	sanyan
小妖精的腳	xiaoyaojingdejiao
富岳百景	fuyuebaijing
纳斯尔丁	nasierding
漢庭頓圖書館	hantingduntushuguan
俾什达迪王朝	bishendadiwangchao
戴立克	dailike
符文之子	fuwenzhizi
牙买加文学	yamaijiawenxue
英雄敘事詩	yingxiongxushishi
维普斯语文学	weipusiyuwenxue
白狗秋千架	baigouqiuqianjia
张秋华	zhangqiuhua
黃金羅盤	huangjinluopan
十五从军征	shiwucongjunzheng
公式小說	gongshixiaoshuo
伯納德小姐說	bonadexiaojieshuo
说苑	shuoyuan
與狼共存	yulanggongcun
断代史	duandaishi
云雾中的雪花	yunwuzhongdexuehua
七粒星	qilixing
情婦	qingfu
一九八五	yijiubawu
夢幻島	menghuandao
判断力批判	panduanlipipan
刘安	liuan
史学元虚构	shixueyuanxugou
祖国在危急中	zuguozaiweijizhong
哈拉卜贾	halabojia
窮白人	qiongbairen
勸學詩	quanxueshi
四百萬	sibaiwan
文字史	wenzishi
启蒙文学	qimengwenxue
亞塞拜然文學	yasaibairanwenxue
爱的药	aideyao
神话列表	shenhualiebiao
索利安	suolian
阿多斯	aduosi
匈牙利文学	xiongyaliwenxue
急救超人兵團	jijiuchaorenbingtuan
綜合主義	zonghezhuyi
陈晓旭	chenxiaoxu
邊城刀聲	bianchengdaosheng
犯罪小說	fanzuixiaoshuo
約翰遜傳	yuehanxunchuan
无厘头文学	wulitouwenxue
遥远地球之歌	yaoyuandiqiuzhige
郝运	haoyun
萌動	mengdong
玉米田的孩子	yumitiandehaizi
正史	zhengshi
開卷周報	kaijuanzhoubao
地海奇風	dihaiqifeng
雨燕之塔	yuyanzhita
變身	bianshen
王易	wangyi
明會要	minghuiyao
讀者反應批評	duzhefanyingpiping
漫畫原作	manhuayuanzuo
橄榄山讲论	ganlanshanjianglun
性别研究	xingbieyanjiu
石化	shihua
海边的卡夫卡	haibiandekafuka
三个流浪儿	sangeliulanger
總統公告	zongtonggonggao
叙事结构	xushijiegou
基塔卜	jitabo
黑夜之后	heiyezhihou
熙德之歌	xidezhige
銀椅	yinyi
日内瓦学派	rineiwaxuepai
失陷猩球	shixianxingqiu
札記	zhaji
门多萨手抄本	menduosashouchaoben
皆大歡喜	jiedahuanxi
國書總目錄	guoshuzongmulu
被詛咒的手	beizuzhoudeshou
作文	zuowen
斋浦尔文学节	zhaipuerwenxuejie
葛恩	geen
闲情偶寄	xianqingouji
我的奋斗	wodefendou
金陵十二钗	jinlingshierchai
榴花梦	liuhuameng
驚天奪寶	jingtianduobao
哈姆奈特	hamunaite
人面兽心	renmianshouxin
法律惊险	falvjingxian
拉玛坚	lamajian
浪漫主义文学	langmanzhuyiwenxue
樊梨花	fanlihua
傅满洲	fumanzhou
酸臭之屋	suanchouzhiwu
北歐吟唱詩人	beiouyinchangshiren
卡列维波埃格	kalieweiboaige
天堂共和國	tiantanggongheguo
人權宣言	renquanxuanyan
天卫七	tianweiqi
堂吉訶德	tangjihede
手抄本	shouchaoben
重启	chongqi
建立关系函	jianliguanxihan
骑士文学	qishiwenxue
捷克文学	jiekewenxue
多情環	duoqinghuan
麻瓜	magua
小羊和狼	xiaoyanghelang
四大文学体裁	sidawenxueticai
沁園	qinyuan
泥濘中的老虎	niningzhongdelaohu
霍斯勞和席琳	huosilaohexilin
易经	yijing
生存还是毁灭	shengcunhaishihuimie
格萨尔王传	gesaerwangchuan
拉瑪真相	lamazhenxiang
话在肉身显现	huazairoushenxianxian
莫须有先生传	moxuyouxianshengchuan
金田一耕助	jintianyigengzhu
洛布古典丛书	luobugudiancongshu
海燕之歌	haiyanzhige
霸道总裁文	badaozongcaiwen
放屁師	fangpishi
誇飾	kuashi
准风月谈	zhunfengyuetan
新人文主义	xinrenwenzhuyi
家訓	jiaxun
三十六劇	sanshiliuju
死靈族	silingzu
碧粳米	bijingmi
批判法律研究	pipanfalvyanjiu
孟姜女	mengjiangnv
元代文學	yuandaiwenxue
南唐書	nantangshu
好警察坏警察	haojingchahuaijingcha
漫才	mancai
祝福	zhufu
紐約客	niuyueke
玛斯纳维	masinawei
世界文學	shijiewenxue
伍人報	wurenbao
中说	zhongshuo
續唐書	xutangshu
卡达西	kadaxi
日省錄	rishenglu
孫仲旭	sunzhongxu
紅樺莊探案	honghuazhuangtanan
亚弗戈蒙	yafugemeng
祭十二郎文	jishierlangwen
押韻	yayun
朝花夕拾	chaohuaxishi
馬內塞古抄本	maneisaiguchaoben
田竇二師	tiandouershi
安多利人	anduoliren
工作與時日	gongzuoyushiri
時禱書	shidaoshu
心理陰影	xinliyinying
奥塞梯文学	aosaitiwenxue
勇者	yongzhe
刺客系列	cikexilie
间离效果	jianlixiaoguo
科幻小说	kehuanxiaoshuo
愤怒的青年	fennudeqingnian
石遺室詩話	shiyishishihua
鬼趣图	guiqutu
群狐	qunhu
五人墓	wurenmu
康輶纪行	kangyoujixing
插畫家	chahuajia
八洞神仙	badongshenxian
石頭湯	shitoutang
汉宫春色	hangongchunse
赋	fu
跨语言	kuayuyan
無聊外望	wuliaowaiwang
移動城市系列	yidongchengshixilie
黑暗轻小说	heianqingxiaoshuo
竞选州长	jingxuanzhouzhang
川之光	chuanzhiguang
数字恶魔物语	shuziemowuyu
蒸汽朋克	zhengqipengke
枪手	qiangshou
且介亭杂文	qiejietingzawen
靖藏本	jingcangben
