# 泰深输入法专业词库 — math
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
水仙花数	shuixianhuashu
空间分割定理	kongjianfengedingli
數表	shubiao
莫列波紋	moliebowen
共線	gongxian
预期效用假说	yuqixiaoyongjiashuo
三角学	sanjiaoxue
方差分析	fangchafenxi
进化稳定对策	jinhuawendingduice
共軛複根	gongefugen
旋转	xuanzhuan
可惡數	keeshu
量尺分數	liangchifenshu
有序域	youxuyu
心灵捕手	xinlingbushou
自协方差	zixiefangcha
理性主体	lixingzhuti
偽解析函數	weijiexihanshu
速率方程	sulvfangcheng
泰勒斯定理	taileisidingli
速率分布函数	sulvfenbuhanshu
外旋轮线	waixuanlunxian
正數	zhengshu
解析空間	jiexikongjian
水平丛	shuipingcong
段海豹	duanhaibao
黎曼级数定理	limanjishudingli
有序对	youxudui
物理学	wulixue
超越方程	chaoyuefangcheng
偶然對消	ouranduixiao
模糊规则	mohuguize
怎样解题	zenyangjieti
一种新科学	yizhongxinkexue
王柔怀	wangrouhuai
百分位排名	baifenweipaiming
玩具問題	wanjuwenti
導出拓撲	daochutuopu
形变收缩	xingbianshousuo
竖式	shushi
图形	tuxing
最小均方误差	zuixiaojunfangwucha
十四边形	shisibianxing
真假值	zhenjiazhi
反棱柱	fanlengzhu
数学结构	shuxuejiegou
右连左极函数	youlianzuojihanshu
朗之萬動力學	langzhiwandonglixue
西克曼骰子	xikemantouzi
鬼腳圖	guijiaotu
经验分布函数	jingyanfenbuhanshu
因果迴路圖	yinguohuilutu
生成元	shengchengyuan
歐拉定理	ouladingli
空间	kongjian
直觉类型论	zhijueleixinglun
欧几里得引理	oujilideyinli
单扩张	dankuozhang
雙複數	shuangfushu
反序數	fanxushu
無窮乘積	wuqiongchengji
無效證明	wuxiaozhengming
雙心坐標系	shuangxinzuobiaoxi
离散信号	lisanxinhao
紧致性定理	jinzhixingdingli
餘切	yuqie
邏輯理解能力	luojilijienengli
斯图尔特定理	situertedingli
角平分線	jiaopingfenxian
等距同构	dengjutonggou
直接证明	zhijiezhengming
双摆	shuangbai
勾股定理	gougudingli
埃爾米特函數	aiermitehanshu
組合技巧	zuhejiqiao
任务分配问题	renwufenpeiwenti
构造性证明	gouzaoxingzhengming
