# 泰深输入法专业词库 — medical
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
糯米紙	nuomizhi
背背佳	beibeijia
包涵体	baohanti
鼻涕	biti
華潤醫療	huarunyiliao
冥婚	minghun
清远市中医院	qingyuanshizhongyiyuan
叶绿基甲萘醌	yelvjijianaikun
增生性贫血	zengshengxingpinxue
任瀚	renhan
基因组病	jiyinzubing
北洋防疫医院	beiyangfangyiyiyuan
急脓耳	jinonger
複層柱狀上皮	fucengzhuzhuangshangpi
普渡制药	puduzhiyao
苏消安	suxiaoan
韦永义	weiyongyi
脊椎側彎	jichuicewan
肝炎	ganyan
蘇天賞	sutianshang
陰吹	yinchui
强心药	qiangxinyao
體溫調節	tiwendiaojie
刘涓子鬼遗方	liujuanziguiyifang
河南国医学院	henanguoyixueyuan
抗原轉變	kangyuanzhuanbian
唇	chun
呼吸治療	huxizhiliao
文武百尊	wenwubaizun
冯治安	fengzhian
中心靜脈導管	zhongxinjingmaidaoguan
咽喉	yanhou
克利線	kelixian
肝豆狀核變性	gandouzhuanghebianxing
外頸動脈	waijingdongmai
貼布試驗	tiebushiyan
藥效學	yaoxiaoxue
鬼	gui
個人健康紀錄	gerenjiankangjilu
創傷中心	chuangshangzhongxin
乡村诊所	xiangcunzhensuo
氮醉	danzui
三甲基氰硅烷	sanjiajiqingguiwan
反彈效應	fandanxiaoying
地景流行病學	dijingliuxingbingxue
電腦鑑識	diannaojianshi
潘氨酸	panansuan
殮房	lianfang
逆疫苗	niyimiao
動物護士	dongwuhushi
沃尔芬登报告	woerfendengbaogao
輸卵管結紮	shuluanguanjieza
巴氯芬	balvfen
集體中毒	jitizhongdu
禁食	jinshi
筋膜炎	jinmoyan
毒性损伤	duxingsunshang
伊維菌素	yiweijunsu
甲基磺酰氯	jiajihuangxianlv
肥豬菜	feizhucai
骨龄	guling
小多角骨	xiaoduojiaogu
地特诺	ditenuo
瘦肉精	shouroujing
骶骨	digu
嗅盐	xiuyan
公主病	gongzhubing
淋巴毒素	linbadusu
扁桃苷	biantaogan
壮医学	zhuangyixue
带虫免疫	daichongmianyi
咳嗽	kesou
東醫壽世保元	dongyishoushibaoyuan
精神药物公约	jingshenyaowugongyue
图卡替尼	tukatini
视网膜	shiwangmo
以黑死之名	yiheisizhiming
找到	zhaodao
血色沉著病	xuesechenzhubing
拇指	muzhi
亨廷頓病	hengtingdunbing
乳痂	rujia
心输出量	xinshuchuliang
高鎂血症	gaomeixuezheng
逆轉	nizhuan
傳染病歷史	chuanranbinglishi
活動理論	huodonglilun
普通外科	putongwaike
人工韌帶	rengongrendai
思覺敏感	sijuemingan
畏寒	weihan
血清	xueqing
灭菌丹	miejundan
睡眠障碍	shuimianzhangai
医院信息系统	yiyuanxinxixitong
法琳效应	falinxiaoying
替非珠单抗	tifeizhudankang
假手術	jiashoushu
分离性障碍	fenlixingzhangai
家庭醫生筆記	jiatingyishengbiji
氰化物	qinghuawu
體味	tiwei
射精管	shejingguan
针灸	zhenjiu
藝術治療	yishuzhiliao
生理監視器	shenglijianshiqi
肛溫	gangwen
本能漂移	bennengpiaoyi
格物致知	gewuzhizhi
銅蛇	tongshe
杓狀軟骨	biaozhuangruangu
陣亡	zhenwang
控制传染源	kongzhichuanranyuan
醫院	yiyuan
地西泮	dixipan
洛克沙砷	luokeshashen
俠醫	xiayi
奎尼丁	kuiniding
