# 泰深输入法专业词库 — meteorology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
风切变	fengqiebian
氣象預報員	qixiangyubaoyuan
極地高壓	jidigaoya
太陽反輝	taiyangfanhui
气候临界点	qihoulinjiedian
血雨	xueyu
温度单位换算	wendudanweihuansuan
光化學煙霧	guanghuaxueyanwu
核冬天	hedongtian
常温	changwen
极锋	jifeng
反氣旋風暴	fanqixuanfengbao
空軍氣象聯隊	kongjunqixiangliandui
極地低壓	jididiya
风暴潮	fengbaochao
原始方程组	yuanshifangchengzu
冰圈	bingquan
涡量	woliang
對流層頂	duiliucengding
气象部	qixiangbu
冰壅	bingyong
古氣候學	guqihouxue
缟状云	gaozhuangyun
交換係數	jiaohuanxishu
西風槽	xifengcao
城市熱島	chengshiredao
大气污染控制	daqiwurankongzhi
亞高山針葉林	yagaoshanzhenyelin
原型飛行	yuanxingfeixing
相對濕度	xiangduishidu
颱風添姆	taifengtianmu
热带风暴	redaifengbao
霧	wu
沸点	feidian
气压	qiya
澳洲氣象局	aozhouqixiangju
气象气球	qixiangqiqiu
颱風玲玲	taifenglingling
颱風愛茜	taifengaiqian
气溶胶	qirongjiao
天气之子	tianqizhizi
雨层云	yucengyun
羽翎卷云	yulingjuanyun
漏光云	louguangyun
地表天气观测	dibiaotianqiguance
英寸汞柱	yingcungongzhu
空间物理学	kongjianwulixue
颱風琴茵	taifengqinyin
基林曲线	jilinquxian
重力内波	zhonglineibo
温带季风气候	wendaijifengqihou
吹雪	chuixue
雨夾雪	yujiaxue
绿色化学	lvsehuaxue
全球氣溫紀錄	quanqiuqiwenjilu
液态水路径	yetaishuilujing
鋒	feng
臭氧层空洞	chouyangcengkongdong
罗斯贝波	luosibeibo
大氣繞射	daqiraoshe
水汽压差	shuiqiyacha
钻石尘	zuanshichen
畏寒	weihan
環狀熱帶氣旋	huanzhuangredaiqixuan
煤煙	meiyan
成层状层积云	chengcengzhuangcengjiyun
数据同化	shujutonghua
颱風杰拉爾	taifengjielaer
气旋能量指数	qixuannengliangzhishu
冷心低壓	lengxindiya
假日出	jiarichu
克里格中間體	keligezhongjianti
哈德里環流圈	hadelihuanliuquan
辐合带	fuhedai
智利气象局	zhiliqixiangju
溫度梯度	wendutidu
霍夫默勒图	huofumoleitu
避暑中心	bishuzhongxin
大气电学	daqidianxue
冰晶	bingjing
瑞利散射	ruilisanshe
烈风警报	liefengjingbao
霾	mai
热低压	rediya
東北季風	dongbeijifeng
毛毛雨	maomaoyu
失溫症	shiwenzheng
晴空亂流	qingkongluanliu
絮状卷积云	xuzhuangjuanjiyun
混合層	hunheceng
海市蜃楼	haishishenlou
地轉風	dizhuanfeng
石湖風	shihufeng
风暴	fengbao
颱風比麗	taifengbili
气候振荡	qihouzhendang
太空天氣	taikongtianqi
菌落計數器	junluojishuqi
臺灣空氣污染	taiwankongqiwuran
風之塔	fengzhita
线状雨带	xianzhuangyudai
社会崩溃	shehuibengkui
暈	yun
糙面云	caomianyun
气压表	qiyabiao
透光云	touguangyun
飓风贝特西	jufengbeitexi
颱風雅歷士	taifengyalishi
