# 泰深输入法专业词库 — military
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
復員	fuyuan
制服军裤条带	zhifujunkutiaodai
無限制潛艇戰	wuxianzhiqiantingzhan
特洛伊木馬	teluoyimuma
費城實驗	feichengshiyan
決戰境外	juezhanjingwai
舊金山體系	jiujinshantixi
政變	zhengbian
紧急状态	jinjizhuangtai
刘从文	liucongwen
徵兵制	zhengbingzhi
空中加油	kongzhongjiayou
步兵攻击	bubinggongji
虎钤经	huqianjing
文家市决策	wenjiashijuece
軍需	junxu
網絡戰	wangluozhan
烽火系列卫星	fenghuoxilieweixing
蒺藜	jili
反潛作戰	fanqianzuozhan
营	ying
蒸汽彈射器	zhengqidansheqi
軍官	junguan
血幅	xuefu
生化武器	shenghuawuqi
弹簧刀无人机	danhuangdaowurenji
曹叡	caorui
五角大楼文件	wujiaodalouwenjian
天基红外系统	tianjihongwaixitong
偽軍	weijun
封鎖	fengsuo
以法令统治	yifalingtongzhi
威懾理論	weishelilun
消音瓦	xiaoyinwa
黄帝阴符经	huangdiyinfujing
戰鬥搜救	zhandousoujiu
美菲联防条约	meifeilianfangtiaoyue
核潛伏國家	heqianfuguojia
爆破筒	baopotong
掃射	saoshe
托普西	tuopuxi
宵禁	xiaojin
海上拒止	haishangjuzhi
鐮	lian
基地販賣部	jidifanmaibu
反情報	fanqingbao
汛地	xundi
自主武器	zizhuwuqi
龍行者	longxingzhe
密集攻击	mijigongji
大鎧	dakai
军民融合	junminronghe
李靖	lijing
戰車	zhanche
布面甲	bumianjia
三列槳船	sanliejiangchuan
國防報告書	guofangbaogaoshu
軍餘品	junyupin
集束彈藥	jishudanyao
壮丁	zhuangding
军用车辆	junyongcheliang
電子作戰	dianzizuozhan
衛城	weicheng
存在舰队	cunzaijiandui
胴丸	dongwan
國防白皮書	guofangbaipishu
營級戰術群	yingjizhanshuqun
軍事政府	junshizhengfu
軍事教育	junshijiaoyu
核三位一体	hesanweiyiti
最高統帥部	zuigaotongshuaibu
琿春事件	hunchunshijian
猎扫雷舰	liesaoleijian
突出部	tuchubu
步兵班	bubingban
存亡危機事態	cunwangweijishitai
萨纳齐亚	sanaqiya
相互保證毀滅	xianghubaozhenghuimie
衛兵師	weibingshi
白盾兵	baidunbing
治平勝算全書	zhipingshengsuanquanshu
论军事	lunjunshi
反坦克地雷	fantankedilei
兩棲突擊艦	liangqitujijian
雷達截面積	leidajiemianji
戰略轟炸	zhanlvehongzha
孙武	sunwu
驮畜	tuochu
水手哨	shuishoushao
空中分列	kongzhongfenlie
战术轰炸	zhanshuhongzha
登戶研究所	denghuyanjiusuo
軍事工程	junshigongcheng
分遣隊	fenqiandui
军民两用	junminliangyong
革命根据地	geminggenjudi
異域	yiyu
绵绳套索	mianshengtaosuo
将苑	jiangyuan
撾	wo
装甲	zhuangjia
冯翔	fengxiang
榮譽國民	rongyuguomin
掃雷開道艦	saoleikaidaojian
臨界威懾	linjieweishe
電磁裝甲	diancizhuangjia
軍訓教官	junxunjiaoguan
猛火油	menghuoyou
緊急情況法令	jinjiqingkuangfaling
远射武器	yuanshewuqi
吴子	wuzi
由井正雪	youjingzhengxue
爆炸鼠	baozhashu
麻雀战术	maquezhanshu
聲納浮標	shengnafubiao
狼群戰術	langqunzhanshu
建筑十书	jianzhushishu
敵友識別系統	diyoushibiexitong
環	huan
士氣	shiqi
地道戰	didaozhan
曾公亮	cenggongliang
严打	yanda
导弹快艇	daodankuaiting
各國兵役制度	geguobingyizhidu
防弹胸甲	fangdanxiongjia
緬甸軍政府	miandianjunzhengfu
冷溪卫队	lengxiweidui
基础军	jichujun
力量乘數	liliangchengshu
即制武器	jizhiwuqi
雷神无人机	leishenwurenji
着舰钩	zhejiangou
声呐	shengna
抬頭顯示器	taitouxianshiqi
人道走廊	rendaozoulang
董玉飞	dongyufei
護心鏡	huxinjing
远程识别雷达	yuanchengshibieleida
潜艇探测系统	qiantingtancexitong
爆炸物	baozhawu
屯駐地	tunzhudi
個人防衛武器	gerenfangweiwuqi
武库舰	wukujian
髹漆甲	xiuqijia
地形追沿雷達	dixingzhuiyanleida
瓊林隧道	qionglinsuidao
太空軍	taikongjun
正规军	zhengguijun
炮座	paozuo
参谋部	canmoubu
圣武记	shengwuji
紅軍	hongjun
军事学	junshixue
銃眼	chongyan
驱逐母舰	quzhumujian
槍枝管制	qiangzhiguanzhi
里奇男孩	liqinanhai
作戰	zuozhan
舰队决战	jianduijuezhan
全民皆兵	quanminjiebing
伙伴	huoban
救国军政府	jiuguojunzhengfu
步操	bucao
灰色地帶	huisedidai
螳螂無人機	tanglangwurenji
快速反应部队	kuaisufanyingbudui
丁拱辰	dinggongchen
退伍軍人	tuiwujunren
胡志明小道	huzhimingxiaodao
空心方阵	kongxinfangzhen
甲陽軍鑑	jiayangjunjian
近炸引信	jinzhayinxin
军事著作	junshizhuzuo
志願役	zhiyuanyi
以戰養戰	yizhanyangzhan
指挥控制	zhihuikongzhi
武裝改裝車	wuzhuanggaizhuangche
難民兒童運動	nanminertongyundong
間接路線	jianjieluxian
堑壕战	qianhaozhan
未来指挥所	weilaizhihuisuo
战争	zhanzheng
白色宣传	baisexuanchuan
印第安戰斧	yindianzhanfu
進攻性武器	jingongxingwuqi
情景计划	qingjingjihua
超限战	chaoxianzhan
医疗船	yiliaochuan
投诚食品	touchengshipin
隱身衣	yinshenyi
戰豬	zhanzhu
防彈背心	fangdanbeixin
非武裝人員	feiwuzhuangrenyuan
鶡冠子	heguanzi
近战	jinzhan
燃烧弹轰炸	ranshaodanhongzha
簡易爆炸裝置	jianyibaozhazhuangzhi
对外安全总局	duiwaianquanzongju
军事心理学	junshixinlixue
紅外線導引	hongwaixiandaoyin
軍政府	junzhengfu
政军关系	zhengjunguanxi
紙甲	zhijia
化學防護車	huaxuefanghuche
气象战	qixiangzhan
两当甲	liangdangjia
貝爾謝巴戰役	beierxiebazhanyi
持盾衛隊	chidunweidui
鐵撬	tieqiao
老兵节	laobingjie
國民義勇隊	guominyiyongdui
一次打击	yicidaji
特別攻擊隊	tebiegongjidui
馬斯基洛夫卡	masijiluofuka
科孚事件	kefushijian
沃萬與萊克斯	wowanyulaikesi
星光部隊	xingguangbudui
俯射	fushe
埋伏	maifu
作戰序列	zuozhanxulie
楚謙號炮艦	chuqianhaopaojian
機械化登陸艇	jixiehuadengluting
集团军	jituanjun
农村包围城市	nongcunbaoweichengshi
魚雷	yulei
軍事社會學	junshishehuixue
龙伯透镜	longbotoujing
解放赫爾松	jiefangheersong
戰鬥車輛	zhandoucheliang
供给制	gongjizhi
大艦巨砲主義	dajianjupaozhuyi
马其顿方阵	maqidunfangzhen
拿騷的毛里茨	nasaodemaolici
攻勢	gongshi
军事化	junshihua
軍事術語	junshishuyu
兵团	bingtuan
黑色宣传	heisexuanchuan
黑火药	heihuoyao
指揮艦	zhihuijian
掃蕩	saodang
偵爆犬	zhenbaoquan
战略村	zhanlvecun
轻盾兵	qingdunbing
海軍漂網船	haijunpiaowangchuan
一清專案	yiqingzhuanan
智利軍事獨裁	zhilijunshiducai
反叛亂	fanpanluan
内河重炮舰	neihezhongpaojian
