# 泰深输入法专业词库 — modern
# 格式：词 拼音（每行一个，制表符分隔）
# 来源：AI 生成现代高频词表（平台/科技/网络用语/新消费），pypinyin 注音
# 生成: 2026-08-09

API调用	apidiaoyong
BOSS直聘	bosszhipin
OCR识别	ocrshibie
token消耗	tokenxiaohao
万亿参数	wanyicanshu
上下文窗口	shangxiawenchuangkou
上头了	shangtoule
上热搜	shangresou
上热门	shangremen
东方财富	dongfangcaifu
中控	zhongkong
主播	zhubo
二创	erchuang
云端部署	yunduanbushu
京东到家	jingdongdaojia
仪式感	yishigan
企业微信	qiyeweixin
低卡	dika
低空经济	dikongjingji
低轨卫星	diguiweixing
体脂秤	tizhicheng
健康管理	jiankangguanli
先进制程	xianjinzhicheng
全网最低价	quanwangzuidijia
公域	gongyu
兴趣电商	xingqudianshang
内容电商	neirongdianshang
出息了	chuxile
刀片电池	daopiandianchi
划重点	huazhongdian
剁手党	duoshoudang
剧本杀	jubensha
功能饮料	gongnengyinliao
助播	zhubo
区块链	qukuailian
千川	qianchuan
博物馆热	bowuguanre
卫星互联网	weixinghulianwang
即时零售	jishilingshou
卷王	juanwang
原始创新	yuanshichuangxin
叮咚买菜	dingdongmaicai
吃瓜群众	chiguaqunzhong
同声传译	tongshengchuanyi
同程旅行	tongchenglvxing
吗喽	malou
命运的齿轮	mingyundechilun
品牌联名	pinpailianming
品牌自播	pinpaizibo
哈啰出行	haluochuxing
嗑到了	kedaole
围炉煮茶	weiluzhucha
固态电池	gutaidianchi
国产替代	guochantidai
国潮	guochao
国货之光	guohuozhiguang
国货崛起	guohuojueqi
图生文	tushengwen
场控	changkong
坑位费	kengweifei
增程式	zengchengshi
多多买菜	duoduomaicai
多巴胺穿搭	duobaanchuanda
多模态	duomotai
多轮对话	duolunduihua
夜跑	yepao
大冤种	dayuanzhong
大语言模型	dayuyanmoxing
天天基金	tiantianjijin
头部主播	toubuzhubo
奶茶店	naichadian
学搭子	xuedazi
安排上了	anpaishangle
安排明白	anpaimingbai
宝子	baozi
实时翻译	shishifanyi
家人们	jiarenmen
密室逃脱	mishitaotuo
小哥哥	xiaogege
小确幸	xiaoquexing
小红书商城	xiaohongshushangcheng
小趴菜	xiaopacai
小风车	xiaofengche
巨量引擎	juliangyinqing
库存告急	kucungaoji
店播	dianbo
开源模型	kaiyuanmoxing
快充	kuaichong
快闪店	kuaishandian
悦己消费	yuejixiaofei
情绪消费	qingxuxiaofei
慕了	mule
手慢无	shoumanwu
打卡点	dakadian
抄作业	chaozuoye
抱大腿	baodatui
拉勾网	lagouwang
拼单	pindan
拼手速	pinshousu
换电站	huandianzhan
掉粉	diaofen
探店	tandian
推理成本	tuilichengben
提示词	tishici
插电混动	chadianhundong
搜索电商	sousuodianshang
携程旅行	xiechenglvxing
数字人	shuziren
数字孪生	shuziluansheng
数据要素	shujuyaosu
整挺好	zhengtinghao
整活	zhenghuo
文创	wenchuang
文生图	wenshengtu
新消费	xinxiaofei
新能源汽车	xinnengyuanqiche
旅拍	lvpai
旅游特种兵	lvyoutezhongbing
无糖	wutang
早八人	zaobaren
星链	xinglian
智商税	zhishangshui
智能体	zhinengti
智能座舱	zhinengzuocang
智能电网	zhinengdianwang
智能问答	zhinengwenda
智能驾驶	zhinengjiashi
智行火车票	zhixinghuochepiao
朋克养生	pengkeyangsheng
本地部署	bendibushu
梗图	gengtu
植物肉	zhiwurou
模型幻觉	moxinghuanjue
模型推理	moxingtuili
模型蒸馏	moxingzhengliu
气泡水	qipaoshui
氛围感	fenweigan
氢能源	qingnengyuan
泡脚	paojiao
泼天的富贵	potiandefugui
海外购	haiwaigou
消费升级	xiaofeishengji
消费降级	xiaofeijiangji
淘特	taote
深度学习	shenduxuexi
混剪	hunjian
清澈的愚蠢	qingchedeyuchun
滴滴出行	didichuxing
热搜	resou
熬夜党	aoyedang
爆单	baodan
爱了	aile
特种兵式	tezhongbingshi
狼人杀	langrensha
猎聘	liepin
生成式人工智能	shengchengshirengongzhineng
甩锅	shuaiguo
电动垂直起降	diandongchuizhiqijiang
电解质水	dianjiezhishui
白嫖	baipiao
白牌	baipai
盒马鲜生	hemaxiansheng
盲盒	manghe
盲盒经济	manghejingji
直播切片	zhiboqiepian
直播运营	zhiboyunying
真香定律	zhenxiangdinglv
睡后收入	shuihoushouru
睡眠监测	shuimianjiance
砍一刀	kanyidao
破圈	poquan
社区团购	shequtuangou
社恐	shekong
社牛	sheniu
私域	siyu
种草机	zhongcaoji
秒没	miaomei
笑不活了	xiaobuhuole
精致穷	jingzhiqiong
素人主播	surenzhubo
红包雨	hongbaoyu
约拍	yuepai
纯电动车	chundiandongche
绝了	juele
绷不住了	bengbuzhule
网红	wanghong
网红店	wanghongdian
羊毛党	yangmaodang
美团优选	meituanyouxuan
美团外卖	meituanwaimai
美拉德	meilade
老铁	laotie
联邦学习	lianbangxuexi
脆皮大学生	cuipidaxuesheng
腰部主播	yaobuzhubo
腾讯会议	tengxunhuiyi
航旅纵横	hanglvzongheng
花小猪	huaxiaozhu
花活	huahuo
萌妹	mengmei
萌新	mengxin
蚂蚁财富	mayicaifu
表情包	biaoqingbao
视频生成	shipinshengcheng
计算机视觉	jisuanjishijue
语义理解	yuyilijie
财富自由	caifuziyou
货架电商	huojiadianshang
贴牌	tiepai
超充	chaochong
身体被掏空	shentibeitaokong
躺赚	tangzhuan
躺赢	tangying
轻写真	qingxiezhen
轻奢	qingshe
轻食	qingshi
辅助驾驶	fuzhujiashi
边界感	bianjiegan
边缘计算	bianyuanjisuan
达人分销	darenfenxiao
运动手环	yundongshouhuan
运费险	yunfeixian
逆天	nitian
造梗	zaogeng
配得感	peidegan
酸了	suanle
钉钉	dingding
