# 泰深输入法专业词库 — network_slang
# 格式：词 拼音（每行一个，制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0）
# 分类：网络流行语 + 中华人民共和国网络流行语
丁丁是个人才	dingdingshigerencai
三观不正	sanguanbuzheng
三高男	sangaonan
不转不是中国人	buzhuanbushizhongguoren
中华田园女权	zhonghuatianyuannvquan
人矿	renkuang
你国	niguo
俯卧撑	fuwocheng
傻眼猫咪	shayanmaomi
元芳体	yuanfangti
入关学	ruguanxue
六学	liuxue
关灯吃面	guandengchimian
内卷化	neijuanhua
凡尔赛文学	fanersaiwenxue
凤凰男	fenghuangnan
切糕党	qiegaodang
删库跑路	shankupaolu
力工思维	ligongsiwei
北上广	beishangguang
单身狗	danshengou
卖药台	maiyaotai
印尼咖哩辣	yinnikalila
反覆橫跳	fanfuhengtiao
叶良辰	yeliangchen
听床师	tingchuangshi
丧女	sangnv
四不青年	sibuqingnian
四大名北	sidamingbei
四大名爹	sidamingdie
国际金融中心遗址	guojijinrongzhongxinyizhi
土皇帝校長	tuhuangdixiaozhang
土豪	tuhao
基本盤	jibenpan
复读机	fuduji
外围女	waiweinv
大白	dabai
大酱女	dajiangnv
天坑专业	tiankengzhuanye
孔乙己文学	kongyijiwenxue
学霸	xueba
小粉紅	xiaofenhong
小鲜肉	xiaoxianrou
尾款人	weikuanren
工业党	gongyedang
巨婴	juying
平替	pingti
很好很强大	henhaohenqiangda
很黄很暴力	henhuanghenbaoli
慨督	kaidu
懒人包	lanrenbao
战略忽悠局	zhanlvehuyouju
打工人	dagongren
打酱油	dajiangyou
拼好饭	pinhaofan
斩杀线	zhanshaxian
服美役	fumeiyi
朝阳群众	chaoyangqunzhong
杀马特	shamate
极致中国化	jizhizhongguohua
树洞	shudong
正能量	zhengnengliang
步術我值	bushuwozhi
历史的垃圾时間	lishidelajishijian
江浙滬	jiangzhehu
河蟹	hexie
流量明星	liuliangmingxing
润学	runxue
淘宝体	taobaoti
港漂	gangpiao
火星文	huoxingwen
烂尾娃	lanweiwa
营销号	yingxiaohao
牛马	niuma
猫奴	maonu
王菊	wangju
白人餐	bairencan
白左	baizuo
真卍	zhenwan
破壁书	pobishu
硬盘人	yingpanren
神兽	shenshou
秋天的第一杯奶茶	qiutiandediyibeinaicha
空降校長	kongjiangxiaozhang
第三炮兵	disanpaobing
篱笆女	libanv
精神日本人	jingshenribenren
网路流行语大赏	wangluliuxingyudashang
總加速師	zongjiasushi
绿茶婊	lvchabiao
老登文艺	laodengwenyi
薅羊毛	haoyangmao
被塑胶	beisujiao
赵金龙	zhaojinlong
輸家男	shujianan
软妹	ruanmei
领便當	lingbiandang
