# 泰深输入法专业词库 — philosophy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
元科学	yuankexue
殊相	shuxiang
宗教哲学	zongjiaozhexue
個人	geren
时空哲学	shikongzhexue
特例假設	telijiashe
违德	weide
觀點	guandian
結果論證	jieguolunzheng
理性主体	lixingzhuti
近東問題	jindongwenti
非形式逻辑	feixingshiluoji
林栖期	linqiqi
三教	sanjiao
情动	qingdong
循环论	xunhuanlun
綠藍悖論	lvlanbeilun
生物倫理學	shengwulunlixue
黄帝阴符经	huangdiyinfujing
模糊规则	mohuguize
权威	quanwei
自发主义	zifazhuyi
非法	feifa
哲學家	zhexuejia
白奚	baixi
神学大全	shenxuedaquan
摹仿	mofang
現在論	xianzailun
雅里斯底德	yalisidide
政治关系	zhengzhiguanxi
工具主義	gongjuzhuyi
東京喰種	dongjingcanzhong
日本哲學	ribenzhexue
共時性	gongshixing
二元論	eryuanlun
市政主義	shizhengzhuyi
义务伦理学	yiwulunlixue
源头	yuantou
宣傳模式	xuanchuanmoshi
模态逻辑	motailuoji
装配理论	zhuangpeililun
本真	benzhen
奈绥尔丁	naisuierding
社會契約	shehuiqiyue
邏輯理解能力	luojilijienengli
現實主義	xianshizhuyi
存在主義美學	cunzaizhuyimeixue
寡頭鐵律	guatoutielv
集體責任	jitizeren
精神现象学	jingshenxianxiangxue
此在	cizai
義理	yili
心智理論	xinzhililun
海洋感覺	haiyangganjue
隐喻	yinyu
意大利哲学	yidalizhexue
哲学基本问题	zhexuejibenwenti
缺德	quede
哲學概念列表	zhexuegainianliebiao
無佔有	wuzhanyou
认知的封闭	renzhidefengbi
随附性	suifuxing
效益主義	xiaoyizhuyi
作为	zuowei
纯粹不二论	chuncuibuerlun
男性中心主義	nanxingzhongxinzhuyi
有效加速主義	youxiaojiasuzhuyi
華格納事件	huagenashijian
直覺	zhijue
反种族主义	fanzhongzuzhuyi
希尔伯特计划	xierbotejihua
存在	cunzai
判断力批判	panduanlipipan
信念	xinnian
必要之恶	biyaozhie
教父學	jiaofuxue
乐记	leji
原理	yuanli
操作主义	caozuozhuyi
圓玄學院	yuanxuanxueyuan
修正世界	xiuzhengshijie
尸解	shijie
五月革命	wuyuegeming
康德義務主義	kangdeyiwuzhuyi
模态实在论	motaishizailun
可謬論	kemiulun
頓悟	dunwu
養小鬼	yangxiaogui
世俗化	shisuhua
均變論	junbianlun
折衷主義	zhezhongzhuyi
穆爾太齊賴派	muertaiqilaipai
黑色筆記	heisebiji
