# 泰深输入法专业词库 — physics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
赫巴德模型	hebademoxing
桁架	hengjia
日照計	rizhaoji
时空哲学	shikongzhexue
材料力学	cailiaolixue
热加工	rejiagong
洛伦兹变换	luolunzibianhuan
等温等压系综	dengwendengyaxizong
表面電漿子	biaomiandianjiangzi
费曼图	feimantu
活性度	huoxingdu
标准状态	biaozhunzhuangtai
速率分布函数	sulvfenbuhanshu
物理学	wulixue
屈光度	quguangdu
传热传质学	chuanrechuanzhixue
阿贝数	abeishu
磁场观察膜	cichangguanchamo
农业物理学	nongyewulixue
天体物理学	tiantiwulixue
挫曲	cuoqu
大位能	daweineng
脆性断裂	cuixingduanlie
現在論	xianzailun
空间物理学	kongjianwulixue
氣泡	qipao
多信使天文学	duoxinshitianwenxue
智能流体	zhinengliuti
朗之萬動力學	langzhiwandonglixue
纳米技术	namijishu
夸克	kuake
光泳	guangyong
电容率	dianronglv
高頻	gaopin
共時性	gongshixing
波包	bobao
螺旋度	luoxuandu
完整晶体	wanzhengjingti
假日出	jiarichu
像差	xiangcha
立秋	liqiu
耦合常數	ouhechangshu
经典电磁学	jingdiandiancixue
微波光子学	weiboguangzixue
道斯極限	daosijixian
广角镜	guangjiaojing
光	guang
波數	boshu
固有加速度	guyoujiasudu
莫特絕緣體	motejueyuanti
传输介质	chuanshujiezhi
正像	zhengxiang
封閉類時曲線	fengbileishiquxian
通量	tongliang
垧	shang
孤波	gubo
馬克士威電橋	makeshiweidianqiao
約束	yueshu
檢偏器	jianpianqi
狄拉克矩陣	dilakejuzhen
二力平衡公理	erlipinghenggongli
共面波导	gongmianbodao
参考系拖拽	cankaoxituozhuai
慢光	manguang
核合成	hehecheng
暗流體	anliuti
脱附	tuofu
相对性原理	xiangduixingyuanli
穆斯堡尔效应	musibaoerxiaoying
大气层超旋转	daqicengchaoxuanzhuan
多布森单位	duobusendanwei
生物熱力學	shengwurelixue
飛行力學	feixinglixue
菊池線	juchixian
接觸熱導	jiechuredao
超声学	chaoshengxue
激子	jizi
薛定谔方程	xuedingefangcheng
海森堡模型	haisenbaomoxing
时空本性	shikongbenxing
卡莎规则	kashaguize
诺特定理	nuotedingli
绝热不变量	juerebubianliang
纹影法	wenyingfa
量子霍尔效应	liangzihuoerxiaoying
極限氧指數	jixianyangzhishu
磁光陷阱	ciguangxianjing
光热效应	guangrexiaoying
激微波	jiweibo
白克蘭電流	baikelandianliu
双极性扩散	shuangjixingkuosan
隱身衣	yinshenyi
