# 泰深输入法专业词库 — 动物
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一串红大造桥虫	yichuanhongdazaoqiaochong
一串红小地老虎	yichuanhongxiaodilaohu
一串红朱砂叶螨	yichuanhongzhushayeman
一串红白粉虱	yichuanhongbaifenshi
一串红白粉蝶	yichuanhongbaifendie
一串红绿盲蝽	yichuanhonglvmangchun
一串红银纹夜蛾	yichuanhongyinwenyee
一化性柞蚕	yihuaxingzuocan
一号半红龙	yihaobanhonglong
一品红小白纹毒蛾	yipinhongxiaobaiwendue
一品红蓟马	yipinhongjima
一字倒吊	yizidaodiao
一字刺尾鲷	yiziciweidiao
一字吊	yizidiao
一字显脉叶蝉	yizixianmaiyechan
一字波纹吊	yizibowendiao
一字纹稻苞虫	yiziwendaobaochong
一带中脊沫蝉	yidaizhongjimochan
一带拟沫蝉	yidainimochan
一点乌灯蛾	yidianwudenge
一点同缘椿象	yidiantongyuanchunxiang
一点同缘蝽	yidiantongyuanchun
一点实小卷蛾	yidianshixiaojuane
一点木叶蝉	yidianmuyechan
一点灰蝶	yidianhuidie
一点灰蝶属	yidianhuidieshu
一点突额杆蝇	yidiantueganying
一点蝙蛾	yidianbiane
一点钻夜蛾	yidianzuanyee
一点黄粉蝶	yidianhuangfendie
一瓶二静三鳎目	yipingerjingsantamu
一眉道人鱼	yimeidaorenyu
一线直升机	yixianzhishengji
一线铅笔	yixianqianbi
一般剑齿虎	yibanjianchihu
一色深山天牛	yiseshenshantianniu
一色罗盲蝽	yiseluomangchun
一色齿胸肖叶甲	yisechixiongxiaoyejia
一角甲	yijiaojia
一角鱼	yijiaoyu
一角鲸	yijiaojing
一角鲸科	yijiaojingke
丁加齿鱵	dingjiachizhen
丁村动物群	dingcundongwuqun
丁氏木铲电鱝	dingshimuchandianfen
丁香尾小鹦鹉	dingxiangweixiaoyingwu
丁鱥	dinggui
七夕斗鱼	qixidouyu
七星花蝇	qixinghuaying
七角多环海龙	qijiaoduohuanhailong
七里海河蟹	qilihaihexie
万寿菊棉铃虫	wanshoujumianlingchong
万寿菊牧草盲蝽	wanshoujumucaomangchun
万寿菊赤蛱蝶	wanshoujuchijiadie
三亿余年前	sanyiyunianqian
三分节虫	sanfenjiechong
三列扭柱螺	sanlieniuzhuluo
三列柏叶螅	sanliebaiyexi
三列棘蝇	sanliejiying
三叉钩爪盲蛛	sanchagouzhaomangzhu
三叠中国龙	sandiezhongguolong
三叶砂轮虫	sanyeshalunchong
三叶结角蝉	sanyejiejiaochan
三叶草夜蛾	sanyecaoyee
三叶虫化石	sanyechonghuashi
三宅光鳃鱼	sanzhaiguangsaiyu
三尖方胸柱萤叶甲	sanjianfangxiongzhuyingyejia
三尾小灰蝶	sanweixiaohuidie
三尾裸背寄蝇	sanweiluobeijiying
三崎凹腹鳕	sanqiaofuxue
三帚圆星虫	sanzhouyuanxingchong
三带前齿蝴蝶鱼	sandaiqianchihudieyu
三带椭龟甲	sandaituoguijia
三弦巨型鹰嘴泥龟	sanxianjuxingyingzuinigui
三指指环虫	sanzhizhihuanchong
三文鱼贫血症	sanwenyupinxuezheng
三斑丛光鱼	sanbancongguangyu
三斑宅泥鱼	sanbanzhainiyu
三星褐弄蝶	sanxinghenongdie
三星黄斑弄蝶	sanxinghuangbannongdie
三星黄萤叶甲	sanxinghuangyingyejia
三沟驹蝗	sangoujuhuang
三点茎草螟	sandianjingcaoming
三疣梭子蟹壳	sanyousuozixieke
三眼怪招潮蟹	sanyanguaizhaochaoxie
三纹蚊霸鹟	sanwenwenbaweng
三线圆尾斗鱼	sanxianyuanweidouyu
三线红铅笔	sanxianhongqianbi
三线红铅笔灯鱼	sanxianhongqianbidengyu
三线闭壳龟肉	sanxianbikeguirou
三翼鞍甲轮虫	sanyianjialunchong
三脊线寄居蟹	sanjixianjijuxie
三节吻库蚊	sanjiewenkuwen
三角后丽盲蝽	sanjiaohoulimangchun
三角多面水母	sanjiaoduomianshuimu
三角大吉猛水蚤	sanjiaodajimengshuizao
三角头喜铃水虱	sanjiaotouxilingshuishi
三角帆蚌	sanjiaofanbang
三角恐龙	sanjiaokonglong
三角招潮	sanjiaozhaochao
三角捷鰕虎鱼	sanjiaojiexiahuyu
三角斑褐蚕蛾	sanjiaobanhecane
三角斑长须夜蛾	sanjiaobanzhangxuyee
三角枯叶蛙	sanjiaokuyewa
三角柄蜾赢蜚	sanjiaobingguoyingfei
三角溞	sanjiaosao
三角绿步行虫	sanjiaolvbuxingchong
三角聚鯻	sanjiaojula
三角蝴蝶鱼	sanjiaohudieyu
三角褐指藻	sanjiaohezhizao
三角鬼蛛	sanjiaoguizhu
三角齿兽属	sanjiaochishoushu
三角齿瓣角蝉	sanjiaochibanjiaochan
三觭龙	sanjilong
三趾心颅跳鼠	sanzhixinlutiaoshu
三轮氏小瓢叶蚤	sanlunshixiaopiaoyezao
三連鐘螺	sanlianzhongluo
三道眉拟雀	sandaomeinique
三道眉草鹀	sandaomeicaowu
三钩虫未定种	sangouchongweidingzhong
三间虎	sanjianhu
三间蜜蜂虾	sanjianmifengxia
三间魔鱼	sanjianmoyu
三骨孔	sangukong
三齒鳳凰螺	sanchifenghuangluo
三齿仿短浆蟹	sanchifangduanjiangxie
三齿转刺蛛	sanchizhuancizhu
上位蝶蛛	shangweidiezhu
上宠亚当斯	shangchongyadangsi
上海剑角蝗	shanghaijianjiaohuang
上瓣梦角鮟鱇	shangbanmengjiaoankang
上臂割齿喉盘鱼	shangbigechihoupanyu
上野蜾赢蜚	shangyeguoyingfei
下伏鳄	xiafue
下刺隐棘杜父鱼	xiaciyinjidufuyu
下口叫姑鱼	xiakoujiaoguyu
下口圆吻鱥	xiakouyuanwengui
下口舌巨尾鳕	xiakoushejuweixue
下多孔副狮子鱼	xiaduokongfushiziyu
下孔亚纲	xiakongyagang
