# 泰深输入法专业词库 — 财经金融
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一德	yide
一本通	yibentong
一汽夏利	yiqixiali
一汽富维	yiqifuwei
一汽金杯	yiqijinbei
七乐彩	qilecai
七星电子	qixingdianzi
万丰奥威	wanfengaowei
万力达	wanlida
万向德农	wanxiangdenong
万威国际	wanweiguoji
万家基金	wanjiajijin
万年薪	wannianxin
万昌科技	wanchangkeji
万泽股份	wanzegufen
万象集团	wanxiangjituan
万通地产	wantongdichan
万邦达	wanbangda
万顺昌	wanshunchang
三一重工	sanyizhonggong
三丰智能	sanfengzhineng
三五互联	sanwuhulian
三井银行	sanjingyinhang
三元达	sanyuanda
三全食品	sanquanshipin
三力	sanli
三力士	sanlishi
三安光电	sananguangdian
三房巷	sanfangxiang
三星电气	sanxingdianqi
三普	sanpu
三普药业	sanpuyaoye
三木集团	sanmujituan
三泰电子	santaidianzi
三特索道	santesuodao
三立	sanli
三维丝	sanweisi
三联商社	sanlianshangshe
三菱银行	sanlingyinhang
上市规则	shangshiguize
上提	shangti
上海九百	shanghaijiubai
上海佳豪	shanghaijiahao
上海凤凰	shanghaifenghuang
上海凯宝	shanghaikaibao
上海分行	shanghaifenhang
上海医药	shanghaiyiyao
上海地产	shanghaidichan
上海建工	shanghaijiangong
上海新梅	shanghaixinmei
上海普天	shanghaiputian
上海有色金属网	shanghaiyousejinshuwang
上海机场	shanghaijichang
上海机电	shanghaijidian
上海梅林	shanghaimeilin
上海港机	shanghaigangji
上海物贸	shanghaiwumao
上海电力	shanghaidianli
上海电气	shanghaidianqi
上海科技	shanghaikeji
上海绿新	shanghailvxin
上海莱士	shanghailaishi
上海证券	shanghaizhengquan
上海证券报	shanghaizhengquanbao
上海证大	shanghaizhengda
上海贝岭	shanghaibeiling
上海辅仁	shanghaifuren
上海金融	shanghaijinrong
上海金融学院	shanghaijinrongxueyuan
上海金陵	shanghaijinling
上海钢联	shanghaiganglian
上港集团	shanggangjituan
上电	shangdian
上破	shangpo
上证股	shangzhenggu
下破	xiapo
下轨	xiagui
不便宜	bubianyi
世界经济	shijiejingji
业务发展	yewufazhan
业务线	yewuxian
东光集团	dongguangjituan
东华科技	donghuakeji
东华能源	donghuanengyuan
东华软件	donghuaruanjian
东吴嘉禾	dongwujiahe
东安黑豹	donganheibao
东富龙	dongfulong
东控	dongkong
东方保本	dongfangbaoben
东方国信	dongfangguoxin
东方报业集团	dongfangbaoyejituan
东方汇理银行	dongfanghuiliyinhang
东方金钰	dongfangjinyu
东方银星	dongfangyinxing
东方银行	dongfangyinhang
东方锆业	dongfanggaoye
东方雨虹	dongfangyuhong
东源电器	dongyuandianqi
东百集团	dongbaijituan
东碳	dongtan
东软集团	dongruanjituan
东锅	dongguo
东阿阿胶	dongeejiao
东风集团	dongfengjituan
中侨	zhongqiao
中信国安	zhongxinguoan
中信控股	zhongxinkonggu
中信泰富	zhongxintaifu
中信海直	zhongxinhaizhi
中冠	zhongguan
中创信测	zhongchuangxince
中化国际	zhonghuaguoji
中化岩土	zhonghuayantu
中华工商时报	zhonghuagongshangshibao
中南重工	zhongnanzhonggong
中原信托	zhongyuanxintuo
中原特钢	zhongyuantegang
中国中铁	zhongguozhongtie
中国人寿	zhongguorenshou
中国人民建设银行	zhongguorenminjiansheyinhang
中国企业家	zhongguoqiyejia
中国公司	zhongguogongsi
中国北车	zhongguobeiche
中国医疗	zhongguoyiliao
中国医药	zhongguoyiyao
中国南车	zhongguonanche
中国商人	zhongguoshangren
中国商报	zhongguoshangbao
中国国航	zhongguoguohang
中国国贸	zhongguoguomao
中国国际	zhongguoguoji
中国国际招标网	zhongguoguojizhaobiaowang
中国太保	zhongguotaibao
中国太平	zhongguotaiping
中国宝安	zhongguobaoan
中国平安	zhongguopingan
中国建筑	zhongguojianzhu
中国忠旺	zhongguozhongwang
中国投资	zhongguotouzi
中国报告大厅	zhongguobaogaodating
中国星集团	zhongguoxingjituan
中国有色金属	zhongguoyousejinshu
中国有色金属报	zhongguoyousejinshubao
中国服装	zhongguofuzhuang
中国民营经济周刊	zhongguominyingjingjizhoukan
中国水业集团	zhongguoshuiyejituan
中国水务	zhongguoshuiwu
中国消防	zhongguoxiaofang
中国玻璃	zhongguoboli
中国石化	zhongguoshihua
中国石油	zhongguoshiyou
中国科技	zhongguokeji
中国管理传播网	zhongguoguanlichuanbowang
中国经济	zhongguojingji
中国经济周刊	zhongguojingjizhoukan
中国经济报告	zhongguojingjibaogao
中国经济网	zhongguojingjiwang
中国经营报	zhongguojingyingbao
中国联合商报	zhongguolianheshangbao
中国股市	zhongguogushi
中国西电	zhongguoxidian
中国证券报	zhongguozhengquanbao
中国财富	zhongguocaifu
中国财经报	zhongguocaijingbao
中国资本市场	zhongguozibenshichang
中国远洋	zhongguoyuanyang
中国重汽	zhongguozhongqi
中国金融	zhongguojinrong
中国铁建	zhongguotiejian
中国银监会	zhongguoyinjianhui
中国食品	zhongguoshipin
中央结算公司	zhongyangjiesuangongsi
中孚实业	zhongfushiye
中小散户	zhongxiaosanhu
中小板指	zhongxiaobanzhi
中小盘股	zhongxiaopangu
中川国际	zhongchuanguoji
中恒	zhongheng
中恒电气	zhonghengdianqi
中恒集团	zhonghengjituan
中房股份	zhongfanggufen
中投公司	zhongtougongsi
中核科技	zhonghekeji
中核钛白	zhonghetaibai
中欧鼎利	zhongoudingli
中江地产	zhongjiangdichan
中泰化学	zhongtaihuaxue
中海达	zhonghaida
中润	zhongrun
中源	zhongyuan
中燕	zhongyan
中瑞思创	zhongruisichuang
中石油	zhongshiyou
中科三环	zhongkesanhuan
中科创业	zhongkechuangye
中科合臣	zhongkehechen
中科英华	zhongkeyinghua
中科软	zhongkeruan
中签	zhongqian
中粮屯河	zhongliangtunhe
中纺机	zhongfangji
中联债	zhonglianzhai
中航三鑫	zhonghangsanxin
中航光电	zhonghangguangdian
中航地产	zhonghangdichan
中航科工	zhonghangkegong
中航精机	zhonghangjingji
中航重机	zhonghangzhongji
中辽	zhongliao
中钢吉炭	zhonggangjitan
中钨	zhongwu
中银卡	zhongyinka
中银绒业	zhongyinrongye
中集安瑞科	zhongjianruike
中青宝	zhongqingbao
中顺洁柔	zhongshunjierou
丰林集团	fenglinjituan
主力资金	zhulizijin
主要措施	zhuyaocuoshi
丽悦酒店	liyuejiudian
久立特材	jiulitecai
乐电	ledian
乐视网	leshiwang
九九久	jiujiujiu
九发	jiufa
九州通	jiuzhoutong
九阳股份有限公司	jiuyanggufenyouxiangongsi
九龙仓集团	jiulongcangjituan
买断型	maiduanxing
二纺	erfang
二纺机	erfangji
云南城投	yunnanchengtou
云南盐化	yunnanyanhua
云南锗业	yunnanzheye
云南马龙	yunnanmalong
云海金属	yunhaijinshu
互太纺织	hutaifangzhi
互联网周刊	hulianwangzhoukan
五年期以上	wunianqiyishang
五洲明珠	wuzhoumingzhu
五矿发展	wukuangfazhan
五矿建设	wukuangjianshe
五矿期货	wukuangqihuo
五矿证券	wukuangzhengquan
五粮	wuliang
亚夏汽车	yaxiaqiche
亚星	yaxing
亚星化学	yaxinghuaxue
亚洲货币	yazhouhuobi
亚洲金融	yazhoujinrong
亚玛顿	yamadun
交强险	jiaoqiangxian
交易区	jiaoyiqu
交易厅	jiaoyiting
交易场	jiaoyichang
交易密码	jiaoyimima
交易指南	jiaoyizhinan
交易时间	jiaoyishijian
交易池	jiaoyichi
交货价	jiaohuojia
交钥匙	jiaoyaoshi
交银	jiaoyin
交银施罗德	jiaoyinshiluode
交银添利	jiaoyintianli
交银环球	jiaoyinhuanqiu
产业发展	chanyefazhan
产品介绍	chanpinjieshao
产权导刊	chanquandaokan
亨泰	hengtai
亨通光电	hengtongguangdian
京信通信	jingxintongxin
京投银泰	jingtouyintai
京运通	jingyuntong
亿安	yian
付息日	fuxiri
代领人	dailingren
仲裁规则	zhongcaiguize
价内权证	jianeiquanzheng
价格改革	jiagegaige
价税	jiashui
企业所得税法	qiyesuodeshuifa
企业集团	qiyejituan
伊泰	yitai
伊立浦	yilipu
众业达	zhongyeda
优酷网	youkuwang
伟易达集团	weiyidajituan
伦敦金	lundunjin
低吸	dixi
佳兆业集团	jiazhaoyejituan
佳士科技	jiashikeji
