# 泰深输入法专业词库 — 成语
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一不做二不休	yibuzuoerbuxiu
一个半个	yigebange
一举成功	yijuchenggong
一人之下万人之上	yirenzhixiawanrenzhishang
一人做事一人当	yirenzuoshiyirendang
一人得道鸡犬升天	yirendedaojiquanshengtian
一代不如一代	yidaiburuyidai
一传十十传百	yichuanshishichuanbai
一分耕耘一分收获	yifengengyunyifenshouhuo
一口吃个胖子	yikouchigepangzi
一叶障目不见泰山	yiyezhangmubujiantaishan
一回生两回熟	yihuishenglianghuishu
一块石头落了地	yikuaishitouluoledi
一块石头落地	yikuaishitouluodi
一夫当关万夫莫开	yifudangguanwanfumokai
一手包揽	yishoubaolan
一报还一报	yibaohuanyibao
一文钱难倒英雄汉	yiwenqiannandaoyingxionghan
一日不见如隔三秋	yiribujianrugesanqiu
一日之计在于晨	yirizhijizaiyuchen
一日夫妻百日恩	yirifuqibairien
一是一二是二	yishiyiershier
一朝权在手	yizhaoquanzaishou
一条道走到黑	yitiaodaozoudaohei
一波未平一波又起	yiboweipingyiboyouqi
一物降一物	yiwuxiangyiwu
一着不慎满盘皆输	yizhebushenmanpanjieshu
一而再再而三	yierzaizaiersan
一蟹不如一蟹	yixieburuyixie
丁是丁卯是卯	dingshidingmaoshimao
万事俱备只欠东风	wanshijubeizhiqiandongfeng
万事胜意	wanshishengyi
三人行必有我师	sanrenxingbiyouwoshi
三千里江山	sanqianlijiangshan
三思后行	sansihouxing
三男两女	sannanliangnv
三男四女	sannansinv
三省吾身	sanxingwushen
上有天堂下有苏杭	shangyoutiantangxiayousuhang
上知天文下知地理	shangzhitianwenxiazhidili
下笔如有神	xiabiruyoushen
不值一哂	buzhiyishen
不入虎穴焉得虎子	buruhuxueyandehuzi
不分敌我	bufendiwo
不可忽视	bukehushi
不可抗拒	bukekangju
不在其位不谋其政	buzaiqiweibumouqizheng
不平之鸣	bupingzhiming
不得其详	budeqixiang
不忍释卷	burenshijuan
不怕一万就怕万一	bupayiwanjiupawanyi
不明事理	bumingshili
不求有功但求无过	buqiuyougongdanqiuwuguo
不知何故	buzhihegu
不知其详	buzhiqixiang
不知怎的	buzhizende
不系之舟	buxizhizhou
不能登大雅之堂	bunengdengdayazhitang
不能自主	bunengzizhu
不自由毋宁死	buziyouwuningsi
不见兔子不撒鹰	bujiantuzibusaying
不见棺材不落泪	bujianguancaibuluolei
不足为道	buzuweidao
不食人间烟火	bushirenjianyanhuo
与人方便自己方便	yurenfangbianzijifangbian
业精于勤荒于嬉	yejingyuqinhuangyuxi
个中三昧	gezhongsanmei
临时抱佛脚	linshibaofojiao
临机处置	linjichuzhi
临阵退缩	linzhentuisuo
为人作嫁	weirenzuojia
举步艰难	jubujiannan
乘兴而来败兴而归	chengxingerlaibaixingergui
买卖公平	maimaigongping
事不关己高高挂起	shibuguanjigaogaoguaqi
二者必居其一	erzhebijuqiyi
云谲波诡	yunjuebogui
交杯换盏	jiaobeihuanzhan
亲者痛仇者快	qinzhetongchouzhekuai
人不为己天诛地灭	renbuweijitianzhudimie
人不可貌相	renbukemaoxiang
人不犯我	renbufanwo
人不犯我我不犯人	renbufanwowobufanren
人不知鬼不觉	renbuzhiguibujue
人为刀俎我为鱼肉	renweidaozuwoweiyurou
人之将死其言也善	renzhijiangsiqiyanyeshan
人五人六	renwurenliu
人人得而诛之	renrendeerzhuzhi
人人有份	renrenyoufen
人善被人欺	renshanbeirenqi
人多眼杂	renduoyanza
人心齐泰山移	renxinqitaishanyi
人无远虑必有近忧	renwuyuanlvbiyoujinyou
人活一张脸	renhuoyizhanglian
人生何处不相逢	renshenghechubuxiangfeng
人穷志不短	renqiongzhibuduan
人财两失	rencailiangshi
人间正道是沧桑	renjianzhengdaoshicangsang
人间重晚晴	renjianzhongwanqing
人非圣贤孰能无过	renfeishengxianshunengwuguo
仁者见仁智者见智	renzhejianrenzhizhejianzhi
仇人相见分外眼红	chourenxiangjianfenwaiyanhong
仇深似海	choushenshihai
从容自在	congrongzizai
令出必行	lingchubixing
以其人之道	yiqirenzhidao
以其昏昏使人昭昭	yiqihunhunshirenzhaozhao
以子之矛攻子之盾	yizizhimaogongzizhidun
何其相似乃尔	heqixiangsinaier
你言我语	niyanwoyu
信口胡诌	xinkouhuzhou
假戏成真	jiaxichengzhen
做小动作	zuoxiaodongzuo
儿孙自有儿孙福	ersunziyouersunfu
先小人后君子	xianxiaorenhoujunzi
光荣岁月	guangrongsuiyue
光阴虚度	guangyinxudu
全心全力	quanxinquanli
公平正直	gongpingzhengzhi
关心民瘼	guanxinminmo
兵来将挡水来土掩	binglaijiangdangshuilaituyan
兵马未动粮草先行	bingmaweidongliangcaoxianxing
其不善者而改之	qibushanzheergaizhi
其奈我何	qinaiwohe
养兵千日用兵一时	yangbingqianriyongbingyishi
兼济天下	jianjitianxia
