# 泰深输入法专业词库 — 地名
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一一七中学	yiyiqizhongxue
一二九街	yierjiujie
一二八纪念路	yierbajinianlu
一二条社区	yiertiaoshequ
一亩园	yimuyuan
一亩园社区	yimuyuanshequ
一人巷	yirenxiang
一公司	yigongsi
一公园	yigongyuan
一六一医院	yiliuyiyiyuan
一六八医院	yiliubayiyuan
一分场	yifenchang
一医	yiyi
一医院	yiyiyuan
一号桥	yihaoqiao
一号立井	yihaolijing
一号船闸	yihaochuanzha
一号路	yihaolu
一号路四号大街口	yihaolusihaodajiekou
一号闸	yihaozha
一品嘉园	yipinjiayuan
一四二中	yisierzhong
一声霹雳	yishengpili
一多楼	yiduolou
一字桥	yiziqiao
一建	yijian
一建家属院	yijianjiashuyuan
一德东	yidedong
一德西	yidexi
一德路	yidelu
一斗泉乡	yidouquanxiang
一汽公司	yiqigongsi
一清新村	yiqingxincun
一渡	yidu
一环路东一段	yihuanludongyiduan
一环路东三段	yihuanludongsanduan
一环路九里堤路口	yihuanlujiulidilukou
一环路北三段	yihuanlubeisanduan
一环路北四段	yihuanlubeisiduan
一环路南四段	yihuanlunansiduan
一环路大石路口	yihuanludashilukou
一环路建设路口	yihuanlujianshelukou
一环路新鸿路口	yihuanluxinhonglukou
一环路菊乐路口	yihuanlujulelukou
一环路高升桥东路	yihuanlugaoshengqiaodonglu
一纬路	yiweilu
一职高	yizhigao
一节路	yijielu
一街新村	yijiexincun
一路吉祥	yilujixiang
一轴两翼	yizhouliangyi
一配	yipei
一里坡	yilipo
一零四团	yilingsituan
一马路	yimalu
丁仁山	dingrenshan
丁卯街道	dingmaojiedao
丁司垱镇	dingsidangzhen
丁各庄	dinggezhuang
丁堰	dingyan
丁塘镇	dingtangzhen
丁墙	dingqiang
丁子路口	dingzilukou
丁字口	dingzikou
丁字古	dingzigu
丁字桥	dingziqiao
丁字沽	dingzigu
丁字沽一号路	dingziguyihaolu
丁字沽三号路	dingzigusanhaolu
丁字沽二号路	dingziguerhaolu
丁字胡同	dingzihutong
丁字路口	dingzilukou
丁家坝	dingjiaba
丁家堡	dingjiabao
丁家堡村	dingjiabaocun
丁家山景区	dingjiashanjingqu
丁家庄	dingjiazhuang
丁家村	dingjiacun
丁家桥	dingjiaqiao
丁家桥村	dingjiaqiaocun
丁家沟乡	dingjiagouxiang
丁家滩	dingjiatan
丁山	dingshan
丁山乡	dingshanxiang
丁庄	dingzhuang
丁店	dingdian
丁所	dingsuo
丁杨	dingyang
丁桥	dingqiao
丁桥镇政府	dingqiaozhenzhengfu
丁楼	dinglou
丁氏祠堂	dingshicitang
丁溪	dingxi
丁溪村	dingxicun
丁甲庄	dingjiazhuang
丁白村	dingbaicun
丁白路西口	dingbailuxikou
丁章胡同	dingzhanghutong
丁营村	dingyingcun
丁贤	dingxian
丁陂乡	dingbeixiang
丁集	dingji
丁香公寓	dingxianggongyu
丁香园	dingxiangyuan
丁香胡同	dingxianghutong
丁香街	dingxiangjie
丁香路	dingxianglu
七一厂	qiyichang
七一村	qiyicun
七一酱园	qiyijiangyuan
七七街	qiqijie
七中	qizhong
七二一	qieryi
七井胡同	qijinghutong
七农场	qinongchang
七前	qiqian
七十二团场	qishiertuanchang
七十二泾	qishierjing
七十六中	qishiliuzhong
七厂	qichang
七厂十字	qichangshizi
七号桥	qihaoqiao
七号码头	qihaomatou
七号门	qihaomen
七圣南路	qishengnanlu
七圣庙	qishengmiao
七圣路	qishenglu
七堡	qibao
七堡南	qibaonan
七塔寺	qitasi
七塘	qitang
七孔桥	qikongqiao
七宝山	qibaoshan
七宝路	qibaolu
七宝镇	qibaozhen
七家子	qijiazi
七家湾	qijiawan
七山乡	qishanxiang
七府坟	qifufen
七建乡	qijianxiang
七彩小康城	qicaixiaokangcheng
七彩星城	qicaixingcheng
七房	qifang
七星关	qixingguan
七星园	qixingyuan
七星园北社区	qixingyuanbeishequ
七星园南社区	qixingyuannanshequ
七星岗	qixinggang
七星市场	qixingshichang
七星桥村	qixingqiaocun
七星椒	qixingjiao
七星洞	qixingdong
七星路	qixinglu
七条巷	qitiaoxiang
七样菜	qiyangcai
七格小区	qigexiaoqu
七格村	qigecun
七桥	qiqiao
七棵松	qikesong
七步沟	qibugou
七浦路	qipulu
七渡	qidu
七甲	qijia
七甲闸村	qijiazhacun
七画	qihua
七管村	qiguancun
七纬路	qiweilu
七纺	qifang
七经路	qijinglu
七美岛	qimeidao
七翘八拱	qiqiaobagong
七莘路	qishenlu
七角井镇	qijiaojingzhen
七贤岭	qixianling
七贤桥	qixianqiao
七贤路	qixianlu
七连庄	qilianzhuang
七道堰	qidaoyan
七道堰街	qidaoyanjie
七道岭乡	qidaolingxiang
七道河	qidaohe
七道湾	qidaowan
七里亭村	qilitingcun
七里墩街道	qilidunjiedao
七里山	qilishan
七里山园艺场	qilishanyuanyichang
七里岗	qiligang
七里庄	qilizhuang
七里店	qilidian
七里庙	qilimiao
七里村	qilicun
七里沟街道	qiligoujiedao
七里渠	qiliqu
七里渠西桥	qiliquxiqiao
七里湖街道	qilihujiedao
七里甸街道	qilidianjiedao
七里畈	qilifan
七里街	qilijie
七里街道	qilijiedao
七里香溪	qilixiangxi
七马路	qimalu
万丈湖农场	wanzhanghunongchang
万东路	wandonglu
万丰	wanfeng
万丰村	wanfengcun
万丰路南口	wanfenglunankou
万丰镇	wanfengzhen
万事利花园	wanshilihuayuan
万事利集团	wanshilijituan
万亩村	wanmucun
万亩榴园	wanmuliuyuan
万人餐厅	wanrencanting
万众村	wanzhongcun
万佛华侨陵园	wanfuhuaqiaolingyuan
万佛山	wanfoshan
万佳百货	wanjiabaihuo
万佳通	wanjiatong
万全道	wanquandao
万兴	wanxing
万利镇	wanlizhen
万博花园	wanbohuayuan
万合永镇	wanheyongzhen
万和源	wanheyuan
万和路	wanhelu
万商电脑城	wanshangdiannaocheng
万国广场	wanguoguangchang
万国金色家园	wanguojinsejiayuan
万坪乡	wanpingxiang
万坪镇	wanpingzhen
万埠	wanbu
万塔	wanta
万子营	wanziying
万宁桥	wanningqiao
万安山	wananshan
万安村	wanancun
万安路	wananlu
万宜水库	wanyishuiku
万宝湖	wanbaohu
万宝街	wanbaojie
万家丽	wanjiali
万家寨镇	wanjiazhaizhen
万家庄	wanjiazhuang
万家庄乡	wanjiazhuangxiang
万家桥	wanjiaqiao
万家花城	wanjiahuacheng
万富	wanfu
万寨港	wanzhaigang
万寿	wanshou
万寿中路	wanshouzhonglu
万寿公园	wanshougongyuan
万寿场	wanshouchang
万寿寺街	wanshousijie
万寿庄	wanshouzhuang
万寿桥	wanshouqiao
万寿禅寺	wanshouchansi
万寿西宫	wanshouxigong
万寿路北口	wanshoulubeikou
万寿路南口	wanshoulunankou
万屋边	wanwubian
万山湖	wanshanhu
万岁街	wansuijie
万峪河乡	wanyuhexiang
万峰林场	wanfenglinchang
万川路	wanchuanlu
万年场	wannianchang
万年场公交宿舍	wannianchanggongjiaosushe
万年胡同	wannianhutong
万年花城	wannianhuacheng
万年路	wannianlu
万庄	wanzhuang
万庄村	wanzhuangcun
万康	wankang
万德庄	wandezhuang
万德庄南北街	wandezhuangnanbeijie
万德庄大街	wandezhuangdajie
万德路	wandelu
万新	wanxin
万新村	wanxincun
万方乐奏有于阗	wanfanglezouyouyutian
万春街	wanchunjie
万晟现代城	wanchengxiandaicheng
万村村委会	wancuncunweihui
万杨	wanyang
万松岭	wansongling
万松岭路口	wansonglinglukou
万果园	wanguoyuan
万柏林	wanbolin
万柏林区委	wanbolinquwei
万柳中路	wanliuzhonglu
万柳中路北口	wanliuzhonglubeikou
万柳中路南口	wanliuzhonglunankou
万柳园社区	wanliuyuanshequ
万柳村	wanliucun
万柳村大街	wanliucundajie
万柳村村	wanliucuncun
万柳路	wanliulu
万欣翠园	wanxincuiyuan
万民乡	wanminxiang
万江共和新城	wanjianggonghexincheng
万泉寺社区	wanquansishequ
万泉庄南社区	wanquanzhuangnanshequ
万泉河路	wanquanhelu
万泉路	wanquanlu
万洞	wandong
万源街西口	wanyuanjiexikou
万源路	wanyuanlu
万田	wantian
万田乡政府	wantianxiangzhengfu
万田村	wantiancun
万盛石林	wanshengshilin
万祠巷	wancixiang
万福桥	wanfuqiao
万福河	wanfuhe
