# 泰深输入法专业词库 — 饮食
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一主六配	yizhuliupei
一卵孵双凤	yiluanfushuangfeng
一口酥	yikousu
一品南乳肉	yipinnanrurou
一品大包	yipindabao
一品官燕	yipinguanyan
一品寿桃	yipinshoutao
一品烧饼	yipinshaobing
一品熊掌	yipinxiongzhang
一品玉带糕	yipinyudaigao
一品肉	yipinrou
一品蒸黄鱼	yipinzhenghuangyu
一品薯包	yipinshubao
一品豆腐	yipindoufu
一品豆腐汤	yipindoufutang
一品配方	yipinpeifang
一品酥方	yipinsufang
一品酸辣鸡	yipinsuanlaji
一品香	yipinxiang
一品香饭店	yipinxiangfandian
一品鲍鱼	yipinbaoyu
一品鲳	yipinchang
一品鲳鱼	yipinchangyu
一捏酥	yiniesu
一掌雪	yizhangxue
一棒雪	yibangxue
一篓油水饺	yilouyoushuijiao
丁二酮	dingertong
丁基羟基茴香醚	dingjiqiangjihuixiangmi
丁果糖	dingguotang
丁酸丁酯	dingsuandingzhi
丁酸乙酯	dingsuanyizhi
丁酸异戊酯	dingsuanyiwuzhi
丁酸苄酯	dingsuanbianzhi
丁香姜糖	dingxiangjiangtang
丁香排骨	dingxiangpaigu
丁香榄	dingxianglan
丁香粉	dingxiangfen
丁香肘子	dingxiangzhouzi
丁香鸭	dingxiangya
七境堂绿茶	qijingtanglvcha
七子饼茶	qizibingcha
七层糕	qicenggao
七彩什锦煲	qicaishijinbao
七星丸	qixingwan
万和春	wanhechun
万字扣肉	wanzikourou
万字珊瑚白菜	wanzishanhubaicai
万字麻辣肚丝	wanzimaladusi
万州烤鱼	wanzhoukaoyu
万年长青	wannianchangqing
万能烤箱	wannengkaoxiang
三丁包	sandingbao
三丁包子	sandingbaozi
三丁大包	sandingdabao
三七汽锅鸡	sanqiqiguoji
三七蒸鸡	sanqizhengji
三不粘	sanbuzhan
三丝凉面	sansiliangmian
三丝拌糟鸡	sansibanzaoji
三丝敲鱼	sansiqiaoyu
三丝汤	sansitang
三丝牛肉卷	sansiniuroujuan
三丝瓜卷	sansiguajuan
三丝眉毛酥	sansimeimaosu
三丝面疙瘩	sansimiangeda
三丝驼峰	sansituofeng
三丝鱼翅	sansiyuchi
三丝鱿鱼	sansiyouyu
三义园牛肉焦饼	sanyiyuanniuroujiaobing
三仙丸子	sanxianwanzi
三创	sanchuang
三北藕丝糖	sanbeiousitang
三原蓼花	sanyuanliaohua
三原蓼花糖	sanyuanliaohuatang
三合汤	sanhetang
三合泥	sanheni
三大炮	sandapao
三套鸭	santaoya
三年陈花雕酒	sannianchenhuadiaojiu
三彩大虾	sancaidaxia
三得利	sandeli
三文一品汤包	sanwenyipintangbao
三文治火腿	sanwenzhihuotui
三文鱼寿司卷	sanwenyushousijuan
三杯脚鱼	sanbeijiaoyu
三杯鸡	sanbeiji
三河米饺	sanhemijiao
三涧料酒	sanjianliaojiu
三清碧兰	sanqingbilan
三皮丝	sanpisi
三美豆腐	sanmeidoufu
三色丁	sanseding
三色糕	sansegao
三色糯米饭	sansenuomifan
三色蛋	sansedan
三色蛋卷	sansedanjuan
三色蛋糕	sansedangao
三色鸡丁	sansejiding
三色鸡鱼丸	sansejiyuwan
三色龙虾	sanselongxia
三花减肥茶	sanhuajianfeicha
三花酒	sanhuajiu
三虾豆腐	sanxiadoufu
三虾面	sanxiamian
三角火烧	sanjiaohuoshao
三角酥	sanjiaosu
三道茶	sandaocha
三驱田凉粉	sanqutianliangfen
三鲜丸子	sanxianwanzi
三鲜冰豆腐	sanxianbingdoufu
三鲜小馄饨	sanxianxiaohuntun
三鲜木樨汤	sanxianmuxitang
三鲜水饺	sanxianshuijiao
三鲜烧麦	sanxianshaomai
三鲜瑶柱	sanxianyaozhu
三鲜砂锅	sanxianshaguo
三鲜米线	sanxianmixian
三鲜紫米蛋糕	sanxianzimidangao
三鲜茄子	sanxianqiezi
三鲜莲花酥	sanxianlianhuasu
三鲜蘑菇	sanxianmogu
三鲜豆皮	sanxiandoupi
三鲜锅巴	sanxianguoba
三鲜锅粑	sanxianguoba
三鲜锅贴	sanxianguotie
三鲜面	sanxianmian
三鲜馄饨	sanxianhuntun
三鲜鱼丸	sanxianyuwan
三鲜鱼翅	sanxianyuchi
三鲜龙凤球	sanxianlongfengqiu
上岗子面茶	shanggangzimiancha
上杂拌	shangzaban
上杭萝卜干	shanghangluobogan
上校鸡块	shangxiaojikuai
上汤奶白菜	shangtangnaibaicai
上汤时蔬	shangtangshishu
上汤虾丸	shangtangxiawan
上海冷面	shanghailengmian
上海春卷	shanghaichunjuan
上海水蜜桃	shanghaishuimitao
上海汤圆	shanghaitangyuan
上海油鸡	shanghaiyouji
上海炒年糕	shanghaichaoniangao
上海炒饭	shanghaichaofan
上海炸猪排	shanghaizhazhupai
上海猪肉灌肠	shanghaizhurouguanchang
上海老饭店	shanghailaofandian
上海茶叶蛋	shanghaichayedan
上海蒸鱼	shanghaizhengyu
上海蜜汁小肉	shanghaimizhixiaorou
上海蜜饯	shanghaimijian
上海蟹壳黄	shanghaixiekehuang
上海锅贴	shanghaiguotie
上海饼干	shanghaibinggan
上海馄饨汤	shanghaihuntuntang
上清饮	shangqingyin
上清饮凉茶	shangqingyinliangcha
丙二醇脂肪酸酯	bingerchunzhifangsuanzhi
丙酸乙酯	bingsuanyizhi
丙酸苄酯	bingsuanbianzhi
丙酸钙	bingsuangai
丙酸钠	bingsuanna
东北一锅出	dongbeiyiguochu
东北乱炖	dongbeiluandun
东北酒	dongbeijiu
东古一品鲜	dongguyipinxian
东坡方肉	dongpofangrou
东坡春鸠脍	dongpochunjiukuai
东坡肘子	dongpozhouzi
东坡茄子	dongpoqiezi
东坡饼	dongpobing
东坡鳊鱼	dongpobianyu
东壁龙珠	dongbilongzhu
东安子鸡	donganziji
东安鸡	donganji
东山坞豆腐皮	dongshanwudoufupi
东方海川	dongfanghaichuan
东方蒙特尔	dongfangmengteer
东江东坡宴	dongjiangdongpoyan
东江盐焗鸡	dongjiangyanjuji
东江菜	dongjiangcai
东江豆腐煲	dongjiangdoufubao
东璧龙珠	dongbilongzhu
东莞腊肠	dongguanlachang
东阴宫	dongyingong
丝丝糕	sisigao
丝娃娃	siwawa
丝瓜炖豆腐	siguadundoufu
丝瓜猪肝瘦肉汤	siguazhuganshouroutang
丝瓜白菜猪瘦肉汤	siguabaicaizhushouroutang
丝袜奶茶	siwanaicha
丝路春	siluchun
两英番薯粥	liangyingfanshuzhou
两面火	liangmianhuo
两香问政山笋	liangxiangwenzhengshansun
严州干菜鸭	yanzhougancaiya
严州雪梨	yanzhouxueli
中华猕猴桃	zhonghuamihoutao
中华药膳	zhonghuayaoshan
中华蜜酒	zhonghuamijiu
中台湾	zhongtaiwan
中国劲酒	zhongguojinjiu
中江挂面	zhongjiangguamian
丰城冻米糖	fengchengdongmitang
丰年果糖	fengnianguotang
丰收龙舟	fengshoulongzhou
串炸鲜贝	chuanzhaxianbei
串烤肉	chuankaorou
串烧海鲜	chuanshaohaixian
临安山核桃	linanshanhetao
临晋玉瓜	linjinyugua
临朐全羊宴	linququanyangyan
临汝药酒	linruyaojiu
临潼火晶柿子	lintonghuojingshizi
临潼石榴	lintongshiliu
丹参黄豆汤	danshenhuangdoutang
丹灶慈菇	danzaocigu
丹麦酥	danmaisu
主席红烧肉	zhuxihongshaorou
丽人献茗	lirenxianming
丽江火腿粑粑	lijianghuotuibaba
义盛永熏鸡	yishengyongxunji
之江鲈莼羹	zhijiangluchungeng
乌发汤	wufatang
乌梅糕	wumeigao
乌毡帽	wuzhanmao
乌江鱼	wujiangyu
乌狼鲞烤肉	wulangxiangkaorou
乌饭果	wufanguo
乌骨鸡归黄汤	wugujiguihuangtang
乌龙吐珠	wulongtuzhu
乐啤露	lepilu
乐昌白毛茶	lechangbaimaocha
乐满家	lemanjia
乐福园酒店	lefuyuanjiudian
乐而美汉堡	leermeihanbao
乐蟹	lexie
乒乓馃	pingpangguo
乔家栅粽子	qiaojiazhazongzi
乙二胺四乙酸二钠	yieransiyisuanerna
乙基愈创木酚	yijiyuchuangmufen
乙氧基喹	yiyangjikui
乙萘酚	yinaifen
乙酸丁酯	yisuandingzhi
乙酸异丁酸蔗糖酯	yisuanyidingsuanzhetangzhi
乙酸异戊酯	yisuanyiwuzhi
乙酸松油酯	yisuansongyouzhi
乙酸芳樟酯	yisuanfangzhangzhi
乙酸苄酯	yisuanbianzhi
乙酸薄荷酯	yisuanbohezhi
乙酸钙	yisuangai
乙酸香叶酯	yisuanxiangyezhi
乙酸龙脑酯	yisuanlongnaozhi
九华毛峰	jiuhuamaofeng
九姓团圆	jiuxingtuanyuan
九层塔	jiucengta
九层塔煎蛋	jiucengtajiandan
九江煎堆	jiujiangjiandui
九洞矿泉水	jiudongkuangquanshui
九珠皮蛋	jiuzhupidan
九记路边鸡	jiujilubianji
九转大肠	jiuzhuandachang
九里飘香	jiulipiaoxiang
九黄饼	jiuhuangbing
九龙斋	jiulongzhai
九龙茶	jiulongcha
乡宁油糕	xiangningyougao
乡宁白面油糕	xiangningbaimianyougao
乡村小炒鸡	xiangcunxiaochaoji
乡村玉米饼	xiangcunyumibing
乳化硅油	ruhuaguiyou
乳扇	rushan
乳扇饺	rushanjiao
乳膳萨其马	rushansaqima
乳茶	rucha
乳酪大会	rulaodahui
乳酪蒸虾仁	rulaozhengxiaren
乳酪蛋糕	rulaodangao
乳酸乙酯	rusuanyizhi
乳酸菌饮料	rusuanjunyinliao
乳酸钠	rusuanna
乳酸链球菌素	rusuanlianqiujunsu
乳铁蛋白	rutiedanbai
乳鸽瓤猪肚	rugerangzhudu
乾县挂面	qianxianguamian
乾县豆腐脑	qianxiandoufunao
乾县锅盔	qianxianguokui
乾坤蒸狗	qiankunzhenggou
乾州豆腐脑	qianzhoudoufunao
乾州锅盔	qianzhouguokui
乾州鸡面	qianzhoujimian
乾果四品	qianguosipin
事事平安	shishipingan
二丁基羟基甲苯	erdingjiqiangjijiaben
二仙居碗坨	erxianjuwantuo
二仙烧羊肉	erxianshaoyangrou
二块粑炒火腿	erkuaibachaohuotui
二姐兔丁	erjietuding
二氢香豆素	erqingxiangdousu
