# 泰深输入法专业词库 — 历史名人
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一真	yizhen
丁丙	dingbing
丁义	dingyi
丁于	dingyu
丁仪	dingyi
丁伟	dingwei
丁佛言	dingfuyan
丁元公	dingyuangong
丁军	dingjun
丁原	dingyuan
丁奉	dingfeng
丁子江	dingzijiang
丁宝桢	dingbaozhen
丁宝臣	dingbaochen
丁尼生	dingnisheng
丁德隆	dingdelong
丁惟汾	dingweifen
丁敬	dingjing
丁文祥	dingwenxiang
丁斐	dingfei
丁是娥	dingshie
丁晏	dingyan
丁晓兵	dingxiaobing
丁晓峰	dingxiaofeng
丁汀	dingting
丁泰	dingtai
丁炳权	dingbingquan
丁然	dingran
丁瓒	dingzan
丁申	dingshen
丁福保	dingfubao
丁立	dingli
丁立诚	dinglicheng
丁管	dingguan
丁耀亢	dingyaokang
丁艳燕	dingyanyan
丁芸	dingyun
丁薇	dingwei
丁轶	dingyi
丁静怡	dingjingyi
七原秋也	qiyuanqiuye
七海奈奈	qihainainai
七濑	qilai
万古蟾	wanguchan
万承风	wanchengfeng
万斯大	wansida
万春林	wanchunlin
万松龄	wansongling
万正色	wanzhengse
万永福	wanyongfu
万经	wanjing
万美汐	wanmeixi
万耀煌	wanyaohuang
万表	wanbiao
万适	wanshi
三上博史	sanshangboshi
三岛由纪夫	sandaoyoujifu
三池崇史	sanchichongshi
三浦春马	sanpuchunma
三浦研一	sanpuyanyi
三石琴乃	sanshiqinnai
三船敏郎	sanchuanminlang
三谷幸喜	sanguxingxi
上原多香子	shangyuanduoxiangzi
上原美优	shangyuanmeiyou
上地雄辅	shangdixiongfu
上川隆也	shangchuanlongye
上户彩	shanghucai
上木彩矢	shangmucaishi
上杉谦信	shangshanqianxin
上洛	shangluo
上田龙也	shangtianlongye
上睿	shangrui
上野树里	shangyeshuli
下邳国	xiapiguo
不破万作	bupowanzuo
不韦	buwei
世阿弥	shiami
丘岳	qiuyue
丘建	qiujian
丘志广	qiuzhiguang
丘集	qiuji
东乡平八郎	dongxiangpingbalang
东仪秀树	dongyixiushu
东山纪之	dongshanjizhi
东平陵	dongpingling
东方涂钦	dongfangtuqin
东曹属	dongcaoshu
东曹掾	dongcaoyuan
东朝	dongchao
东海林	donghailin
东野圭吾	dongyeguiwu
两津勘吉	liangjinkanji
严世蕃	yanshifan
严从	yancong
严健	yanjian
严如熤	yanruyi
严宽	yankuan
严岳	yanyue
严嵩	yansong
严庆龄	yanqingling
严律南	yanlvnan
严恒	yanheng
