# 泰深输入法专业词库 — 计算机/IT
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一元多项式	yiyuanduoxiangshi
一对一联系	yiduiyilianxi
一对多	yiduiduo
一级缓存	yijihuancun
一维数组	yiweishuzu
一致性哈希	yizhixinghaxi
一致性检验	yizhixingjianyan
一致性测试	yizhixingceshi
一致性约束	yizhixingyueshu
一般函数	yibanhanshu
一般图匹配	yibantupipei
一般处理程序	yibanchulichengxu
一般用户	yibanyonghu
一键分享	yijianfenxiang
一键备份	yijianbeifen
一键安装	yijiananzhuang
一键恢复	yijianhuifu
一键锁屏	yijiansuoping
一阶矩	yijieju
七层协议	qicengxieyi
七层模型	qicengmoxing
七牛	qiniu
七牛云存储	qiniuyuncunchu
万兆网卡	wanzhaowangka
万能适配器	wannengshipeiqi
三位编码	sanweibianma
三元运算符	sanyuanyunsuanfu
三分搜索	sanfensousuo
三分查找	sanfenchazhao
三大框架	sandakuangjia
三大范式	sandafanshi
三层交换	sancengjiaohuan
三层交换机	sancengjiaohuanji
三层架构	sancengjiagou
三层结构	sancengjiegou
三态门	santaimen
三方库	sanfangku
三方插件	sanfangchajian
三方框架	sanfangkuangjia
三方类库	sanfangleiku
三次握手	sanciwoshou
三消类游戏	sanxiaoleiyouxi
三点透视	sandiantoushi
三目运算	sanmuyunsuan
三级模式	sanjimoshi
三级缓存	sanjihuancun
三级联动	sanjiliandong
三维偏序	sanweipianxu
三维图像	sanweituxiang
三维建模	sanweijianmo
三维扫描仪	sanweisaomiaoyi
三维数组	sanweishuzu
三维注册	sanweizhuce
三维虚拟现实	sanweixunixianshi
三维重构	sanweizhonggou
三范式	sanfanshi
三角剖分	sanjiaopoufen
三角形面积	sanjiaoxingmianji
三角测距	sanjiaoceju
三角面片	sanjiaomianpian
上下位关系	shangxiaweiguanxi
上下拉刷新	shangxialashuaxin
上下文分析	shangxiawenfenxi
上下文切换	shangxiawenqiehuan
上下文属性	shangxiawenshuxing
上下文菜单	shangxiawencaidan
上下滑动	shangxiahuadong
上下滚动	shangxiagundong
上下界最大流	shangxiajiezuidaliu
上下界网络流	shangxiajiewangluoliu
上传代码	shangchuandaima
上传图片	shangchuantupian
上传数据	shangchuanshuju
上传文件	shangchuanwenjian
上传服务器	shangchuanfuwuqi
上传照片	shangchuanzhaopian
上传视频	shangchuanshipin
上位机	shangweiji
上升沿	shangshengyan
上层语言	shangcengyuyan
上拉刷新	shanglashuaxin
上拉加载	shanglajiazai
上拉加载更多	shanglajiazaigengduo
上拉电阻	shangladianzu
上机作业	shangjizuoye
上机实践	shangjishijian
上架流程	shangjialiucheng
上海传智	shanghaichuanzhi
上行链路	shanghanglianlu
下一状态	xiayizhuangtai
下位机	xiaweiji
下拉列表	xialaliebiao
下拉列表框	xialaliebiaokuang
下拉刷新	xialashuaxin
下拉加载	xialajiazai
下拉式选单	xialashixuandan
下拉放大	xialafangda
下拉电阻	xialadianzu
下方显示	xiafangxianshi
下标越界	xiabiaoyuejie
下行链路	xiaxinglianlu
下载图片	xiazaitupian
下载地址	xiazaidizhi
下载文件	xiazaiwenjian
下载管理器	xiazaiguanliqi
下载缓存	xiazaihuancun
下降沿	xiajiangyan
不兼容	bujianrong
不区分大小写	buqufendaxiaoxie
不变模式	bubianmoshi
不可变对象	bukebianduixiang
不可变类	bukebianlei
不可抵赖	bukedilai
不可逆加密	bukenijiami
不可重复读	bukechongfudu
不同版本	butongbanben
不启用	buqiyong
不完全信息	buwanquanxinxi
不完全数据	buwanquanshuju
不定方程	budingfangcheng
不执行	buzhixing
不确定性推理	buquedingxingtuili
不确定推理	buquedingtuili
不确定知识	buquedingzhishi
不等长编码	budengchangbianma
不良资产处置	buliangzichanchuzhi
不重复随机数	buchongfusuijishu
不间断电源	bujianduandianyuan
与运算	yuyunsuan
丑数	choushu
专业词典	zhuanyecidian
专家经验	zhuanjiajingyan
专用文件	zhuanyongwenjian
专用程序集	zhuanyongchengxuji
专用计算机	zhuanyongjisuanji
专用集成电路	zhuanyongjichengdianlu
世界变换	shijiebianhuan
世界坐标系	shijiezuobiaoxi
丘奇论题	qiuqilunti
业务层	yewuceng
业务理解	yewulijie
业务逻辑	yewuluoji
业务需求	yewuxuqiu
业界动态	yejiedongtai
丢包	diubao
两个指针	lianggezhizhen
两点间距离	liangdianjianjuli
两端对齐	liangduanduiqi
严格模式	yangemoshi
个人云	gerenyun
个人代码	gerendaima
个人博客	gerenboke
个人建站	gerenjianzhan
个人机房重构	gerenjifangzhonggou
个人计算机	gerenjisuanji
个人项目	gerenxiangmu
个体编码	getibianma
个性化推荐	gexinghuatuijian
个性化设置	gexinghuashezhi
中介者	zhongjiezhe
中介者模式	zhongjiezhemoshi
中值滤波	zhongzhilvbo
中值滤波器	zhongzhilvboqi
中兴阅读	zhongxingyuedu
中划线	zhonghuaxian
中国菜刀下载	zhongguocaidaoxiazai
中型计算机	zhongxingjisuanji
中央处理单元	zhongyangchulidanyuan
中央处理机	zhongyangchuliji
中序	zhongxu
中序遍历	zhongxubianli
中心机构	zhongxinjigou
中文乱码	zhongwenluanma
中文分词	zhongwenfenci
中文参数	zhongwencanshu
中文字符	zhongwenzifu
中文手册	zhongwenshouce
中文排序	zhongwenpaixu
中文操作系统	zhongwencaozuoxitong
中文支持	zhongwenzhichi
中文教程	zhongwenjiaocheng
中文文档	zhongwenwendang
中文显示	zhongwenxianshi
中文编码	zhongwenbianma
中文语料库	zhongwenyuliaoku
中文路径	zhongwenlujing
中文输入	zhongwenshuru
中文输入法	zhongwenshurufa
中断上下文	zhongduanshangxiawen
中断事件	zhongduanshijian
中断优先级	zhongduanyouxianji
中断向量表	zhongduanxiangliangbiao
中断处理	zhongduanchuli
中断子系统	zhongduanzixitong
中断寄存器	zhongduanjicunqi
中断屏蔽	zhongduanpingbi
中断机制	zhongduanjizhi
中断流程	zhongduanliucheng
中断队列	zhongduanduilie
中断阻塞	zhongduanzuse
中断驱动	zhongduanqudong
中期调度	zhongqidiaodu
中级技术	zhongjijishu
中级数据结构	zhongjishujujiegou
中缀表达式	zhongzhuibiaodashi
中缀转后缀	zhongzhuizhuanhouzhui
中途相遇法	zhongtuxiangyufa
中间结点	zhongjianjiedian
中间语言	zhongjianyuyan
串匹配	chuanpipei
串口硬盘	chuankouyingpan
串口编程	chuankoubiancheng
串口调试	chuankoutiaoshi
串口通信	chuankoutongxin
串口通讯	chuankoutongxun
串处理	chuanchuli
串并	chuanbing
串并转换器	chuanbingzhuanhuanqi
串扰	chuanrao
串联匹配	chuanlianpipei
串行任务	chuanxingrenwu
串行传输	chuanxingchuanshu
串行加法器	chuanxingjiafaqi
串行排序	chuanxingpaixu
串行端口	chuanxingduankou
串行计算机	chuanxingjisuanji
串行调度	chuanxingdiaodu
串行通信	chuanxingtongxin
串行队列	chuanxingduilie
临时对象	linshiduixiang
临时表空间	linshibiaokongjian
临界区	linjiequ
临界控制	linjiekongzhi
临界资源	linjieziyuan
主从切换	zhucongqiehuan
主从同步	zhucongtongbu
主从配置	zhucongpeizhi
主体技术	zhutijishu
主元素	zhuyuansu
主函数	zhuhanshu
主副本	zhufuben
主功能函数	zhugongnenghanshu
主动动词	zhudongdongci
主动查询	zhudongchaxun
主动视觉	zhudongshijue
主存数据库	zhucunshujuku
主密钥	zhumiyao
主属性	zhushuxing
主席树	zhuxishu
主成分分析	zhuchengfenfenxi
主数据	zhushuju
主文件	zhuwenjian
主方法	zhufangfa
主时钟	zhushizhong
主机密钥	zhujimiyao
主机操作系统	zhujicaozuoxitong
主流处理器	zhuliuchuliqi
主流框架	zhuliukuangjia
主线程	zhuxiancheng
主语言	zhuyuyan
主键生成策略	zhujianshengchengcelve
主键策略	zhujiancelve
主题切换	zhutiqiehuan
主题模型	zhutimoxing
乐器数字接口	yueqishuzijiekou
乐观锁	leguansuo
乒乓模式	pingpangmoshi
乘商寄存器	chengshangjicunqi
乘方运算	chengfangyunsuan
乘法口诀表	chengfakoujuebiao
乘法逆元	chengfaniyuan
乘积最大	chengjizuida
九九乘法表	jiujiuchengfabiao
九大内置对象	jiudaneizhiduixiang
九章算法	jiuzhangsuanfa
书店系统	shudianxitong
书籍推荐	shujituijian
乱码解决	luanmajiejue
乱码问题	luanmawenti
争用	zhengyong
争用条件	zhengyongtiaojian
事件代理	shijiandaili
事件传递	shijianchuandi
事件传递机制	shijianchuandijizhi
事件冒泡	shijianmaopao
事件冲突	shijianchongtu
事件分发	shijianfenfa
事件分发机制	shijianfenfajizhi
事件响应	shijianxiangying
事件处理机制	shijianchulijizhi
事件委托	shijianweituo
事件对象	shijianduixiang
事件引擎	shijianyinqing
事件总线	shijianzongxian
事件拦截	shijianlanjie
事件捕获	shijianbuhuo
事件控制	shijiankongzhi
事件控制块	shijiankongzhikuai
事件描述	shijianmiaoshu
事件方式	shijianfangshi
事件机制	shijianjizhi
事件查询	shijianchaxun
事件模型	shijianmoxing
事件流	shijianliu
事件源	shijianyuan
事件监听	shijianjianting
事件监听器	shijianjiantingqi
