# 泰深输入法专业词库 — 法律
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一上班	yishangban
一串铃法	yichuanlingfa
一事一议制度	yishiyiyizhidu
一事不再罚原则	yishibuzaifayuanze
一切危险保险合同	yiqieweixianbaoxianhetong
一切可能措施	yiqiekenengcuoshi
一切合理措施	yiqiehelicuoshi
一切必要措施	yiqiebiyaocuoshi
一参一控	yicanyikong
一告九不理	yigaojiubuli
一如法界	yirufajie
一审判决书	yishenpanjueshu
一审法院	yishenfayuan
一审终结	yishenzhongjie
一审裁定	yishencaiding
一对多业务	yiduiduoyewu
一律予以没收	yilvyuyimoshou
一支黑玫瑰	yizhiheimeigui
一次指数平滑法	yicizhishupinghuafa
一次课征制	yicikezhengzhi
一物一权	yiwuyiquan
一物一权原则	yiwuyiquanyuanze
一签字	yiqianzi
一级漏电	yijiloudian
一级漏电保护	yijiloudianbaohu
一级谋杀	yijimousha
一致表决	yizhibiaojue
一致裁决	yizhicaijue
一般交易条件	yibanjiaoyitiaojian
一般侵权行为	yibanqinquanxingwei
一般保证	yibanbaozheng
一般共同犯罪	yibangongtongfanzui
一般共犯	yibangongfan
一般商事行为	yibanshangshixingwei
一般地域管辖例外	yibandiyuguanxialiwai
一般地方立法	yibandifanglifa
一般担保	yibandanbao
一般担保责任	yibandanbaozeren
一般授权	yibanshouquan
一般授权立法	yibanshouquanlifa
一般权利	yibanquanli
一般法	yibanfa
一般法律监督	yibanfalvjiandu
一般流氓行为	yibanliumangxingwei
一般渎职罪	yibanduzhizui
一般留置权	yibanliuzhiquan
一般税收协定	yibanshuishouxieding
一般累犯	yibanleifan
一般经济责任制	yibanjingjizerenzhi
一般经纪商	yibanjingjishang
一般缓刑	yibanhuanxing
一般行政法原理	yibanxingzhengfayuanli
一般转让背书	yibanzhuanrangbeishu
一般过失	yibanguoshi
一般违法行为	yibanweifaxingwei
一般附加险	yibanfujiaxian
一裁终局	yicaizhongju
一裁终局制度	yicaizhongjuzhidu
一调一裁两审制	yidiaoyicailiangshenzhi
一部露出说	yibuluchushuo
丁凌华	dinglinghua
七出三不去	qichusanbuqu
七十自画像	qishizihuaxiang
七去三不去	qiqusanbuqu
三三制法	sansanzhifa
三代以内直系血亲	sandaiyineizhixixueqin
三元陶瓷集团	sanyuantaocijituan
三农政策学习问答	sannongzhengcexuexiwenda
三台县公安局	santaixiangonganju
三方责任事故	sanfangzerenshigu
三明市烟草专卖局	sanmingshiyancaozhuanmaiju
三来一补企业	sanlaiyibuqiye
三段警备法	sanduanjingbeifa
三维谈判法	sanweitanpanfa
三重标准	sanchongbiaozhun
上市公司收购	shangshigongsishougou
上市公司私有化	shangshigongsisiyouhua
上海市工会条例	shanghaishigonghuitiaoli
上海市防汛条例	shanghaishifangxuntiaoli
上海税收优惠政策	shanghaishuishouyouhuizhengce
上诉审裁处	shangsushencaichu
上诉得直	shangsudezhi
下关惨案	xiaguancanan
下级人民法院	xiajirenminfayuan
下级法庭	xiajifating
下级法院	xiajifayuan
不作为侵权	buzuoweiqinquan
不作为债务	buzuoweizhaiwu
不作为犯	buzuoweifan
不作为犯研究	buzuoweifanyanjiu
不具有法律效力	bujuyoufalvxiaoli
不动产信用控制	budongchanxinyongkongzhi
不动产登记法	budongchandengjifa
不单方接触	budanfangjiechu
不可侵犯权	bukeqinfanquan
不可分之债	bukefenzhizhai
不可抗力事件	bukekanglishijian
不可撤销贷款承诺	bukechexiaodaikuanchengnuo
不可避免披露原则	bukebimianpiluyuanze
不合常理	buhechangli
不告不理	bugaobuli
不安全行为	buanquanxingwei
不安全食品	buanquanshipin
不安抗辩权	buankangbianquan
不完全履行	buwanquanlvxing
不完全酷刑档案	buwanquankuxingdangan
不定值保险合同	budingzhibaoxianhetong
不定期航班	budingqihangban
不履行合同	bulvxinghetong
不履行合约	bulvxingheyue
不得担任国家	budedanrenguojia
不歧视待遇	buqishidaiyu
不真正不作为犯	buzhenzhengbuzuoweifan
不真正连带之债	buzhenzhengliandaizhizhai
不确定性经济学	buquedingxingjingjixue
不能犯未遂	bunengfanweisui
不良行为记录	buliangxingweijilu
不要式合同	buyaoshihetong
不要式法律行为	buyaoshifalvxingwei
不计免赔率特约险	bujimianpeilvteyuexian
不配合强奸	bupeiheqiangjian
与国际惯例接轨	yuguojiguanlijiegui
专业化银行制	zhuanyehuayinhangzhi
专业技术类职位	zhuanyejishuleizhiwei
专业计算	zhuanyejisuan
专利代理委托书	zhuanlidailiweituoshu
专利代理费	zhuanlidailifei
专利使用费	zhuanlishiyongfei
专利侵权	zhuanliqinquan
专利侵权救济	zhuanliqinquanjiuji
专利侵权行为	zhuanliqinquanxingwei
专利保护期限	zhuanlibaohuqixian
专利保护范围	zhuanlibaohufanwei
专利信息	zhuanlixinxi
专利发展战略研究	zhuanlifazhanzhanlveyanjiu
专利合作条约	zhuanlihezuotiaoyue
专利复审委员会	zhuanlifushenweiyuanhui
专利实施许可合同	zhuanlishishixukehetong
专利审查协作中心	zhuanlishenchaxiezuozhongxin
专利审查指南	zhuanlishenchazhinan
专利技术转让合同	zhuanlijishuzhuanranghetong
专利文件	zhuanliwenjian
专利无效诉讼	zhuanliwuxiaosusong
专利权利要求	zhuanliquanliyaoqiu
专利权归属	zhuanliquanguishu
专利权无效	zhuanliquanwuxiao
专利权终止	zhuanliquanzhongzhi
专利权质押合同	zhuanliquanzhiyahetong
专利权转让	zhuanliquanzhuanrang
专利权转让合同	zhuanliquanzhuanranghetong
专利法实施细则	zhuanlifashishixize
专利法条约	zhuanlifatiaoyue
专利法研究	zhuanlifayanjiu
专利流氓	zhuanliliumang
专利独立权利要求	zhuanliduliquanliyaoqiu
专利申请优先权	zhuanlishenqingyouxianquan
专利申请号标准	zhuanlishenqinghaobiaozhun
专利申请权	zhuanlishenqingquan
专利申请权人	zhuanlishenqingquanren
专利申请权转让	zhuanlishenqingquanzhuanrang
专利的分案申请	zhuanlidefenanshenqing
专利知识产权	zhuanlizhishichanquan
专利终止	zhuanlizhongzhi
专利维持	zhuanliweichi
专利联营	zhuanlilianying
专利许可协议	zhuanlixukexieyi
专利许可贸易	zhuanlixukemaoyi
专利费用减缓办法	zhuanlifeiyongjianhuanbanfa
专利转让	zhuanlizhuanrang
专有出版发行权	zhuanyouchubanfaxingquan
专有出版权	zhuanyouchubanquan
专有技术	zhuanyoujishu
专有技术秘密	zhuanyoujishumimi
专有技术许可合同	zhuanyoujishuxukehetong
专有表演权	zhuanyoubiaoyanquan
专权离婚主义	zhuanquanlihunzhuyi
专用记账凭证	zhuanyongjizhangpingzheng
专用采访证	zhuanyongcaifangzheng
专科学校法	zhuankexuexiaofa
专约	zhuanyue
专营政策	zhuanyingzhengce
专门业务培训	zhuanmenyewupeixun
专门人民检察院	zhuanmenrenminjianchayuan
专门人民法院	zhuanmenrenminfayuan
专门委员会	zhuanmenweiyuanhui
专门检察院	zhuanmenjianchayuan
专门法庭	zhuanmenfating
专门法院	zhuanmenfayuan
专门管辖	zhuanmenguanxia
专项应急预案	zhuanxiangyingjiyuan
专题讲座配套练习	zhuantijiangzuopeitaolianxi
世界人权约法总览	shijierenquanyuefazonglan
世界动物卫生组织	shijiedongwuweishengzuzhi
世界法学家协会	shijiefaxuejiaxiehui
世界法律传统	shijiefalvchuantong
世界法律名著选读	shijiefalvmingzhuxuandu
世界法律日	shijiefalvri
世界环境法汇编	shijiehuanjingfahuibian
世界贸易组织协议	shijiemaoyizuzhixieyi
业主临时公约	yezhulinshigongyue
业主大会规程	yezhudahuiguicheng
业主大会议事规则	yezhudahuiyishiguize
业主委员会	yezhuweiyuanhui
业主撤销权	yezhuchexiaoquan
业主权	yezhuquan
业务分类	yewufenlei
业权文件	yequanwenjian
东南欧稳定公约	dongnanouwendinggongyue
东坡先生墓志铭	dongpoxianshengmuzhiming
丞相史	chengxiangshi
丢失枪支不报罪	diushiqiangzhibubaozui
两值期权	liangzhiqiquan
两全保险	liangquanbaoxian
两段招标	liangduanzhaobiao
两非案件	liangfeianjian
严重程度	yanzhongchengdu
个人二手住房贷款	gerenershouzhufangdaikuan
个人代理人	gerendailiren
个人恐怖犯罪	gerenkongbufanzui
个人独资企业法	gerenduziqiyefa
个人经营	gerenjingying
个体工商户	getigongshanghu
个体工商户纳税	getigongshanghunashui
个体经济法	getijingjifa
个体经济组织	getijingjizuzhi
个别发行证券	gebiefaxingzhengquan
中位数价格法	zhongweishujiagefa
中俄密约	zhongemiyue
中保财产保险公司	zhongbaocaichanbaoxiangongsi
中共中央调查部	zhonggongzhongyangdiaochabu
中凯律师事务所	zhongkailvshishiwusuo
中募委	zhongmuwei
中医药管理局	zhongyiyaoguanliju
中华全国律师协会	zhonghuaquanguolvshixiehui
中华女	zhonghuanv
中华民国宪法概要	zhonghuaminguoxianfagaiyao
中华民国民法	zhonghuaminguominfa
中华民国约法	zhonghuaminguoyuefa
中华民国鄂州约法	zhonghuaminguoezhouyuefa
中华法系	zhonghuafaxi
中卫市农牧局	zhongweishinongmuju
中国专利信息中心	zhongguozhuanlixinxizhongxin
中国专利制度	zhongguozhuanlizhidu
中国专利局	zhongguozhuanliju
中国习惯法论	zhongguoxiguanfalun
中国书画装裱大全	zhongguoshuhuazhuangbiaodaquan
中国人权年刊	zhongguorenquanniankan
中国人民银行法	zhongguorenminyinhangfa
中国价格法	zhongguojiagefa
中国企业商标网	zhongguoqiyeshangbiaowang
中国企业法律事典	zhongguoqiyefalvshidian
中国作家协会章程	zhongguozuojiaxiehuizhangcheng
中国保障性住房	zhongguobaozhangxingzhufang
中国公证员协会	zhongguogongzhengyuanxiehui
中国农民权益保护	zhongguonongminquanyibaohu
中国刑事法杂志	zhongguoxingshifazazhi
中国刑事警察	zhongguoxingshijingcha
中国刑事辩护网	zhongguoxingshibianhuwang
中国华能集团公司	zhongguohuanengjituangongsi
中国反垄断法	zhongguofanlongduanfa
中国发明协会	zhongguofamingxiehui
中国古代判词研究	zhongguogudaipanciyanjiu
中国古代史	zhongguogudaishi
中国古代契约法	zhongguogudaiqiyuefa
中国古代巡视制度	zhongguogudaixunshizhidu
中国古代行政立法	zhongguogudaixingzhenglifa
中国土地权利研究	zhongguotudiquanliyanjiu
中国土地法大纲	zhongguotudifadagang
中国地名委员会	zhongguodimingweiyuanhui
中国增值税法	zhongguozengzhishuifa
中国外贸依存度	zhongguowaimaoyicundu
中国外轮代理公司	zhongguowailundailigongsi
中国大案侦破实录	zhongguodaanzhenposhilu
中国大陆行政诉讼	zhongguodaluxingzhengsusong
中国妇女研究会	zhongguofunvyanjiuhui
中国宪法研究	zhongguoxianfayanjiu
中国家族法原理	zhongguojiazufayuanli
中国对外贸易法	zhongguoduiwaimaoyifa
中国广告法	zhongguoguanggaofa
中国影响性诉讼	zhongguoyingxiangxingsusong
中国律师涉案实录	zhongguolvshisheanshilu
中国战争电影史	zhongguozhanzhengdianyingshi
中国房地产法	zhongguofangdichanfa
中国房地产税收	zhongguofangdichanshuishou
中国执业药师	zhongguozhiyeyaoshi
中国普法网	zhongguopufawang
中国未成年人	zhongguoweichengnianren
中国核工业总公司	zhongguohegongyezonggongsi
中国法制史	zhongguofazhishi
中国法制频道	zhongguofazhipindao
中国法学前沿	zhongguofaxueqianyan
中国法学教育研究	zhongguofaxuejiaoyuyanjiu
中国法律思想史	zhongguofalvsixiangshi
中国法律门户网	zhongguofalvmenhuwang
中国注册会计师	zhongguozhucekuaijishi
中国注册会计师法	zhongguozhucekuaijishifa
中国海关关徽	zhongguohaiguanguanhui
中国烟草总公司	zhongguoyancaozonggongsi
中国现代史	zhongguoxiandaishi
中国盲人协会	zhongguomangrenxiehui
中国知识产权	zhongguozhishichanquan
中国知识产权法	zhongguozhishichanquanfa
中国知识产权评论	zhongguozhishichanquanpinglun
中国稻田甲烷排放	zhongguodaotianjiawanpaifang
中国第一圣	zhongguodiyisheng
中国经济制度	zhongguojingjizhidu
中国聋哑人协会	zhongguolongyarenxiehui
中国航空法	zhongguohangkongfa
中国药事法	zhongguoyaoshifa
中国药事法规	zhongguoyaoshifagui
中国财贸工会	zhongguocaimaogonghui
中国质量监督	zhongguozhiliangjiandu
中国轻工总会	zhongguoqinggongzonghui
中国违宪审查制度	zhongguoweixianshenchazhidu
中国连锁经营协会	zhongguoliansuojingyingxiehui
中国重案纪实录	zhongguozhonganjishilu
中外合作经营企业	zhongwaihezuojingyingqiye
中外合资企业章程	zhongwaiheziqiyezhangcheng
