# 泰深输入法专业词库 — 诗词
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一一如青虫	yiyiruqingchong
一一生绿苔	yiyishenglvtai
一万年太久	yiwanniantaijiu
一丘一壑也风流	yiqiuyiheyefengliu
一丛深色花	yicongshensehua
一为迁客去长沙	yiweiqiankequchangsha
一举成名天下知	yijuchengmingtianxiazhi
一举累十觞	yijuleishishang
一乡之善士	yixiangzhishanshi
一事无成百不堪	yishiwuchengbaibukan
一二老寡妻	yierlaoguaqi
一人口插几张匙	yirenkouchajizhangshi
一从大地起风雷	yicongdadiqifenglei
一代新人换旧人	yidaixinrenhuanjiuren
一代繁华地	yidaifanhuadi
一任群芳妒	yirenqunfangdu
一入凄凉耳	yiruqilianger
一凶一吉在眼前	yixiongyijizaiyanqian
一别二十年	yibieershinian
一别旧游尽	yibiejiuyoujin
一别武功去	yibiewugongqu
一千五百年间事	yiqianwubainianjianshi
一卧沧江惊岁晚	yiwocangjiangjingsuiwan
一卷冰雪文	yijuanbingxuewen
一去一万里	yiquyiwanli
一去三十年	yiqusanshinian
一去可怜终不返	yiqukelianzhongbufan
一去无踪迹	yiquwuzongji
一去紫台连朔漠	yiquzitailianshuomo
一受其成形	yishouqichengxing
一句十回吟	yijushihuiyin
一叫一回肠一断	yijiaoyihuichangyiduan
一可以为法则	yikeyiweifaze
一叶浮萍归大海	yiyefupingguidahai
一叶轻舟寄渺茫	yiyeqingzhoujimiaomang
一叶随风忽报秋	yiyesuifenghubaoqiu
一吟双泪流	yiyinshuangleiliu
一唱雄鸡天下白	yichangxiongjitianxiabai
一国之善士	yiguozhishanshi
一场寂寞凭谁诉	yichangjimopingshuisu
一城之人皆若狂	yichengzhirenjieruokuang
一声何满子	yishenghemanzi
一声吹断横笛	yishengchuiduanhengdi
一夕轻雷落万丝	yixiqingleiluowansi
一夕高楼月	yixigaolouyue
一夜乡心五处同	yiyexiangxinwuchutong
一夜到江涨	yiyedaojiangzhang
一夜好风吹	yiyehaofengchui
一夜征人尽望乡	yiyezhengrenjinwangxiang
一夜梦中香	yiyemengzhongxiang
一夜飞度镜湖月	yiyefeidujinghuyue
一夜鱼龙舞	yiyeyulongwu
一夫作难而七庙隳	yifuzuonanerqimiaohui
一字偕华星	yizixiehuaxing
一字至七字诗	yizizhiqizishi
一宵冷雨葬名花	yixiaolengyuzangminghua
一家二十口	yijiaershikou
一寸相思一寸灰	yicunxiangsiyicunhui
一寸荒田牛得耕	yicunhuangtianniudegeng
一射两虎穿	yishelianghuchuan
一尊还酹江月	yizunhaileijiangyue
一山飞峙大江边	yishanfeizhidajiangbian
一岁一枯荣	yisuiyikurong
一川碎石大如斗	yichuansuishidarudou
一州笑我为狂客	yizhouxiaowoweikuangke
一年一年老去	yinianyinianlaoqu
一年一度秋风劲	yinianyiduqiufengjin
一年三百六十日	yiniansanbailiushiri
一年十二月	yinianshieryue
一年好景君须记	yinianhaojingjunxuji
一年居梓州	yinianjuzizhou
一年强半在城中	yinianqiangbanzaichengzhong
一年明月今宵多	yinianmingyuejinxiaoduo
一年春好处	yinianchunhaochu
一年颜状镜中来	yinianyanzhuangjingzhonglai
一度欲离别	yiduyulibie
一弦一柱思华年	yixianyizhusihuanian
一弹指顷去来今	yitanzhiqingqulaijin
一往情深深几许	yiwangqingshenshenjixu
一心愁谢如枯兰	yixinchouxierukulan
一悟得所遣	yiwudesuoqian
一愿郎君千岁	yiyuanlangjunqiansui
一截还东国	yijiehaidongguo
一拔何亏大圣毛	yibahekuidashengmao
一摘使瓜好	yizhaishiguahao
